packet_seq_no,packet_delay_in_secs,flow_id
1,0.00533,1
1,0.005322,2
2,0.982484,1
3,2.948293,1
4,4.916221,1
5,6.881229,1
6,8.863441,1
7,10.812766,1
8,12.783219,1
9,14.751888,1
10,16.757409,1
11,18.682185,1
12,20.649544,1
13,22.615365,1
14,24.581957,1
15,26.550331,1
16,28.515815,1
17,30.500195,1
18,32.485924,1
19,34.414428,1
20,36.5603,1
21,38.650462,1
22,40.619497,1
23,42.598449,1
24,44.53639,1
25,46.512348,1
26,48.476781,1
27,50.446891,1
28,52.41597,1
29,54.39163,1
30,56.419457,1
31,58.30522,1
32,60.193094,1
33,62.172827,1
34,64.113195,1
35,66.079675,1
36,68.040268,1
37,70.018855,1
38,71.977082,1
39,73.944582,1
40,75.934414,1
41,77.887958,1
42,79.853595,1
43,81.822728,1
44,83.777595,1
45,85.766545,1
46,87.710772,1
47,89.679014,1
48,91.646332,1
49,93.618135,1
50,95.575716,1
51,97.557665,1
52,99.512489,1
53,101.485104,1
54,103.444103,1
55,105.405212,1
56,107.574842,1
57,109.516566,1
58,111.603487,1
59,113.570747,1
60,115.54936,1
61,117.500988,1
62,119.475081,1
63,121.439258,1
64,123.405387,1
65,125.372609,1
66,127.338892,1
67,129.31242,1
68,131.17091,1
69,133.139595,1
70,135.110507,1
71,137.08021,1
72,139.054332,1
73,141.006015,1
74,142.997747,1
75,144.971147,1
76,146.905924,1
77,148.912283,1
78,150.840335,1
79,152.811701,1
80,154.771313,1
81,156.739123,1
82,158.706056,1
83,160.672206,1
84,162.639024,1
85,164.604741,1
86,166.570445,1
87,168.539544,1
88,170.505411,1
89,172.471822,1
90,174.439201,1
91,176.407036,1
92,178.372904,1
93,180.342561,1
94,182.314167,1
95,184.272038,1
96,186.238686,1
97,188.212032,1
98,190.172641,1
99,192.140868,1
100,194.105243,1
1,352.672875,5
1,354.450003,3
2,356.215708,3
1,358.002922,4
3,359.759202,3
4,361.525683,3
2,363.3333,5
5,365.068366,3
2,366.875928,4
6,368.611641,3
3,370.418518,5
7,372.15272,3
8,373.922546,3
3,375.759049,4
9,377.498692,3
10,379.472881,3
4,381.504489,5
11,383.409162,3
4,385.456439,4
12,387.354919,3
5,389.398353,5
13,391.296168,3
14,393.262464,3
5,395.328573,4
15,397.204733,3
16,399.172741,3
6,401.24892,5
17,403.120235,3
6,405.207722,4
18,407.060433,3
19,409.022692,3
7,411.119294,5
20,412.981079,3
7,415.080122,4
21,416.91025,3
8,419.019504,5
22,420.85792,3
23,422.822927,3
8,424.949835,4
24,426.759408,3
25,428.731854,3
9,430.868715,5
26,432.675837,3
9,434.822686,4
27,436.623322,3
10,438.766378,5
28,440.562533,3
29,442.528832,3
10,444.699577,4
30,446.375326,3
31,448.334317,3
11,450.530652,5
32,452.283098,3
11,454.469259,4
33,456.224662,3
12,458.418007,5
34,460.169557,3
35,462.135461,3
12,464.342713,4
36,466.07462,3
37,468.069095,3
13,470.262312,5
38,471.989405,3
13,474.219067,4
39,475.933357,3
14,478.159019,5
40,479.886951,3
41,481.842552,3
14,484.088973,4
42,485.790933,3
43,487.753235,3
44,490.100602,3
45,492.266829,3
46,494.34812,3
47,496.513411,3
48,498.681183,3
49,500.846828,3
50,502.811185,3
51,504.980699,3
52,506.842609,3
53,509.013596,3
54,511.181099,3
55,513.803617,3
56,515.576025,3
57,519.114395,3
58,520.883903,3
59,524.426904,3
60,527.972319,3
61,531.511165,3
62,533.282161,3
63,536.829539,3
64,538.597865,3
65,542.13804,3
66,545.678751,3
67,549.223269,3
68,550.985836,3
69,554.537728,3
70,556.299511,3
71,559.840869,3
72,563.385868,3
73,565.151203,3
74,568.694183,3
75,572.243199,3
76,575.782122,3
77,577.549655,3
78,581.090266,3
79,582.856885,3
80,586.40133,3
81,589.945246,3
82,593.489009,3
83,595.254932,3
84,598.820434,3
85,600.565052,3
86,604.116753,3
87,607.655356,3
88,611.19485,3
89,612.962268,3
90,616.505286,3
91,618.272788,3
92,621.81571,3
93,625.354785,3
94,628.899821,3
95,630.668395,3
96,634.212267,3
97,635.977833,3
98,639.521715,3
99,643.072291,3
100,644.833391,3
