packet_seq_no,packet_delay_in_secs,flow_id
1,0.005698,1
1,0.005726,2
2,0.10652,1
3,0.332086,1
4,0.543639,1
5,0.756073,1
6,0.966478,1
7,1.191417,1
8,1.405199,1
9,1.638853,1
10,1.859297,1
11,2.07508,1
12,2.288603,1
13,2.506932,1
14,2.711755,1
15,2.941103,1
16,3.144539,1
17,3.370326,1
18,3.572874,1
19,3.79771,1
20,4.01152,1
21,4.20938,1
22,4.43084,1
23,4.666058,1
24,4.862875,1
25,5.082701,1
26,5.285742,1
27,5.513877,1
28,5.736283,1
29,5.942032,1
30,6.156934,1
31,6.370505,1
32,6.605389,1
33,6.809459,1
34,7.008826,1
35,7.233521,1
36,7.451986,1
37,7.665321,1
38,7.876113,1
39,8.100956,1
40,8.314157,1
41,8.513662,1
42,8.749185,1
43,8.960424,1
44,9.156963,1
45,9.379529,1
46,9.598564,1
47,9.822789,1
48,10.036583,1
49,10.246669,1
50,10.458779,1
51,10.680303,1
52,10.880067,1
53,11.099949,1
54,11.328104,1
55,11.525797,1
56,11.756054,1
57,11.955038,1
58,12.1815,1
59,12.391593,1
60,12.609787,1
61,12.825557,1
62,13.038465,1
63,13.248785,1
64,13.472645,1
65,13.688459,1
66,13.912598,1
67,14.113914,1
68,14.349077,1
69,14.55346,1
70,14.763785,1
71,14.985497,1
72,15.200523,1
73,15.412949,1
74,15.623176,1
75,15.836742,1
76,16.060353,1
77,16.277604,1
78,16.494464,1
79,16.710013,1
80,16.923667,1
81,17.155582,1
82,17.370058,1
83,17.592029,1
84,17.804741,1
85,18.043318,1
86,18.229203,1
87,18.456327,1
88,18.771091,1
89,18.902541,1
90,19.103928,1
91,19.31721,1
92,19.54056,1
93,19.763113,1
94,19.960692,1
95,20.180631,1
96,20.397572,1
97,20.615241,1
98,20.837738,1
99,21.044528,1
100,21.262128,1
2,22.475763,2
3,22.690063,2
4,22.888431,2
5,23.11364,2
6,23.330783,2
7,23.545372,2
8,23.750415,2
9,23.974209,2
10,24.186039,2
11,24.400079,2
12,24.613838,2
13,24.841023,2
14,25.049059,2
15,25.255907,2
16,25.627408,2
17,25.721145,2
18,25.917242,2
19,26.120448,2
20,26.471304,2
21,26.533514,2
22,26.774315,2
23,27.013176,2
24,27.184449,2
25,27.406582,2
26,27.616542,2
27,27.837555,2
28,28.048299,2
29,28.281728,2
30,28.496691,2
31,28.698188,2
32,28.917727,2
33,29.128071,2
34,29.344264,2
35,29.561429,2
36,29.776528,2
37,30.004485,2
38,30.217666,2
39,30.425587,2
40,30.703994,2
41,30.842978,2
42,31.077835,2
43,31.288888,2
44,31.485604,2
45,31.70275,2
46,31.941111,2
47,32.153666,2
48,32.35767,2
49,32.570177,2
50,32.802278,2
51,33.004697,2
52,33.212024,2
53,33.420824,2
54,33.655875,2
55,33.859376,2
56,34.079418,2
57,34.277818,2
58,34.512076,2
59,34.724757,2
60,34.933166,2
61,35.151637,2
62,35.374244,2
63,35.579388,2
64,35.795043,2
65,36.030871,2
66,36.244197,2
67,36.477615,2
68,36.658213,2
69,36.874477,2
70,37.098768,2
71,37.311165,2
72,37.522953,2
73,37.797667,2
74,37.965397,2
75,38.175964,2
76,38.429066,2
77,38.594828,2
78,38.819721,2
79,39.042909,2
80,39.252621,2
81,39.458746,2
82,39.68796,2
83,39.893273,2
84,40.105699,2
85,40.324705,2
86,40.541942,2
87,40.779303,2
88,40.966392,2
89,41.182334,2
90,41.404905,2
91,41.618158,2
92,41.839433,2
93,42.040329,2
94,42.247469,2
95,42.475547,2
96,42.771479,2
97,42.900759,2
98,43.111818,2
99,43.336578,2
100,43.587207,2
1,44.821889,3
1,44.986352,5
2,45.207141,3
3,45.419911,3
1,45.662004,4
4,45.864979,3
5,46.092882,3
2,46.331174,5
6,46.522195,3
2,46.774586,4
7,46.959561,3
3,47.221324,5
8,47.393438,3
9,47.605908,3
3,47.90226,4
10,48.051841,3
4,48.334563,5
11,48.486687,3
12,48.710118,3
4,49.012946,4
13,49.145249,3
5,49.458375,5
14,49.593343,3
15,49.81656,3
5,50.12617,4
16,50.234075,3
6,50.593978,5
17,50.705484,3
18,50.919112,3
6,51.2606,4
19,51.365695,3
20,51.581815,3
7,51.934193,5
21,52.00096,3
7,52.385867,4
22,52.468865,3
8,52.871931,5
23,52.894011,3
24,53.111582,3
8,53.5111,4
25,53.552195,3
26,53.748998,3
9,54.168079,5
27,54.214455,3
9,54.613838,4
28,54.638355,3
10,55.061771,5
29,55.089403,3
30,55.303681,3
10,55.726774,4
31,55.734412,3
32,55.960606,3
11,56.429484,5
33,56.410863,3
11,56.864977,4
34,56.852306,3
12,57.29892,5
35,57.286981,3
36,57.515551,3
12,57.982054,4
37,57.955706,3
13,58.416955,5
38,58.391529,3
39,58.610018,3
13,59.090618,4
40,59.050803,3
14,59.530814,5
41,59.480615,3
42,59.700475,3
14,60.219131,4
43,60.134656,3
15,60.646144,5
44,60.570604,3
45,60.799962,3
15,61.313387,4
46,61.254119,3
47,61.463931,3
16,61.982463,5
48,61.887551,3
16,62.451017,4
49,62.355843,3
17,62.958848,5
50,62.768484,3
51,63.006405,3
17,63.553164,4
52,63.408397,3
53,63.630174,3
18,64.305305,5
54,64.09425,3
18,64.66812,4
55,64.512391,3
19,65.116699,5
56,64.973439,3
57,65.212755,3
19,65.78243,4
58,65.621324,3
59,65.834205,3
20,66.449501,5
60,66.265035,3
20,66.927581,4
61,66.754989,3
21,67.355949,5
62,67.149906,3
63,67.397841,3
