packet_seq_no,packet_delay_in_secs,flow_id
1,0.005313,1
1,0.0053,2
2,0.981705,1
3,3.18256,1
4,5.265405,1
5,7.588581,1
6,9.561404,1
7,11.522145,1
8,13.48831,1
9,15.458934,1
10,17.434429,1
11,19.516364,1
12,21.596614,1
13,23.672111,1
14,26.015865,1
15,27.97443,1
16,29.945336,1
17,31.906483,1
18,33.86179,1
19,35.828958,1
20,37.794354,1
21,39.762351,1
22,41.730561,1
23,43.594636,1
24,45.587723,1
25,47.530317,1
26,49.495857,1
27,51.462316,1
28,53.541507,1
29,55.62943,1
30,57.594965,1
31,59.556728,1
32,61.885859,1
33,63.96867,1
34,65.940053,1
35,67.901437,1
36,69.868437,1
37,71.834716,1
38,73.802371,1
39,75.765024,1
40,77.734367,1
41,79.716217,1
42,81.669297,1
43,83.635305,1
44,85.602182,1
45,87.562086,1
46,89.538009,1
47,91.501695,1
48,93.468941,1
49,95.436957,1
50,97.412749,1
51,99.368352,1
52,101.334894,1
53,103.302212,1
54,105.269325,1
55,107.241324,1
56,109.212405,1
57,111.180513,1
58,113.135503,1
59,115.002398,1
60,117.085146,1
61,119.056299,1
62,121.019316,1
63,122.986184,1
64,124.952622,1
65,127.036011,1
66,129.013843,1
67,130.981548,1
68,133.291931,1
69,135.258617,1
70,137.22541,1
71,139.308696,1
72,141.275156,1
73,143.242014,1
74,145.20881,1
75,147.175632,1
76,149.142018,1
77,151.111228,1
78,153.075678,1
79,155.044689,1
80,156.997256,1
81,158.972613,1
82,160.938821,1
83,162.896497,1
84,164.872495,1
85,166.834892,1
86,168.792189,1
87,170.767825,1
88,172.734717,1
89,174.708431,1
90,176.696142,1
91,178.639747,1
92,180.590989,1
93,182.560364,1
94,184.535872,1
95,186.414307,1
96,188.374918,1
97,190.342805,1
98,192.308593,1
99,194.289576,1
100,196.24228,1
2,199.198603,2
3,201.165414,2
4,203.132882,2
5,205.115311,2
6,207.068014,2
7,209.07579,2
8,211.007575,2
9,212.965104,2
10,214.932254,2
11,216.901111,2
12,218.866993,2
13,220.836111,2
14,222.798373,2
15,224.782347,2
16,226.73243,2
17,228.714977,2
18,230.664432,2
19,232.632447,2
20,234.598395,2
21,236.565102,2
22,238.531699,2
23,240.498525,2
24,242.465587,2
25,244.435985,2
26,246.42739,2
27,248.481499,2
28,250.443706,2
29,252.417705,2
30,254.381558,2
31,256.343706,2
32,258.31585,2
33,260.185721,2
34,262.147832,2
35,264.230225,2
36,266.198732,2
37,268.168959,2
38,270.132077,2
39,272.094708,2
40,274.064474,2
41,276.385374,2
42,278.354799,2
43,280.33702,2
44,282.288283,2
45,284.276058,2
46,286.223638,2
47,288.188708,2
48,290.155477,2
49,292.278607,2
50,294.204955,2
51,296.177511,2
52,298.137794,2
53,300.105312,2
54,302.072125,2
55,304.053275,2
56,306.004776,2
57,307.971579,2
58,309.938198,2
59,311.920035,2
60,313.873457,2
61,315.838159,2
62,317.805361,2
63,319.772115,2
64,321.73847,2
65,323.705066,2
66,325.671834,2
67,327.638896,2
68,329.604962,2
69,331.58462,2
70,333.437881,2
71,335.405071,2
72,337.372056,2
73,339.338492,2
74,341.305153,2
75,343.270957,2
76,345.238611,2
77,347.205058,2
78,349.171694,2
79,351.137848,2
80,353.098759,2
81,355.069041,2
82,357.034566,2
83,358.992732,2
84,360.976016,2
85,362.950608,2
86,364.887358,2
87,366.870515,2
88,368.830316,2
89,370.80508,2
90,372.772728,2
91,374.736372,2
92,376.679639,2
93,378.655953,2
94,380.632403,2
95,382.605253,2
96,384.593889,2
97,386.53832,2
98,388.505564,2
99,390.477396,2
100,392.465655,2
1,395.405419,3
2,397.375037,3
3,399.338846,3
4,401.305643,3
5,403.272212,3
6,405.257332,3
7,407.10526,3
8,409.072109,3
9,411.039526,3
10,413.004951,3
11,414.972428,3
12,416.95715,3
13,418.904924,3
14,420.877186,3
15,422.85601,3
16,424.805649,3
17,426.77151,3
18,428.737491,3
19,430.705108,3
20,432.671302,3
21,434.637995,3
22,436.604458,3
23,438.572766,3
24,440.538636,3
25,442.505919,3
26,444.472752,3
27,446.447215,3
28,448.422807,3
29,450.386767,3
30,452.346567,3
31,454.347079,3
32,456.281185,3
33,458.238542,3
34,460.205033,3
35,462.170482,3
36,464.138413,3
37,466.105226,3
38,468.07206,3
39,470.035065,3
40,472.013994,3
41,473.980879,3
42,475.939717,3
43,477.905738,3
44,479.871382,3
45,481.733075,3
46,483.705541,3
47,485.671721,3
48,487.63861,3
49,489.604684,3
50,491.571748,3
51,493.538823,3
52,495.505116,3
53,497.47535,3
54,499.439509,3
55,501.403862,3
56,503.372059,3
57,505.338335,3
58,507.305624,3
59,509.388695,3
60,511.354986,3
61,513.322435,3
62,515.28843,3
63,517.264151,3
64,519.222708,3
65,521.190959,3
66,523.155397,3
67,525.122538,3
68,527.089163,3
69,529.055449,3
70,531.02155,3
71,533.004557,3
72,534.967979,3
73,536.926828,3
74,538.888757,3
75,540.855128,3
76,542.821554,3
77,544.788398,3
78,546.872408,3
79,548.847101,3
80,550.793138,3
81,552.670228,3
82,554.635856,3
83,556.593546,3
84,558.570434,3
85,560.888396,3
86,562.844403,3
87,564.82222,3
88,566.787667,3
89,568.762503,3
90,570.748065,3
91,572.700799,3
92,574.636838,3
93,576.613355,3
94,578.589515,3
95,580.563537,3
96,582.528245,3
97,584.495996,3
98,586.462168,3
99,588.429111,3
100,590.400016,3
1,593.371145,5
1,595.345849,4
2,597.310933,5
2,599.289269,4
3,601.249003,5
3,603.342052,4
4,605.315692,5
4,607.285726,4
5,609.251631,5
5,611.228457,4
6,613.195682,5
6,615.172279,4
7,617.143939,5
7,619.116722,4
8,621.124398,5
8,623.059062,4
9,625.024943,5
9,626.908178,4
10,628.870406,5
10,630.847669,4
11,632.812427,5
11,634.78982,4
12,636.755212,5
12,638.732092,4
13,640.698901,5
13,642.675682,4
14,644.641769,5
14,646.618833,4
15,648.585697,5
15,650.562135,4
16,652.529277,5
16,654.5066,4
17,656.471713,5
17,658.448242,4
18,660.416827,5
18,662.391671,4
