packet_seq_no,packet_delay_in_secs,flow_id
1,0.005273,1
1,0.005296,2
2,0.884748,1
3,2.649282,1
4,4.415943,1
5,6.294884,1
6,8.049201,1
7,9.815397,1
8,11.60204,1
9,13.350179,1
10,15.11465,1
11,16.881792,1
12,18.649419,1
13,20.525411,1
14,22.282113,1
15,24.048587,1
16,25.932055,1
17,27.709683,1
18,29.465125,1
19,31.252815,1
20,33.115596,1
21,34.981662,1
22,36.747521,1
23,38.630576,1
24,40.398008,1
25,42.165499,1
26,43.9317,1
27,45.699183,1
28,47.465165,1
29,49.332034,1
30,51.098453,1
31,52.862232,1
32,54.633023,1
33,56.398664,1
34,58.158993,1
35,59.930659,1
36,61.696045,1
37,63.56283,1
38,65.332675,1
39,67.104131,1
40,68.865552,1
41,70.631645,1
42,72.395282,1
43,74.165624,1
44,75.932838,1
45,77.976995,1
46,79.91427,1
47,81.686693,1
48,83.454703,1
49,85.221703,1
50,86.988778,1
51,88.754957,1
52,90.522035,1
53,92.288035,1
54,94.155241,1
55,95.922891,1
56,97.689093,1
57,99.455513,1
58,101.222484,1
59,102.988597,1
60,104.755386,1
61,106.519547,1
62,108.393157,1
63,110.154542,1
64,111.921961,1
65,113.689131,1
66,115.450718,1
67,117.222089,1
68,118.988379,1
69,120.756014,1
70,122.621869,1
71,124.388075,1
72,126.15406,1
73,127.927962,1
74,129.700889,1
75,131.45582,1
76,133.221411,1
77,134.988257,1
78,136.855274,1
79,138.622244,1
80,140.389756,1
81,142.155315,1
82,143.935954,1
83,145.688676,1
84,147.45545,1
85,149.234582,1
86,151.102663,1
87,152.849939,1
88,154.631995,1
89,156.388652,1
90,158.149898,1
91,159.922191,1
92,161.690624,1
93,163.455382,1
94,165.321838,1
95,167.084878,1
96,168.855307,1
97,170.621987,1
98,172.391703,1
99,174.155757,1
100,175.922283,1
2,178.70213,2
3,180.545426,2
4,182.312656,2
5,184.078657,2
6,185.84549,2
7,187.616115,2
8,189.378422,2
9,191.144742,2
10,192.914102,2
11,194.783456,2
12,196.545283,2
13,198.311114,2
14,200.078329,2
15,201.845272,2
16,203.611655,2
17,205.389609,2
18,207.149065,2
19,209.011901,2
20,210.779517,2
21,212.559355,2
22,214.310605,2
23,216.076645,2
24,217.852482,2
25,219.611547,2
26,221.378396,2
27,223.145553,2
28,225.012425,2
29,226.779342,2
30,228.545819,2
31,230.309364,2
32,232.081243,2
