packet_seq_no,packet_delay_in_secs,flow_id
1,0.005419,1
1,0.005342,2
2,0.216848,1
3,0.651186,1
4,1.085982,1
5,1.519389,1
6,1.952327,1
7,2.388284,1
8,2.82144,1
9,3.263641,1
10,3.701793,1
11,4.124079,1
12,4.562278,1
13,4.99101,1
14,5.435903,1
15,5.861567,1
16,6.295117,1
17,6.731087,1
18,7.163534,1
19,7.609597,1
20,8.03793,1
21,8.467971,1
22,8.900496,1
23,9.334263,1
24,9.767842,1
25,10.203044,1
26,10.63699,1
27,11.084516,1
28,11.507492,1
29,11.940357,1
30,12.373628,1
31,12.80858,1
32,13.242128,1
33,13.675922,1
34,14.112185,1
35,14.544456,1
36,14.978096,1
37,15.413324,1
38,15.846021,1
39,16.283493,1
40,16.715299,1
41,17.149202,1
42,17.583991,1
43,18.017842,1
44,18.451955,1
45,18.885742,1
46,19.320904,1
47,19.755147,1
48,20.188738,1
49,20.622845,1
50,21.058412,1
51,21.491695,1
52,21.925353,1
53,22.359065,1
54,22.793486,1
55,23.228163,1
56,23.662213,1
57,24.095951,1
58,24.530102,1
59,24.964837,1
60,25.398143,1
61,25.836606,1
62,26.267623,1
63,26.70159,1
64,27.132884,1
65,27.569951,1
66,28.003385,1
67,28.434027,1
68,28.871766,1
69,29.305787,1
70,29.74044,1
71,30.174229,1
72,30.608572,1
73,31.042942,1
74,31.477163,1
75,31.925245,1
76,32.345309,1
77,32.78855,1
78,33.213843,1
79,33.648116,1
80,34.087264,1
81,34.519389,1
82,34.950971,1
83,35.38472,1
84,35.826638,1
85,36.251897,1
86,36.691092,1
87,37.121432,1
88,37.554824,1
89,37.989709,1
90,38.433438,1
91,38.861807,1
92,39.318737,1
93,39.72489,1
94,40.177394,1
95,40.588236,1
96,41.028477,1
97,41.462773,1
98,41.89725,1
99,42.330777,1
100,42.76615,1
2,44.190816,2
3,44.62401,2
4,45.072783,2
5,45.491753,2
6,45.924854,2
7,46.360766,2
8,46.793068,2
9,47.229305,2
10,47.663023,2
11,48.097434,2
12,48.530285,2
13,48.962417,2
14,49.399418,2
15,49.832935,2
16,50.267862,2
17,50.702369,2
18,51.136434,2
19,51.569319,2
20,52.004408,2
21,52.449142,2
22,52.872892,2
23,53.307399,2
24,53.740702,2
25,54.175074,2
26,54.609309,2
27,55.04482,2
28,55.4804,2
29,55.91177,2
30,56.346406,2
31,56.783193,2
32,57.21477,2
33,57.648155,2
34,58.083979,2
35,58.516836,2
36,58.955534,2
37,59.385276,2
38,59.818177,2
39,60.262598,2
40,60.68754,2
41,61.132643,2
42,61.562517,2
43,61.99012,2
44,62.425862,2
45,62.858927,2
46,63.293895,2
47,63.72715,2
48,64.161577,2
49,64.605605,2
50,65.030006,2
51,65.464505,2
52,65.904989,2
53,66.331488,2
54,66.76642,2
55,67.20072,2
56,67.634695,2
57,68.068228,2
58,68.502649,2
59,68.941228,2
60,69.371025,2
61,69.804758,2
62,70.240028,2
63,70.676457,2
64,71.105402,2
65,71.542669,2
66,71.975515,2
67,72.407137,2
68,72.843589,2
69,73.278113,2
70,73.713393,2
71,74.159455,2
72,74.580441,2
73,75.019907,2
74,75.456291,2
75,75.883748,2
76,76.323294,2
77,76.755605,2
78,77.186043,2
79,77.620338,2
80,78.054588,2
81,78.488466,2
82,78.928944,2
83,79.367568,2
84,79.791543,2
85,80.224538,2
86,80.662514,2
87,81.093764,2
88,81.52947,2
89,81.961814,2
90,82.390111,2
91,82.832165,2
92,83.264935,2
93,83.697419,2
94,84.133398,2
95,84.564121,2
96,85.008108,2
97,85.435876,2
98,85.86986,2
99,86.302741,2
100,86.739162,2
1,88.172844,3
2,88.605933,3
3,89.040342,3
4,89.475079,3
5,89.908758,3
6,90.341231,3
7,90.777449,3
8,91.209364,3
9,91.646049,3
10,92.079351,3
11,92.513315,3
12,92.947294,3
13,93.379792,3
14,93.816629,3
15,94.250608,3
16,94.684023,3
17,95.119072,3
18,95.552736,3
19,95.9871,3
20,96.420745,3
21,96.862909,3
22,97.289683,3
23,97.73173,3
24,98.157186,3
25,98.591975,3
26,99.025939,3
27,99.464644,3
28,99.893644,3
29,100.3281,3
30,100.765266,3
31,101.197598,3
32,101.630452,3
33,102.065378,3
34,102.499622,3
35,102.933744,3
36,103.366946,3
37,103.802226,3
38,104.234492,3
39,104.671066,3
40,105.104398,3
41,105.538668,3
42,105.972648,3
43,106.40682,3
44,106.840204,3
45,107.274901,3
46,107.70982,3
47,108.143617,3
48,108.577776,3
49,109.011664,3
50,109.445909,3
51,109.883144,3
52,110.314577,3
53,110.75094,3
54,111.188176,3
55,111.616911,3
56,112.059054,3
57,112.487558,3
58,112.919584,3
59,113.354114,3
60,113.792874,3
61,114.221563,3
62,114.655859,3
63,115.090242,3
64,115.521882,3
65,115.965163,3
66,116.398238,3
67,116.823159,3
68,117.262918,3
69,117.695376,3
70,118.133633,3
71,118.56297,3
72,118.997728,3
73,119.43247,3
74,119.865553,3
75,120.29996,3
76,120.734805,3
77,121.167245,3
78,121.602887,3
79,122.037341,3
80,122.471028,3
81,122.905748,3
82,123.34004,3
83,123.773138,3
84,124.207546,3
85,124.641215,3
86,125.075972,3
87,125.510072,3
88,125.949279,3
89,126.384271,3
90,126.820509,3
91,127.248003,3
92,127.697913,3
93,128.116127,3
94,128.559834,3
95,128.977738,3
96,129.420988,3
97,129.860854,3
98,130.286767,3
99,130.724131,3
100,131.156466,3
1,132.588541,5
1,133.032735,4
2,133.47048,5
2,133.911682,4
3,134.354853,5
3,134.806047,4
4,135.225232,5
4,135.685898,4
5,136.102117,5
5,136.553117,4
6,136.97887,5
6,137.428863,4
7,137.858834,5
7,138.30288,4
8,138.735449,5
8,139.185299,4
9,139.615495,5
9,140.060433,4
10,140.495027,5
10,140.937313,4
11,141.37343,5
11,141.815614,4
12,142.249198,5
12,142.693669,4
13,143.125778,5
13,143.570931,4
14,144.007066,5
14,144.451413,4
15,144.887674,5
15,145.343055,4
16,145.765497,5
