packet_seq_no,packet_delay_in_secs,flow_id
1,0.006636,1
4,2.220321,1
6,7.046426,1
8,21.804274,1
10,37.119998,1
24,54.328389,1
26,61.365249,1
28,68.46639,1
30,75.555476,1
32,82.620519,1
34,86.152683,1
36,89.684396,1
38,93.216024,1
40,96.765232,1
42,100.291847,1
44,103.81718,1
46,107.35675,1
47,110.891861,1
49,114.437019,1
51,118.012434,1
53,121.534767,1
55,123.267299,1
57,125.020068,1
59,126.764035,1
61,128.792585,1
63,130.716892,1
65,132.49429,1
67,134.260276,1
69,135.997657,1
71,137.746574,1
73,139.521405,1
75,141.257504,1
77,143.022842,1
79,144.790366,1
81,146.535883,1
83,148.286281,1
85,150.039058,1
87,151.96429,1
89,153.554225,1
91,155.31799,1
93,157.057836,1
95,158.828434,1
97,160.599646,1
99,161.436984,1
2,163.312619,2
4,164.175318,2
6,165.040729,2
8,165.912089,2
10,166.780499,2
12,167.64856,2
14,168.552163,2
16,169.497584,2
91,171.588,2
92,172.61493,2
93,173.359875,2
94,174.223943,2
95,175.117499,2
96,175.991841,2
97,176.911048,2
98,177.818039,2
99,178.665471,2
100,179.54981,2
1,181.430613,5
1,182.321957,3
2,183.196868,3
1,184.095009,4
3,185.060668,3
4,185.923835,3
2,186.915021,5
5,187.770177,3
