packet_seq_no,packet_delay_in_secs,flow_id
1,0.005755,11
1,0.005774,12
1,0.014464,14
2,0.020486,11
3,0.025381,11
4,0.038951,11
5,0.040596,11
6,0.047333,11
7,0.053482,11
8,0.059313,11
9,0.066597,11
10,0.074328,11
11,0.080774,11
12,0.087348,11
13,0.094602,11
14,0.100499,11
15,0.107033,11
16,0.114095,11
17,0.120968,11
18,0.127351,11
19,0.133955,11
20,0.139205,11
21,0.147382,11
22,0.153994,11
23,0.160488,11
24,0.167379,11
25,0.17441,11
26,0.180398,11
27,0.187339,11
28,0.194139,11
29,0.200542,11
30,0.20704,11
31,0.214581,11
32,0.223074,11
33,0.227709,11
34,0.234526,11
35,0.24875,11
36,0.274386,11
37,0.264315,11
38,0.262671,11
39,0.269997,11
40,0.2742,11
41,0.279696,11
42,0.289064,11
43,0.295917,11
44,0.302334,11
45,0.309486,11
46,0.315573,11
47,0.322623,11
48,0.329181,11
49,0.339818,11
50,0.348095,11
51,0.349593,11
52,0.360815,11
53,0.361912,11
54,0.365705,11
55,0.37376,11
56,0.380444,11
57,0.384591,11
58,0.376466,11
59,0.393347,11
60,0.408814,11
61,0.391244,11
62,0.407728,11
63,0.424511,11
64,0.435537,11
65,0.442146,11
66,0.45076,11
67,0.454965,11
68,0.462128,11
69,0.469121,11
70,0.475809,11
71,0.482007,11
72,0.488827,11
73,0.495454,11
74,0.50198,11
75,0.508416,11
76,0.515814,11
77,0.521978,11
78,0.529602,11
79,0.53591,11
80,0.541851,11
81,0.549592,11
82,0.553876,11
83,0.560744,11
84,0.568816,11
85,0.577234,11
86,0.581924,11
87,0.588087,11
88,0.592486,11
89,0.60179,11
90,0.608653,11
91,0.615235,11
92,0.621684,11
93,0.628593,11
94,0.635167,11
95,0.642061,11
96,0.648762,11
97,0.65515,11
98,0.662245,11
99,0.668522,11
100,0.674824,11
2,1.671524,12
3,1.678772,12
4,1.685766,12
5,1.691384,12
6,1.698357,12
7,1.704201,12
8,1.709981,12
9,1.71806,12
10,1.725023,12
11,1.730976,12
12,1.740712,12
13,1.744961,12
14,1.751392,12
15,1.758419,12
16,1.765258,12
17,1.771638,12
18,1.777983,12
19,1.785138,12
20,1.790166,12
21,1.799419,12
22,1.805512,12
23,1.811436,12
24,1.818695,12
25,1.825232,12
26,1.831681,12
27,1.837586,12
28,1.844577,12
29,1.851551,12
30,1.857368,12
31,1.864846,12
32,1.871194,12
33,1.878128,12
34,1.884823,12
35,1.89087,12
36,1.898223,12
37,1.904655,12
38,1.911771,12
39,1.918153,12
40,1.923721,12
41,1.92785,12
42,1.938175,12
43,1.944864,12
44,1.951611,12
45,1.958621,12
46,1.964667,12
47,1.971648,12
48,1.977501,12
49,1.984793,12
