packet_seq_no,packet_delay_in_secs,flow_id
1,0.005662,1
4,2.195893,1
6,4.795665,1
8,11.882915,1
10,18.968912,1
12,26.05624,1
14,33.142916,1
16,40.229106,1
18,47.3223,1
20,54.40216,1
22,61.491796,1
24,68.855142,1
26,76.502751,1
76,95.789763,1
78,102.887633,1
80,109.961689,1
82,117.049378,1
84,124.135421,1
86,131.222306,1
88,138.309567,1
90,145.39547,1
92,152.482287,1
94,159.568807,1
96,166.655713,1
98,173.752893,1
100,180.839119,1
3,188.906066,2
5,195.992481,2
7,203.54542,2
9,210.631503,2
11,217.719048,2
13,225.388437,2
15,233.18595,2
17,240.272669,2
19,247.359204,2
21,254.445986,2
23,261.532968,2
25,268.619492,2
27,275.705456,2
29,282.79259,2
31,289.87872,2
33,296.966242,2
35,304.052542,2
37,311.131273,2
39,318.225807,2
41,325.309263,2
43,332.398795,2
45,339.485524,2
47,346.572408,2
49,353.676464,2
51,360.769335,2
53,367.832869,2
55,374.914789,2
57,382.005249,2
59,389.09686,2
61,396.184568,2
63,403.265486,2
65,410.632252,2
67,417.999169,2
83,489.426032,5
84,496.528543,5
85,503.618938,5
86,510.715747,5
87,517.812131,5
88,524.909207,5
89,532.005531,5
90,539.101593,5
91,546.199043,5
92,553.295524,5
93,560.391917,5
94,567.488731,5
95,574.584733,5
96,581.681198,5
97,588.779318,5
98,595.875077,5
99,602.97408,5
100,610.069313,5
