packet_seq_no,packet_delay_in_secs,flow_id
1,0.005814,6
1,0.005776,7
2,0.012802,6
3,0.043694,6
4,0.064742,6
5,0.089766,6
6,0.115681,6
7,0.138018,6
8,0.166739,6
9,0.192866,6
10,0.217761,6
11,0.243248,6
12,0.269256,6
13,0.294186,6
14,0.320109,6
15,0.345407,6
16,0.370808,6
17,0.392894,6
18,0.422719,6
19,0.447276,6
20,0.473028,6
21,0.498474,6
22,0.523941,6
23,0.549483,6
24,0.575239,6
25,0.601179,6
26,0.626365,6
27,0.651965,6
28,0.677615,6
29,0.702603,6
30,0.727264,6
31,0.754049,6
32,0.77761,6
33,0.805409,6
34,0.830853,6
35,0.856168,6
36,0.881601,6
37,0.906492,6
38,0.932784,6
39,0.958498,6
40,0.983971,6
41,1.009501,6
42,1.034409,6
43,1.06006,6
44,1.085695,6
45,1.111357,6
46,1.139899,6
47,1.165727,6
48,1.190706,6
49,1.216235,6
50,1.241906,6
51,1.267704,6
52,1.293033,6
53,1.319172,6
54,1.34418,6
55,1.370149,6
56,1.39753,6
57,1.420775,6
58,1.440483,6
59,1.471578,6
60,1.499261,6
61,1.522213,6
62,1.548345,6
63,1.573814,6
64,1.599037,6
65,1.625109,6
66,1.650444,6
67,1.676318,6
68,1.701819,6
69,1.72692,6
70,1.752524,6
71,1.778157,6
72,1.803472,6
73,1.829109,6
74,1.854814,6
75,1.88059,6
76,1.905773,6
77,1.935438,6
78,1.960636,6
79,1.986065,6
80,2.011488,6
81,2.037157,6
82,2.062409,6
83,2.087712,6
84,2.11426,6
85,2.139035,6
86,2.164977,6
87,2.190216,6
88,2.216024,6
89,2.241144,6
90,2.267134,6
91,2.295095,6
92,2.317995,6
93,2.343213,6
94,2.368838,6
95,2.394685,6
96,2.419879,6
97,2.445315,6
98,2.47132,6
99,2.496578,6
100,2.522222,6
2,3.537186,7
3,3.562676,7
4,3.589268,7
5,3.614221,7
6,3.639426,7
7,3.661563,7
8,3.690807,7
9,3.712674,7
10,3.74166,7
11,3.767422,7
12,3.793099,7
13,3.819385,7
14,3.843805,7
15,3.869014,7
16,3.896723,7
17,3.917382,7
18,3.946019,7
19,3.971895,7
20,3.997206,7
21,4.027275,7
22,4.048242,7
23,4.073503,7
24,4.09949,7
25,4.12493,7
26,4.150555,7
27,4.175746,7
28,4.200875,7
29,4.226897,7
30,4.253556,7
31,4.280352,7
32,4.304182,7
33,4.330973,7
34,4.357038,7
35,4.382906,7
36,4.407246,7
37,4.433455,7
38,4.458912,7
39,4.484651,7
40,4.51019,7
41,4.537281,7
42,4.56208,7
43,4.586698,7
44,4.61218,7
45,4.639343,7
46,4.664752,7
47,4.690514,7
48,4.715789,7
49,4.741362,7
50,4.76707,7
51,4.792459,7
52,4.817816,7
53,4.843553,7
54,4.86907,7
55,4.894593,7
56,4.920071,7
57,4.946031,7
58,4.965526,7
59,4.996622,7
60,5.022385,7
61,5.04739,7
62,5.073359,7
63,5.098814,7
64,5.124288,7
65,5.151734,7
66,5.174945,7
67,5.200916,7
68,5.226527,7
69,5.252134,7
70,5.27769,7
71,5.302949,7
72,5.328537,7
73,5.354132,7
74,5.380075,7
75,5.405499,7
76,5.431444,7
77,5.456651,7
78,5.482028,7
79,5.507268,7
80,5.532809,7
81,5.558477,7
82,5.583925,7
83,5.609309,7
84,5.635301,7
85,5.660433,7
86,5.68605,7
87,5.711505,7
88,5.737299,7
89,5.762509,7
90,5.788535,7
91,5.816303,7
92,5.839298,7
93,5.864734,7
94,5.890849,7
95,5.916047,7
96,5.941597,7
97,5.967066,7
98,5.992707,7
99,6.018408,7
100,6.044188,7
1,7.07069,10
1,7.104535,8
2,7.129811,8
1,7.175791,9
3,7.191403,8
4,7.216655,8
2,7.271764,10
5,7.277767,8
2,7.34272,9
6,7.33903,8
3,7.404429,10
7,7.396545,8
8,7.425819,8
3,7.51131,9
9,7.483156,8
10,7.512203,8
4,7.608178,10
11,7.573716,8
4,7.678824,9
12,7.634241,8
5,7.739597,10
13,7.695437,8
14,7.720851,8
5,7.846719,9
15,7.781591,8
16,7.807631,8
6,7.943379,10
17,7.865461,8
6,8.013961,9
18,7.929882,8
19,7.955074,8
7,8.106989,10
20,8.016105,8
7,8.178475,9
21,8.077477,8
8,8.24327,10
22,8.138515,8
23,8.163624,8
8,8.349719,9
24,8.225041,8
25,8.250614,8
9,8.448164,10
26,8.311574,8
9,8.513428,9
27,8.372384,8
10,8.582381,10
28,8.433277,8
29,8.459285,8
10,8.686004,9
30,8.519471,8
31,8.545902,8
11,8.782179,10
32,8.605786,8
11,8.852603,9
33,8.667624,8
12,8.913635,10
34,8.729022,8
35,8.754463,8
12,9.020823,9
36,8.815015,8
37,8.841446,8
13,9.116721,10
38,8.901862,8
13,9.190012,9
39,8.963271,8
14,9.249074,10
40,9.024928,8
41,9.049985,8
14,9.355454,9
42,9.110838,8
43,9.13642,8
15,9.456314,10
44,9.197721,8
15,9.522709,9
45,9.259026,8
46,9.283713,8
16,9.62096,10
47,9.346021,8
16,9.691073,9
48,9.406851,8
17,9.748555,10
49,9.468361,8
50,9.493419,8
17,9.854933,9
51,9.554136,8
52,9.579939,8
18,9.955445,10
53,9.640616,8
18,10.02625,9
54,9.70163,8
19,10.087209,10
55,9.762726,8
56,9.788075,8
19,10.194221,9
57,9.849284,8
58,9.869234,8
20,10.290358,10
59,9.935833,8
20,10.361404,9
60,9.996817,8
21,10.42283,10
61,10.057977,8
62,10.083907,8
21,10.529294,9
63,10.144512,8
64,10.170175,8
22,10.626196,10
65,10.231476,8
22,10.697114,9
66,10.292319,8
23,10.757746,10
67,10.353195,8
68,10.37908,8
23,10.864592,9
69,10.440111,8
70,10.466453,8
24,10.961301,10
71,10.526492,8
24,11.032246,9
72,10.587717,8
73,10.613565,8
25,11.129567,10
74,10.674507,8
25,11.200111,9
75,10.73574,8
26,11.261196,10
76,10.796192,8
77,10.822618,8
26,11.368503,9
78,10.883269,8
79,10.908791,8
27,11.464191,10
80,10.969212,8
27,11.535668,9
81,11.030798,8
28,11.596805,10
82,11.091631,8
83,11.116804,8
28,11.702999,9
84,11.178062,8
85,11.203687,8
29,11.799261,10
86,11.264753,8
29,11.870216,9
87,11.326007,8
30,11.930564,10
88,11.387085,8
89,11.412251,8
30,12.036817,9
90,11.473758,8
91,11.499674,8
31,12.134547,10
92,11.562129,8
31,12.207866,9
93,11.62116,8
32,12.265017,10
94,11.682758,8
95,11.707957,8
32,12.37216,9
96,11.769175,8
97,11.794547,8
33,12.470682,10
98,11.855516,8
33,12.540646,9
99,11.91697,8
100,11.943292,8
34,12.637688,10
34,12.673371,9
35,12.698652,10
35,12.734106,9
36,12.759918,10
36,12.794948,9
37,12.827729,10
37,12.85642,9
38,12.882756,10
38,12.917348,9
39,12.943278,10
39,12.979104,9
40,13.004698,10
40,13.04006,9
41,13.065271,10
41,13.100801,9
42,13.127004,10
42,13.165818,9
43,13.187872,10
43,13.222786,9
44,13.248256,10
44,13.284137,9
45,13.309451,10
45,13.345731,9
46,13.370747,10
46,13.406511,9
47,13.431662,10
47,13.467475,9
48,13.492578,10
48,13.528093,9
49,13.554315,10
49,13.58984,9
50,13.614755,10
50,13.650599,9
51,13.67634,10
51,13.711217,9
52,13.737364,10
52,13.772432,9
53,13.798209,10
53,13.833904,9
54,13.85907,10
54,13.894523,9
55,13.923317,10
55,13.95552,9
56,13.981018,10
56,14.016581,9
57,14.042432,10
57,14.077817,9
58,14.098233,10
58,14.132916,9
59,14.164242,10
59,14.201129,9
60,14.228075,10
60,14.261294,9
61,14.286073,10
61,14.322036,9
62,14.357803,10
62,14.384136,9
63,14.409069,10
63,14.444919,9
64,14.470005,10
64,14.505087,9
65,14.533896,10
65,14.567246,9
66,14.592614,10
66,14.627988,9
67,14.653122,10
67,14.688939,9
68,14.714744,10
68,14.750938,9
69,14.775122,10
69,14.810703,9
70,14.836816,10
70,14.871629,9
71,14.898497,10
71,14.935873,9
72,14.958641,10
72,14.993571,9
73,15.019178,10
73,15.054936,9
74,15.080686,10
74,15.121139,9
75,15.142399,10
75,15.177551,9
76,15.202469,10
76,15.23792,9
77,15.263486,10
77,15.29904,9
78,15.325801,10
78,15.36029,9
79,15.38609,10
79,15.421421,9
80,15.447149,10
80,15.482746,9
81,15.507933,10
81,15.54333,9
82,15.569113,10
82,15.605263,9
83,15.630462,10
83,15.665083,9
84,15.690934,10
84,15.726508,9
85,15.75214,10
85,15.794173,9
86,15.815988,10
86,15.857723,9
87,15.874247,10
87,15.909463,9
88,15.93545,10
88,15.971233,9
89,15.996385,10
89,16.03219,9
90,16.058279,10
90,16.093396,9
91,16.118599,10
91,16.154985,9
92,16.179945,10
92,16.21542,9
93,16.2411,10
93,16.277825,9
94,16.301668,10
94,16.33814,9
95,16.363397,10
95,16.399987,9
96,16.423899,10
96,16.459294,9
97,16.485034,10
97,16.520429,9
98,16.545931,10
98,16.582135,9
99,16.607911,10
99,16.642895,9
100,16.668112,10
100,16.703973,9
