packet_seq_no,packet_delay_in_secs,flow_id
1,0.006246,1
4,2.195885,1
6,7.05029,1
8,21.802346,1
10,37.118738,1
24,54.269734,1
26,61.356892,1
28,68.450024,1
30,75.530438,1
32,82.618094,1
34,86.149624,1
36,89.670048,1
38,93.217664,1
40,96.74935,1
42,100.284332,1
44,103.818593,1
46,107.343428,1
48,110.88305,1
50,114.406561,1
52,117.952732,1
54,121.478661,1
56,123.241411,1
58,124.996806,1
60,126.752891,1
62,128.510251,1
64,130.381783,1
66,132.139271,1
68,133.896931,1
70,135.797883,1
72,137.555278,1
74,139.311366,1
76,141.069024,1
78,142.824973,1
80,144.582022,1
82,146.335353,1
84,148.095649,1
86,149.863469,1
88,151.603542,1
90,153.365291,1
92,155.122243,1
94,156.878691,1
96,158.634848,1
98,160.392086,1
100,161.260175,1
3,163.118141,2
5,163.987014,2
7,164.855187,2
9,165.723906,2
11,166.590405,2
13,167.460302,2
15,168.328027,2
17,169.200758,2
19,170.064869,2
21,170.97673,2
23,171.872081,2
93,173.950379,2
95,174.818772,2
97,175.686965,2
99,176.555658,2
1,178.423967,3
2,179.302426,3
1,180.19936,4
5,181.630013,3
6,183.397379,3
7,185.164035,3
8,186.928973,3
3,188.756219,4
4,190.523117,5
12,192.226287,3
13,193.986725,3
