packet_seq_no,packet_delay_in_secs,flow_id
1,0.005559,6
1,0.005577,7
2,0.013216,6
3,0.038451,6
4,0.064491,6
5,0.089551,6
6,0.1152,6
7,0.141536,6
8,0.166497,6
9,0.191548,6
10,0.217459,6
11,0.243532,6
12,0.268299,6
13,0.294573,6
14,0.320324,6
15,0.345898,6
16,0.370679,6
17,0.396116,6
18,0.422485,6
19,0.44695,6
20,0.482717,6
21,0.505722,6
22,0.523665,6
23,0.548861,6
24,0.575799,6
25,0.600499,6
26,0.625802,6
27,0.651898,6
28,0.677153,6
29,0.702546,6
30,0.728596,6
31,0.753692,6
32,0.780684,6
33,0.801781,6
34,0.830354,6
35,0.855586,6
36,0.881725,6
37,0.907752,6
38,0.932526,6
39,0.957511,6
40,0.979446,6
41,1.009357,6
42,1.034896,6
43,1.059689,6
44,1.085229,6
45,1.110923,6
46,1.136944,6
47,1.158519,6
48,1.188485,6
49,1.212844,6
50,1.240009,6
51,1.264113,6
52,1.289538,6
53,1.315418,6
54,1.348061,6
55,1.363211,6
56,1.3862,6
57,1.416247,6
58,1.442979,6
59,1.465214,6
60,1.493938,6
61,1.519771,6
62,1.545296,6
63,1.570779,6
64,1.59656,6
65,1.621953,6
66,1.647081,6
67,1.673646,6
68,1.696605,6
69,1.7235,6
70,1.746434,6
71,1.770071,6
72,1.802471,6
73,1.829661,6
74,1.85427,6
75,1.876642,6
76,1.900363,6
77,1.930081,6
78,1.955666,6
79,1.977463,6
80,2.007856,6
81,2.032548,6
82,2.059356,6
83,2.084157,6
84,2.109331,6
85,2.134753,6
86,2.160814,6
87,2.186141,6
88,2.211199,6
89,2.237734,6
90,2.26367,6
91,2.288296,6
92,2.313422,6
93,2.339865,6
94,2.364722,6
95,2.391074,6
96,2.41625,6
97,2.441747,6
98,2.467295,6
99,2.492056,6
100,2.517736,6
2,3.534258,7
3,3.558703,7
4,3.584669,7
5,3.610531,7
6,3.635192,7
7,3.661111,7
8,3.686559,7
9,3.713324,7
10,3.741814,7
11,3.763583,7
12,3.793552,7
13,3.815203,7
14,3.839809,7
15,3.865333,7
16,3.89142,7
17,3.916471,7
18,3.942338,7
19,3.96765,7
20,4.003161,7
21,4.018855,7
22,4.043911,7
23,4.070381,7
24,4.09515,7
25,4.120922,7
26,4.146049,7
27,4.171983,7
28,4.197505,7
29,4.222578,7
30,4.248486,7
31,4.27623,7
32,4.299034,7
33,4.323064,7
34,4.351147,7
35,4.377018,7
36,4.401149,7
37,4.427154,7
38,4.452522,7
39,4.4782,7
40,4.499806,7
41,4.528779,7
42,4.554572,7
43,4.579952,7
44,4.605316,7
45,4.636111,7
46,4.661177,7
47,4.68043,7
48,4.709502,7
49,4.735104,7
50,4.760672,7
51,4.788307,7
52,4.810883,7
53,4.836304,7
54,4.862371,7
55,4.887853,7
56,4.909623,7
57,4.93712,7
58,4.964444,7
59,4.986215,7
60,5.01569,7
61,5.041395,7
62,5.067039,7
63,5.097924,7
64,5.118254,7
65,5.143827,7
66,5.168837,7
67,5.194635,7
68,5.217749,7
69,5.244841,7
70,5.268234,7
71,5.291635,7
72,5.322535,7
73,5.348463,7
74,5.373104,7
75,5.395544,7
76,5.419381,7
77,5.450308,7
78,5.475226,7
79,5.497591,7
80,5.527427,7
81,5.551457,7
82,5.578398,7
83,5.602826,7
84,5.628317,7
85,5.655755,7
86,5.679905,7
87,5.70716,7
88,5.730679,7
89,5.756097,7
90,5.782241,7
91,5.807628,7
92,5.834447,7
93,5.858917,7
94,5.884034,7
95,5.913415,7
96,5.935827,7
97,5.961618,7
98,5.986268,7
99,6.012276,7
100,6.037455,7
1,7.062769,10
1,7.100549,8
2,7.124066,8
1,7.169219,9
3,7.184545,8
4,7.210817,8
2,7.266934,10
5,7.271888,8
2,7.338868,9
6,7.331985,8
3,7.398341,10
7,7.393531,8
8,7.419266,8
3,7.50456,9
9,7.480651,8
10,7.505894,8
4,7.601216,10
11,7.566503,8
4,7.672248,9
12,7.627485,8
5,7.733539,10
13,7.69009,8
14,7.714913,8
5,7.840206,9
15,7.775719,8
16,7.801377,8
6,7.935958,10
17,7.862031,8
6,8.007202,9
18,7.923478,8
19,7.948453,8
7,8.104095,10
20,8.009863,8
7,8.176055,9
21,8.071013,8
8,8.237151,10
22,8.131574,8
23,8.157536,8
8,8.342815,9
24,8.218266,8
25,8.251004,8
9,8.440008,10
26,8.304943,8
9,8.510537,9
27,8.366755,8
10,8.572068,10
28,8.427314,8
29,8.467427,8
10,8.679552,9
30,8.51432,8
31,8.539509,8
11,8.774939,10
32,8.60007,8
11,8.84688,9
33,8.66371,8
12,8.906898,10
34,8.730288,8
35,8.750865,8
12,9.013151,9
36,8.820725,8
37,8.835223,8
13,9.110438,10
38,8.89567,8
13,9.181937,9
39,8.956664,8
14,9.243222,10
40,9.015273,8
41,9.049559,8
14,9.349172,9
42,9.10427,8
43,9.130187,8
15,9.446118,10
44,9.206366,8
15,9.516917,9
45,9.254613,8
46,9.277547,8
16,9.613156,10
47,9.335365,8
16,9.684669,9
48,9.400223,8
17,9.745387,10
49,9.463953,8
50,9.48678,8
17,9.85182,9
51,9.547867,8
52,9.572947,8
18,9.948906,10
53,9.634321,8
18,10.019924,9
54,9.695312,8
19,10.080235,10
55,9.753184,8
56,9.775692,8
19,10.187005,9
57,9.841275,8
58,9.869081,8
