packet_seq_no,packet_delay_in_secs,flow_id
1,0.005661,1
1,0.005677,2
3,1.760022,1
4,5.302076,1
5,8.845865,1
6,12.392757,1
7,15.9321,1
8,19.615964,1
9,23.299192,1
10,26.981612,1
23,32.044246,1
24,35.581384,1
25,39.121891,1
26,42.668933,1
27,46.212643,1
28,49.755232,1
29,53.589064,1
30,57.132416,1
31,61.032427,1
32,64.574856,1
33,68.119328,1
34,71.662363,1
35,75.2057,1
36,78.749245,1
37,82.292474,1
38,85.835605,1
39,89.378652,1
40,92.921471,1
41,96.465807,1
42,100.009614,1
43,103.552621,1
44,107.096217,1
45,110.639078,1
46,114.185391,1
47,117.725798,1
48,121.269197,1
49,124.812334,1
50,128.357245,1
51,131.892497,1
52,135.44159,1
53,138.985049,1
54,142.534631,1
55,146.072473,1
56,149.615608,1
57,153.15935,1
58,156.705385,1
59,160.245816,1
60,163.789236,1
61,167.332588,1
62,170.877829,1
63,174.419113,1
64,177.962383,1
65,181.645898,1
66,185.337845,1
67,188.875907,1
68,192.555945,1
4,212.189246,3
2,215.762647,5
5,219.286308,3
2,222.869323,4
6,226.382638,3
3,229.966104,5
7,233.487296,3
8,237.022375,3
3,240.625936,4
9,244.119454,3
10,247.66189,3
4,251.276212,5
11,254.758182,3
4,258.382577,4
12,261.872214,3
5,265.492362,5
13,268.947306,3
14,272.495878,3
5,276.139434,4
15,279.592673,3
16,283.136545,3
6,286.789552,5
17,290.236719,3
6,293.895893,4
18,297.328552,3
19,300.891085,3
7,304.545421,5
20,307.990254,3
7,311.655167,4
21,315.066247,3
8,318.748976,5
22,322.161273,3
23,325.705229,3
8,329.412711,4
24,332.801288,3
25,336.341441,3
9,340.059042,5
26,343.442397,3
9,347.168671,4
27,350.53943,3
10,354.262366,5
28,357.637805,3
29,361.178646,3
10,364.921408,4
30,368.276053,3
31,371.818888,3
11,375.571617,5
32,378.914543,3
11,382.68051,4
33,386.00718,3
12,389.782727,5
34,393.108947,3
35,396.652392,3
12,400.436743,4
36,403.749367,3
37,407.292641,3
13,411.081395,5
38,414.391659,3
13,418.187503,4
39,421.485221,3
14,425.29413,5
40,428.591022,3
41,432.266423,3
14,436.229628,4
42,439.512475,3
43,443.187317,3
94,470.070756,4
95,473.612633,5
95,477.166344,4
96,480.713926,5
96,484.262844,4
97,487.837534,5
97,491.367381,4
98,494.901847,5
98,498.455015,4
99,501.998669,5
99,505.551909,4
100,509.096388,5
100,512.659715,4
