packet_seq_no,packet_delay_in_secs,flow_id
1,0.005663,6
1,0.005366,7
2,0.06653,6
3,0.198452,6
4,0.331064,6
5,0.466615,6
6,0.595206,6
7,0.740468,6
8,0.859317,6
9,0.991529,6
10,1.122529,6
11,1.254768,6
12,1.387995,6
13,1.515328,6
14,1.652318,6
15,1.784281,6
16,1.916431,6
17,2.048539,6
18,2.180613,6
19,2.312954,6
20,2.446381,6
21,2.577909,6
22,2.708188,6
23,2.841404,6
24,2.971892,6
25,3.101948,6
26,3.238194,6
27,3.37017,6
28,3.501308,6
29,3.634779,6
30,3.766346,6
31,3.898748,6
32,4.030003,6
33,4.157546,6
34,4.29772,6
35,4.426951,6
36,4.558681,6
37,4.691273,6
38,4.823455,6
39,4.955054,6
40,5.086323,6
41,5.220081,6
42,5.351772,6
43,5.484952,6
44,5.616075,6
45,5.749404,6
46,5.880338,6
47,6.012998,6
48,6.144685,6
49,6.277067,6
50,6.409098,6
51,6.534682,6
52,6.672741,6
53,6.804935,6
54,6.937527,6
55,7.070025,6
56,7.20974,6
57,7.333497,6
58,7.464105,6
59,7.598176,6
60,7.730249,6
61,7.862607,6
62,7.995133,6
63,8.12626,6
64,8.258874,6
65,8.391273,6
66,8.523073,6
67,8.653987,6
68,8.787151,6
69,8.935161,6
70,9.05177,6
71,9.178325,6
72,9.313649,6
73,9.447632,6
74,9.577364,6
75,9.711587,6
76,9.862062,6
77,9.976379,6
78,10.10818,6
79,10.2402,6
80,10.362956,6
81,10.504429,6
82,10.638849,6
83,10.776316,6
84,10.901257,6
85,11.033724,6
86,11.166114,6
87,11.297162,6
88,11.429748,6
89,11.562258,6
90,11.693805,6
91,11.826588,6
92,11.972137,6
93,12.090855,6
94,12.223493,6
95,12.355,6
96,12.492713,6
97,12.619545,6
98,12.75163,6
99,12.885329,6
100,13.023964,6
2,14.143622,7
3,14.275904,7
4,14.40181,7
5,14.534427,7
6,14.66639,7
7,14.815296,7
8,14.930522,7
9,15.062944,7
10,15.196458,7
11,15.326881,7
12,15.459171,7
13,15.588354,7
14,15.741746,7
15,15.855621,7
16,15.98812,7
17,16.119881,7
18,16.251338,7
19,16.389366,7
20,16.529426,7
21,16.64824,7
22,16.779953,7
23,16.912338,7
24,17.04284,7
25,17.179434,7
26,17.308718,7
27,17.4448,7
28,17.572207,7
29,17.705071,7
30,17.846157,7
31,17.972779,7
32,18.107866,7
33,18.229076,7
34,18.366812,7
35,18.498816,7
36,18.632312,7
37,18.767101,7
38,18.894577,7
39,19.026698,7
40,19.157602,7
41,19.291692,7
42,19.422963,7
43,19.556172,7
44,19.687223,7
45,19.823927,7
46,19.973708,7
47,20.084034,7
48,20.216162,7
49,20.347644,7
50,20.49067,7
51,20.620408,7
52,20.760096,7
53,20.882709,7
54,21.014894,7
55,21.147234,7
56,21.278623,7
57,21.421343,7
58,21.540527,7
59,21.684528,7
60,21.806753,7
61,21.946368,7
62,22.07144,7
63,22.203854,7
64,22.341717,7
65,22.48263,7
66,22.611907,7
67,22.750947,7
68,22.875083,7
69,23.001141,7
70,23.136814,7
71,23.262787,7
72,23.424975,7
73,23.525254,7
74,23.660812,7
75,23.788346,7
76,23.939828,7
77,24.065514,7
78,24.190663,7
79,24.32246,7
80,24.44665,7
81,24.586684,7
82,24.71881,7
83,24.874337,7
84,24.983544,7
85,25.115819,7
86,25.247826,7
87,25.403945,7
88,25.512385,7
89,25.665465,7
90,25.791134,7
91,25.908924,7
92,26.041712,7
93,26.173765,7
94,26.309235,7
95,26.437161,7
96,26.569863,7
97,26.701808,7
98,26.834773,7
99,26.976954,7
100,27.104413,7
1,28.230323,10
1,28.372879,8
2,28.527104,8
1,28.657137,9
3,28.78036,8
4,28.910409,8
2,29.082093,10
5,29.192581,8
2,29.362731,9
6,29.477649,8
3,29.637478,10
7,29.738962,8
8,29.871394,8
3,30.070267,9
9,30.145754,8
10,30.277058,8
4,30.480106,10
11,30.552201,8
4,30.769519,9
12,30.826585,8
5,31.039587,10
13,31.099014,8
14,31.23621,8
5,31.466735,9
15,31.55147,8
16,31.638884,8
6,31.909295,10
17,31.921274,8
6,32.177584,9
18,32.192115,8
19,32.327465,8
7,32.602509,10
20,32.610538,8
7,32.894038,9
21,32.868352,8
8,33.140983,10
