packet_seq_no,packet_delay_in_secs,flow_id
1,0.005547,1
1,0.005512,2
2,1.769046,1
3,5.456318,1
4,8.996252,1
5,12.539654,1
6,16.082318,1
7,19.626035,1
8,23.169442,1
9,26.711801,1
10,30.270507,1
11,33.801626,1
12,37.342813,1
13,40.877318,1
14,44.429743,1
15,47.973806,1
16,51.515624,1
17,55.306098,1
18,59.768156,1
19,63.446181,1
20,66.996518,1
21,70.535004,1
22,74.076336,1
23,77.636145,1
24,81.168294,1
25,84.713698,1
26,88.249906,1
27,91.804406,1
28,95.338726,1
29,98.899026,1
30,102.422543,1
31,105.965877,1
32,109.51256,1
33,113.072727,1
34,116.876218,1
35,120.55542,1
36,124.117225,1
37,127.646037,1
38,131.189294,1
39,134.732266,1
40,138.29572,1
41,141.833206,1
42,145.362943,1
43,148.905496,1
44,152.449875,1
45,156.272661,1
46,159.955224,1
47,163.498956,1
48,167.055022,1
49,170.633548,1
50,174.150218,1
51,177.672988,1
52,181.449185,1
53,184.992827,1
54,189.184422,1
55,192.719645,1
56,196.686762,1
57,200.242369,1
58,203.782544,1
59,207.324994,1
60,210.861704,1
61,214.404196,1
62,217.952406,1
63,221.488782,1
64,225.048708,1
65,228.579407,1
66,232.137943,1
67,235.939563,1
68,239.78582,1
69,243.316465,1
70,246.870551,1
71,250.404329,1
72,253.947367,1
73,257.482089,1
74,261.02614,1
75,264.574476,1
76,268.103209,1
77,271.656819,1
78,275.480125,1
79,279.349136,1
80,282.8417,1
81,286.398306,1
82,289.935008,1
83,293.48114,1
84,297.021952,1
85,300.556206,1
86,304.10694,1
87,307.641668,1
88,311.192095,1
89,314.743134,1
90,318.706176,1
91,322.543377,1
92,326.077006,1
93,329.612404,1
94,333.156862,1
95,336.699102,1
96,340.247021,1
97,343.792869,1
98,347.33493,1
99,350.87233,1
100,354.418047,1
2,358.960287,2
3,362.772348,2
4,366.735732,2
5,370.286248,2
6,373.848683,2
7,377.367662,2
8,380.910452,2
9,384.473349,2
10,387.995596,2
11,391.543188,2
12,395.082926,2
13,398.61756,2
14,402.175094,2
15,405.992209,2
16,410.099361,2
17,413.638959,2
18,417.192296,2
19,420.72616,2
20,424.270568,2
21,427.81846,2
22,431.361301,2
23,434.904432,2
24,438.442731,2
25,442.218865,2
26,445.762668,2
27,449.969231,2
28,453.501123,2
29,457.038352,2
30,460.86226,2
32,465.097942,2
33,468.638529,2
34,472.183805,2
35,475.722461,2
36,479.268863,2
37,482.815895,2
38,486.35921,2
39,489.899429,2
40,493.446124,2
41,496.985417,2
42,500.529351,2
43,504.081247,2
44,507.615769,2
45,511.1592,2
46,514.987359,2
