packet_seq_no,packet_delay_in_secs,flow_id
1,0.005835,11
1,0.005853,12
2,0.012685,11
3,0.035551,11
4,0.059297,11
5,0.082468,11
6,0.105879,11
7,0.1291,11
8,0.153097,11
9,0.178622,11
10,0.199527,11
11,0.222248,11
12,0.245795,11
13,0.269142,11
14,0.292927,11
15,0.317818,11
16,0.339417,11
17,0.362505,11
18,0.386959,11
19,0.40916,11
20,0.432348,11
21,0.461379,11
22,0.485693,11
23,0.521158,11
24,0.530788,11
25,0.547176,11
26,0.572374,11
27,0.595305,11
28,0.619156,11
29,0.650077,11
30,0.670257,11
31,0.68909,11
32,0.711953,11
33,0.735102,11
34,0.758819,11
35,0.781872,11
36,0.80504,11
37,0.82877,11
38,0.852168,11
39,0.876486,11
40,0.898206,11
41,0.921686,11
42,0.945498,11
43,0.968445,11
44,0.989981,11
45,1.015162,11
46,1.038146,11
47,1.061968,11
48,1.08562,11
49,1.122332,11
50,1.131475,11
51,1.155331,11
52,1.178406,11
53,1.198069,11
54,1.261693,11
55,1.253101,11
56,1.275864,11
57,1.305732,11
58,1.324522,11
59,1.341888,11
60,1.364649,11
61,1.388399,11
62,1.411739,11
63,1.438129,11
64,1.454912,11
65,1.459795,11
66,1.493246,11
67,1.526452,11
68,1.545425,11
69,1.571768,11
70,1.592229,11
71,1.620423,11
72,1.634132,11
73,1.666028,11
74,1.679668,11
75,1.713194,11
76,1.738166,11
77,1.759561,11
78,1.785846,11
79,1.807861,11
80,1.865239,11
81,1.85562,11
82,1.884437,11
83,1.901306,11
84,1.924453,11
85,1.947637,11
86,1.970243,11
87,1.994042,11
88,2.017892,11
89,2.063409,11
90,2.064529,11
91,2.087786,11
92,2.111045,11
93,2.134363,11
94,2.154803,11
95,2.208856,11
96,2.204178,11
97,2.22437,11
98,2.247475,11
99,2.273908,11
100,2.295162,11
2,3.3111,12
3,3.336748,12
4,3.388595,12
5,3.381948,12
6,3.419507,12
7,3.427313,12
8,3.45062,12
9,3.478642,12
10,3.516394,12
11,3.520632,12
12,3.544215,12
13,3.568218,12
14,3.590612,12
15,3.614515,12
16,3.637235,12
17,3.659201,12
18,3.683752,12
19,3.718062,12
20,3.730517,12
21,3.753969,12
22,3.777073,12
23,3.800342,12
24,3.823982,12
25,3.848056,12
26,3.904095,12
27,3.893536,12
28,3.934711,12
29,3.940143,12
30,3.963832,12
31,3.986702,12
32,4.01588,12
33,4.033875,12
34,4.092001,12
35,4.082007,12
36,4.116717,12
37,4.127321,12
38,4.150332,12
39,4.17327,12
40,4.19615,12
41,4.225527,12
42,4.252221,12
43,4.267546,12
44,4.317659,12
45,4.314259,12
46,4.335279,12
47,4.359646,12
48,4.384435,12
49,4.419604,12
50,4.428759,12
51,4.452921,12
52,4.491113,12
53,4.501778,12
54,4.522915,12
55,4.547963,12
56,4.5743,12
57,4.598283,12
58,4.620976,12
59,4.650572,12
60,4.664386,12
61,4.69645,12
62,4.710772,12
63,4.734631,12
64,4.78395,12
65,4.781344,12
66,4.792604,12
67,4.8623,12
68,4.84819,12
69,4.87172,12
70,4.891351,12
71,4.932411,12
72,4.932977,12
73,4.969216,12
74,4.984457,12
75,5.012917,12
76,5.047394,12
77,5.057604,12
78,5.084163,12
79,5.107064,12
80,5.129803,12
81,5.153653,12
82,5.194589,12
83,5.201739,12
84,5.223642,12
85,5.25452,12
86,5.27046,12
87,5.293288,12
88,5.338402,12
89,5.346504,12
90,5.370068,12
91,5.402287,12
92,5.419944,12
93,5.43605,12
94,5.451565,12
95,5.498729,12
96,5.504134,12
97,5.524004,12
98,5.548371,12
99,5.574296,12
100,5.599602,12
1,6.61991,15
1,6.652916,13
2,6.676853,13
1,6.719537,14
3,6.733165,13
4,6.773861,13
2,6.812178,15
5,6.814531,13
2,6.876444,14
6,6.869589,13
3,6.949514,15
7,6.976726,13
8,6.966435,13
3,7.058907,14
9,7.010469,13
10,7.034868,13
4,7.123426,15
11,7.086135,13
4,7.189924,14
12,7.143503,13
5,7.259786,15
13,7.199338,13
14,7.223923,13
5,7.357425,14
15,7.279726,13
16,7.303223,13
6,7.436687,15
17,7.360982,13
