packet_seq_no,packet_delay_in_secs,flow_id
1,0.005552,1
1,0.005581,2
3,3.532157,1
4,10.630387,1
5,17.736171,1
6,24.822183,1
7,31.918171,1
8,39.015813,1
9,46.11161,1
10,53.489623,1
11,60.872098,1
12,68.24293,1
13,75.338797,1
58,93.835412,1
59,100.946842,1
60,108.02881,1
61,115.121759,1
62,122.222257,1
63,129.308274,1
64,136.415635,1
65,143.512446,1
66,150.609003,1
67,157.708463,1
68,164.80212,1
69,171.902537,1
70,178.995891,1
71,186.091452,1
72,193.19636,1
73,200.300334,1
74,207.382161,1
75,214.47737,1
76,221.575168,1
77,228.672224,1
78,235.764142,1
79,242.866112,1
80,249.954405,1
81,257.059356,1
82,264.15542,1
83,271.252589,1
84,278.348589,1
85,285.445932,1
86,292.542625,1
87,299.639172,1
88,306.735253,1
89,313.833015,1
90,320.927023,1
91,328.026591,1
92,335.122585,1
93,342.219194,1
94,349.315354,1
95,356.41324,1
96,364.089465,1
97,371.899095,1
98,378.99873,1
99,386.09274,1
100,393.656384,1
2,401.742234,2
3,408.839068,2
4,415.93558,2
5,423.042412,2
6,430.129213,2
7,437.225996,2
8,444.32206,2
9,451.418898,2
10,458.525602,2
11,465.613179,2
12,472.709573,2
13,479.808808,2
14,486.915928,2
15,493.999452,2
16,501.09632,2
17,508.192828,2
18,515.289649,2
19,522.391972,2
20,529.482936,2
21,536.582109,2
22,543.676091,2
23,550.771831,2
24,557.868298,2
25,564.96574,2
26,572.057575,2
27,579.159651,2
28,586.256107,2
29,593.352476,2
30,600.4497,2
31,607.562452,2
32,614.643678,2
33,621.751512,2
34,628.836618,2
35,635.937665,2
36,643.029244,2
37,650.125542,2
38,657.221888,2
39,664.319149,2
40,671.440262,2
41,678.517358,2
42,685.609001,2
43,692.705501,2
44,699.802386,2
45,706.899359,2
46,714.002047,2
47,721.092873,2
48,728.189737,2
49,735.284869,2
50,742.382141,2
51,749.479417,2
52,756.574504,2
53,763.669421,2
54,770.768921,2
55,777.866024,2
56,784.962309,2
57,792.059438,2
58,799.166197,2
59,806.25259,2
60,813.348493,2
61,820.45365,2
62,827.542593,2
63,834.628501,2
64,841.735758,2
65,848.832253,2
66,855.929275,2
67,863.308939,2
68,870.408027,2
69,877.778338,2
70,885.156027,2
