packet_seq_no,packet_delay_in_secs,flow_id
1,0.005504,6
1,0.005532,7
2,0.137183,6
3,0.411413,6
4,0.690219,6
5,0.960779,6
6,1.233529,6
7,1.508568,6
8,1.782393,6
9,2.056598,6
10,2.331388,6
11,2.605847,6
12,2.879821,6
13,3.154363,6
14,3.431558,6
15,3.707763,6
16,3.97783,6
17,4.25136,6
18,4.526003,6
19,4.799414,6
20,5.075224,6
21,5.348395,6
22,5.624641,6
23,5.906369,6
24,6.170436,6
25,6.451799,6
26,6.714698,6
27,6.994248,6
28,7.26833,6
29,7.543265,6
30,7.817294,6
31,8.091126,6
32,8.365257,6
33,8.639569,6
34,8.919618,6
35,9.188788,6
36,9.462397,6
37,9.747208,6
38,10.020264,6
39,10.28582,6
40,10.569567,6
41,10.850749,6
42,11.121066,6
43,11.382065,6
44,11.656624,6
45,11.930654,6
46,12.21136,6
47,12.489514,6
48,12.754255,6
49,13.043248,6
50,13.305412,6
51,13.576932,6
52,13.860169,6
53,14.129836,6
54,14.399271,6
55,14.673837,6
56,14.947628,6
57,15.222427,6
58,15.49566,6
59,15.771272,6
60,16.044393,6
61,16.326296,6
62,16.607639,6
63,16.872435,6
64,17.141569,6
65,17.416,6
66,17.695145,6
67,17.965537,6
68,18.251039,6
69,18.512736,6
70,18.787339,6
71,19.060831,6
72,19.336423,6
73,19.604168,6
74,19.88464,6
75,20.172004,6
76,20.432058,6
77,20.70744,6
78,20.977366,6
79,21.255355,6
80,21.522259,6
81,21.804385,6
82,22.080238,6
83,22.35281,6
84,22.627885,6
85,22.902047,6
86,23.177474,6
87,23.463812,6
88,23.724416,6
89,23.9984,6
90,24.271841,6
91,24.54728,6
92,24.839787,6
93,25.103945,6
94,25.385983,6
95,25.647945,6
96,25.919549,6
97,26.195236,6
98,26.467147,6
99,26.741032,6
100,27.015771,6
2,28.280971,7
3,28.567247,7
4,28.828897,7
5,29.122506,7
6,29.377459,7
7,29.652608,7
8,29.924853,7
9,30.199987,7
10,30.474551,7
11,30.748727,7
12,31.022925,7
13,31.296913,7
14,31.573019,7
15,31.845309,7
16,32.119815,7
17,32.393777,7
18,32.678988,7
19,32.941899,7
20,33.217149,7
21,33.491353,7
22,33.77253,7
23,34.03967,7
24,34.31324,7
25,34.602315,7
26,34.862367,7
27,35.139183,7
28,35.422669,7
29,35.685173,7
30,35.992675,7
31,36.233509,7
32,36.515682,7
33,36.782007,7
34,37.056547,7
35,37.365943,7
36,37.626607,7
37,37.88153,7
38,38.152133,7
39,38.431692,7
40,38.702186,7
41,38.979072,7
42,39.251318,7
43,39.525268,7
44,39.799232,7
45,40.072944,7
46,40.34744,7
47,40.622177,7
48,40.896239,7
49,41.180918,7
50,41.488178,7
51,41.736546,7
52,42.006302,7
53,42.282939,7
54,42.559286,7
55,42.827085,7
56,43.101224,7
57,43.375705,7
58,43.649455,7
59,43.926816,7
60,44.232843,7
61,44.468799,7
62,44.748155,7
63,45.015908,7
64,45.298527,7
65,45.569963,7
66,45.844846,7
67,46.142925,7
68,46.39826,7
69,46.683948,7
70,46.949421,7
71,47.215391,7
72,47.490688,7
73,47.763838,7
74,48.039963,7
75,48.316651,7
76,48.587827,7
77,48.861623,7
78,49.131141,7
79,49.420406,7
80,49.718965,7
81,49.969247,7
82,50.2467,7
83,50.557292,7
84,50.817261,7
85,51.0804,7
86,51.35622,7
87,51.627496,7
88,51.888718,7
89,52.164079,7
90,52.436464,7
91,52.725339,7
92,53.00693,7
93,53.261337,7
94,53.534469,7
95,53.839186,7
96,54.08506,7
97,54.35965,7
98,54.631923,7
99,54.906722,7
100,55.181272,7
1,56.454546,8
2,56.772731,8
3,57.003276,8
4,57.294574,8
5,57.551737,8
6,57.826392,8
7,58.100176,8
8,58.386721,8
9,58.661492,8
10,58.934376,8
11,59.209091,8
12,59.482849,8
13,59.758332,8
14,60.050334,8
15,60.306317,8
16,60.579968,8
17,60.854341,8
18,61.128946,8
19,61.429433,8
20,61.676998,8
21,61.957281,8
22,62.238681,8
23,62.499574,8
24,62.772828,8
25,63.049647,8
26,63.360457,8
27,63.596817,8
28,63.871055,8
29,64.147791,8
30,64.41973,8
31,64.693287,8
32,64.967961,8
33,65.241878,8
34,65.516595,8
35,65.791585,8
36,66.065242,8
