packet_seq_no,packet_delay_in_secs,flow_id
1,0.005542,1
1,0.005508,2
2,0.890137,1
3,2.648964,1
4,4.415669,1
5,6.252422,1
6,8.018847,1
7,9.784911,1
8,11.553257,1
9,13.31983,1
10,15.089162,1
11,16.852738,1
12,18.619026,1
13,20.385794,1
14,22.152327,1
15,23.935406,1
16,25.685674,1
17,27.451949,1
18,29.219945,1
19,30.986735,1
20,32.75235,1
21,34.519658,1
22,36.286031,1
23,38.122205,1
24,39.889798,1
25,41.656627,1
26,43.420918,1
27,45.193464,1
28,46.956186,1
29,48.722887,1
30,50.488884,1
31,52.255369,1
32,54.028166,1
33,55.802249,1
34,57.672362,1
35,59.443142,1
36,61.351666,1
37,63.29563,1
38,65.06307,1
39,66.82902,1
40,68.665841,1
41,70.43251,1
42,72.19783,1
43,73.966559,1
44,75.732451,1
45,77.50148,1
46,79.26635,1
47,81.036075,1
48,82.799259,1
49,84.566377,1
50,86.332692,1
51,88.100312,1
52,89.865786,1
53,91.636804,1
54,93.399717,1
55,95.166058,1
56,96.932036,1
57,98.699435,1
58,100.535916,1
59,102.301797,1
60,104.068412,1
61,105.836421,1
62,107.601901,1
63,109.369326,1
64,111.133476,1
65,112.902913,1
66,114.671139,1
67,116.432709,1
68,118.204785,1
69,119.968203,1
70,121.735222,1
71,123.501548,1
72,125.2706,1
73,127.035047,1
74,128.804711,1
75,130.570573,1
76,132.335323,1
77,134.171178,1
78,135.951831,1
79,137.705289,1
80,139.472636,1
81,141.229927,1
82,143.005744,1
83,144.779205,1
84,146.53885,1
85,148.308113,1
86,150.072367,1
87,151.838979,1
88,153.608072,1
89,155.392536,1
90,157.13894,1
91,158.898687,1
92,160.672158,1
93,162.439595,1
94,164.206185,1
95,165.977899,1
96,167.742815,1
97,169.575728,1
98,171.342242,1
99,173.109916,1
100,174.876304,1
2,177.655716,2
3,179.39877,2
4,181.285685,2
5,183.048976,2
6,184.815371,2
7,186.581934,2
8,188.355949,2
9,190.273758,2
10,192.210197,2
11,193.993511,2
12,195.738961,2
13,197.505856,2
14,199.272898,2
15,201.039078,2
16,202.805762,2
17,204.646173,2
18,206.47931,2
19,208.246981,2
20,210.015264,2
21,211.778904,2
22,213.545481,2
23,215.312185,2
24,217.079281,2
25,218.845335,2
26,220.610672,2
27,222.405721,2
28,224.146232,2
29,225.915776,2
30,227.679052,2
31,229.445823,2
32,231.209825,2
33,232.979374,2
34,234.745594,2
35,236.516112,2
36,238.30339,2
37,240.128279,2
38,241.95285,2
39,243.719391,2
40,245.48604,2
41,247.253883,2
42,249.018377,2
43,250.785692,2
44,252.552658,2
45,254.318852,2
46,256.089057,2
47,257.871516,2
48,259.63976,2
49,261.385732,2
50,263.155178,2
51,264.938623,2
52,266.69852,2
53,268.457208,2
54,270.219503,2
55,271.985932,2
56,273.752303,2
57,275.589934,2
58,277.425134,2
59,279.191842,2
60,280.961081,2
61,282.726095,2
62,284.49173,2
63,286.259054,2
64,288.024012,2
65,289.793032,2
66,291.557197,2
67,293.322402,2
68,295.091856,2
69,296.865379,2
70,298.62517,2
71,300.392488,2
72,302.158326,2
73,303.925234,2
74,305.691981,2
75,307.458612,2
76,309.224967,2
77,311.046782,2
78,312.892038,2
79,314.665372,2
80,316.432074,2
81,318.19022,2
82,319.965663,2
83,321.732671,2
84,323.498887,2
85,325.265812,2
86,327.043934,2
87,328.798877,2
88,330.566204,2
89,332.33178,2
90,334.098351,2
91,335.866765,2
92,337.631434,2
93,339.398731,2
94,341.163946,2
95,342.932049,2
96,344.69929,2
97,346.537338,2
98,348.372179,2
99,350.138924,2
100,351.905727,2
1,354.672172,3
2,356.439126,3
3,358.208802,3
4,359.972765,3
5,361.739314,3
6,363.506012,3
7,365.278751,3
8,367.038828,3
9,368.805677,3
10,370.573734,3
11,372.339465,3
12,374.109217,3
13,375.872522,3
14,377.639454,3
15,379.415722,3
16,381.17236,3
17,383.011615,3
18,384.915822,3
19,386.682741,3
20,388.44819,3
21,390.215707,3
22,391.982886,3
23,393.748393,3
24,395.515698,3
25,397.282364,3
26,399.04723,3
27,400.815435,3
28,402.582397,3
29,404.349319,3
30,406.11569,3
31,407.882754,3
32,409.656757,3
33,411.416266,3
34,413.182049,3
35,414.949076,3
36,416.716082,3
37,418.482033,3
38,420.319941,3
39,422.156456,3
40,423.993422,3
41,425.759272,3
42,427.524772,3
43,429.292333,3
44,431.059472,3
45,432.825671,3
46,434.592424,3
47,436.359066,3
48,438.129713,3
49,439.892725,3
50,441.776644,3
51,443.542472,3
52,445.309324,3
53,447.226373,3
54,449.171668,3
55,450.933618,3
56,452.699299,3
57,454.466283,3
58,456.249789,3
59,457.99926,3
60,459.835876,3
61,461.672618,3
62,463.509733,3
63,465.275669,3
64,467.040689,3
65,468.809242,3
66,470.573582,3
67,472.338965,3
68,474.108376,3
69,475.874895,3
70,477.642343,3
71,479.408544,3
72,481.174928,3
73,482.95715,3
74,484.709071,3
75,486.47555,3
76,488.242329,3
77,489.992259,3
78,491.769355,3
79,493.551548,3
80,495.308774,3
81,497.066868,3
82,498.913118,3
83,500.748921,3
84,502.589015,3
85,504.353135,3
86,506.11917,3
87,507.892159,3
88,509.652207,3
89,511.42946,3
90,513.185228,3
91,514.94587,3
92,516.718103,3
93,518.485429,3
94,520.250756,3
95,522.020066,3
96,523.785473,3
97,525.552421,3
98,527.319305,3
99,529.085452,3
100,530.852196,3
1,533.619102,5
1,535.396733,4
2,537.165183,5
2,539.017828,4
3,540.846531,5
3,542.692157,4
4,544.459656,5
4,546.250528,4
5,548.002838,5
5,549.779278,4
6,551.547271,5
6,553.322461,4
7,555.088499,5
7,556.867822,4
8,558.632286,5
8,560.409316,4
9,562.17551,5
9,563.952349,4
10,565.724352,5
10,567.496093,4
11,569.26259,5
11,571.039023,4
12,572.8064,5
12,574.582688,4
13,576.349096,5
13,578.196175,4
14,580.044291,5
14,581.878976,4
15,583.64546,5
15,585.422436,4
16,587.189083,5
16,588.966831,4
17,590.732581,5
17,592.518786,4
18,594.276485,5
18,596.052916,4
19,597.818934,5
19,599.607253,4
20,601.361447,5
20,603.138386,4
21,604.905789,5
21,606.700833,4
22,608.448862,5
22,610.225233,4
23,611.991897,5
23,613.76936,4
24,615.540347,5
24,617.382504,4
25,619.218969,5
25,621.135467,4
26,622.900728,5
26,624.67758,4
27,626.446165,5
27,628.222192,4
28,629.989701,5
28,631.76599,4
29,633.533162,5
29,635.30921,4
30,637.075756,5
30,638.851995,4
31,640.619605,5
31,642.396268,4
32,644.159853,5
32,645.93642,4
33,647.72602,5
33,649.482942,4
34,651.248484,5
34,653.026305,4
35,654.802726,5
35,656.573387,4
36,658.405742,5
36,660.252412,4
