packet_seq_no,packet_delay_in_secs,flow_id
1,0.005759,6
1,0.005778,7
2,0.066753,6
3,0.20176,6
4,0.33119,6
5,0.463448,6
6,0.59439,6
7,0.727004,6
8,0.861501,6
9,0.991305,6
10,1.123684,6
11,1.255599,6
12,1.391124,6
13,1.521602,6
14,1.652323,6
15,1.784233,6
16,1.916499,6
17,2.049473,6
18,2.18068,6
19,2.314246,6
20,2.445118,6
21,2.574251,6
22,2.709543,6
23,2.839503,6
24,2.973842,6
25,3.105516,6
26,3.23714,6
27,3.370108,6
28,3.502239,6
29,3.634703,6
30,3.766168,6
31,3.898346,6
32,4.03018,6
33,4.162006,6
34,4.294972,6
35,4.426754,6
36,4.55914,6
37,4.690331,6
38,4.828852,6
39,4.960665,6
40,5.093567,6
41,5.224837,6
42,5.361217,6
43,5.489927,6
44,5.621723,6
45,5.753783,6
46,5.885451,6
47,6.017786,6
48,6.150709,6
49,6.283217,6
50,6.411807,6
51,6.546769,6
52,6.678012,6
53,6.809949,6
54,6.943161,6
55,7.075247,6
56,7.205179,6
57,7.339303,6
58,7.470853,6
59,7.604352,6
60,7.733343,6
61,7.86745,6
62,8.000796,6
63,8.129272,6
64,8.263848,6
65,8.396437,6
66,8.525769,6
67,8.660234,6
68,8.789614,6
69,8.924359,6
70,9.057319,6
71,9.18891,6
72,9.321891,6
73,9.45293,6
74,9.58613,6
75,9.71745,6
76,9.849404,6
77,9.982239,6
78,10.113764,6
79,10.245867,6
80,10.378762,6
81,10.509788,6
82,10.642419,6
83,10.774013,6
84,10.90486,6
85,11.03882,6
86,11.170549,6
87,11.301972,6
88,11.434533,6
89,11.567592,6
90,11.699472,6
91,11.831632,6
92,11.963187,6
93,12.095861,6
94,12.227078,6
95,12.360617,6
96,12.492379,6
97,12.624355,6
98,12.756298,6
99,12.881612,6
100,13.021355,6
2,14.143289,7
3,14.277095,7
4,14.40829,7
5,14.540097,7
6,14.671095,7
7,14.8039,7
8,14.935917,7
9,15.068338,7
10,15.200668,7
11,15.332489,7
12,15.464527,7
13,15.597606,7
14,15.729342,7
15,15.861194,7
16,15.9932,7
17,16.123409,7
18,16.257946,7
19,16.390138,7
20,16.52853,7
21,16.651406,7
22,16.785733,7
23,16.916334,7
24,17.050916,7
25,17.182428,7
26,17.313887,7
27,17.446589,7
28,17.578759,7
29,17.710668,7
30,17.842442,7
31,17.975857,7
32,18.107571,7
33,18.238714,7
34,18.371841,7
35,18.503453,7
36,18.664019,7
37,18.767511,7
38,18.899958,7
39,19.031817,7
40,19.164458,7
41,19.296023,7
42,19.424211,7
43,19.560834,7
44,19.693662,7
45,19.825484,7
46,19.957285,7
47,20.09154,7
48,20.221081,7
49,20.355373,7
50,20.483529,7
51,20.617448,7
52,20.749812,7
53,20.880673,7
54,21.014859,7
55,21.1467,7
56,21.276533,7
57,21.412647,7
58,21.54456,7
59,21.674974,7
60,21.8049,7
61,21.938919,7
62,22.070229,7
63,22.200901,7
64,22.337667,7
65,22.468381,7
66,22.596909,7
67,22.732236,7
68,22.861057,7
69,22.996352,7
70,23.128112,7
71,23.260367,7
72,23.392424,7
73,23.523969,7
74,23.656819,7
75,23.788316,7
76,23.920892,7
77,24.05329,7
78,24.185053,7
79,24.316847,7
80,24.45002,7
81,24.581851,7
82,24.714448,7
83,24.845998,7
84,24.977154,7
85,25.110206,7
86,25.241758,7
87,25.373301,7
88,25.505975,7
89,25.638233,7
90,25.770641,7
91,25.903872,7
92,26.034463,7
93,26.167114,7
94,26.297981,7
95,26.432531,7
96,26.563996,7
97,26.695398,7
98,26.828441,7
99,26.953077,7
100,27.092529,7
1,28.225538,8
2,28.356693,8
3,28.488995,8
4,28.62111,8
5,28.753495,8
6,28.884239,8
7,29.017333,8
8,29.151093,8
9,29.281585,8
10,29.415657,8
11,29.545874,8
12,29.678007,8
13,29.810734,8
14,29.942453,8
15,30.074598,8
16,30.207207,8
17,30.336294,8
18,30.470604,8
19,30.602989,8
20,30.737042,8
21,30.864615,8
22,30.999616,8
23,31.130088,8
24,31.263816,8
25,31.396637,8
26,31.52762,8
27,31.660494,8
28,31.792506,8
29,31.924428,8
30,32.056003,8
31,32.188467,8
32,32.321028,8
33,32.452316,8
34,32.594711,8
35,32.735918,8
36,32.859717,8
37,32.990026,8
38,33.122788,8
39,33.256553,8
40,33.39207,8
41,33.518564,8
42,33.646887,8
43,33.783329,8
44,33.915557,8
45,34.048159,8
46,34.180049,8
47,34.311625,8
48,34.443943,8
49,34.576597,8
50,34.706222,8
51,34.840174,8
52,34.972148,8
53,35.104105,8
54,35.237304,8
55,35.36929,8
56,35.499233,8
57,35.633874,8
58,35.764303,8
59,35.900598,8
60,36.027233,8
61,36.162614,8
62,36.292754,8
63,36.422986,8
64,36.557759,8
65,36.690257,8
66,36.820227,8
67,36.954485,8
68,37.083274,8
69,37.218744,8
70,37.351548,8
71,37.482555,8
72,37.615215,8
73,37.746723,8
74,37.879701,8
75,38.011984,8
76,38.143808,8
77,38.276093,8
78,38.415544,8
79,38.54026,8
80,38.67228,8
81,38.805231,8
82,38.936733,8
83,39.068137,8
84,39.198832,8
85,39.333058,8
86,39.465255,8
87,39.596393,8
88,39.728937,8
89,39.861203,8
90,39.995349,8
91,40.126171,8
92,40.257545,8
93,40.389837,8
94,40.521014,8
95,40.666598,8
96,40.798381,8
97,40.930006,8
98,41.061957,8
99,41.187887,8
100,41.327164,8
1,42.462657,9
1,42.600814,10
2,42.747487,9
2,42.898506,10
3,43.021541,9
3,43.163968,10
4,43.296417,9
4,43.438281,10
5,43.570289,9
5,43.713639,10
6,43.843464,9
6,43.98649,10
7,44.123979,9
7,44.260917,10
8,44.392977,9
8,44.53695,10
9,44.671809,9
9,44.810468,10
10,44.941565,9
10,45.083588,10
11,45.216314,9
11,45.357985,10
12,45.490368,9
12,45.631759,10
13,45.764631,9
13,45.906151,10
14,46.039098,9
14,46.182045,10
15,46.314383,9
15,46.455361,10
16,46.587444,9
16,46.729265,10
17,46.859525,9
17,47.001509,10
18,47.135672,9
18,47.277488,10
19,47.410886,9
19,47.554073,10
20,47.685072,9
20,47.826337,10
21,47.958923,9
21,48.103517,10
22,48.240727,9
22,48.380224,10
23,48.511223,9
23,48.652969,10
24,48.786624,9
24,48.931328,10
25,49.061333,9
25,49.203134,10
26,49.334933,9
26,49.476862,10
27,49.609713,9
27,49.751975,10
28,49.884014,9
28,50.026107,10
29,50.158301,9
29,50.300991,10
30,50.432233,9
30,50.57406,10
31,50.712473,9
31,50.84876,10
32,50.981877,9
32,51.123159,10
33,51.254626,9
33,51.396995,10
34,51.529545,9
34,51.671281,10
35,51.803916,9
35,51.945691,10
36,52.078287,9
36,52.220307,10
37,52.351639,9
37,52.495969,10
38,52.626601,9
38,52.769565,10
39,52.900483,9
39,53.042494,10
40,53.175332,9
40,53.330229,10
41,53.469747,9
41,53.590868,10
42,53.719127,9
42,53.861135,10
43,53.997993,9
43,54.140496,10
44,54.272237,9
44,54.41408,10
45,54.546465,9
45,54.688721,10
46,54.819911,9
46,54.962355,10
47,55.09481,9
47,55.236963,10
48,55.369443,9
48,55.511839,10
49,55.644032,9
49,55.785763,10
50,55.915807,9
50,56.057242,10
51,56.191551,9
51,56.334285,10
52,56.465637,9
52,56.608104,10
53,56.739537,9
53,56.882089,10
54,57.015362,9
54,57.156517,10
55,57.288975,9
55,57.431563,10
56,57.561789,9
56,57.703462,10
57,57.838412,9
57,57.979919,10
58,58.111136,9
58,58.252806,10
59,58.386974,9
59,58.5278,10
60,58.657798,9
60,58.799789,10
61,58.933964,9
61,59.075949,10
