packet_seq_no,packet_delay_in_secs,flow_id
1,0.005742,1
1,0.005577,2
3,1.290724,1
4,2.151179,1
5,3.011109,1
6,3.869081,1
7,4.730721,1
8,5.592072,1
9,6.451246,1
10,7.313739,1
11,8.172235,1
12,9.036541,1
13,9.893253,1
14,10.752886,1
15,11.619423,1
16,12.47284,1
17,13.333143,1
18,14.195275,1
19,15.054039,1
20,15.914121,1
21,16.773677,1
22,17.637648,1
23,18.494737,1
24,19.354938,1
25,20.215119,1
26,21.075357,1
27,21.937587,1
28,22.795815,1
29,23.654652,1
30,24.516347,1
31,25.376503,1
32,26.236317,1
33,27.097257,1
34,27.957505,1
35,28.817209,1
36,29.677321,1
37,30.537362,1
38,31.397566,1
39,32.269511,1
40,33.124159,1
41,33.978594,1
42,34.837475,1
43,35.706057,1
44,36.564151,1
45,37.418996,1
46,38.279318,1
47,39.138772,1
48,39.999797,1
49,40.865196,1
50,41.716985,1
51,42.580525,1
52,43.440931,1
53,44.305055,1
54,45.161054,1
55,46.025903,1
56,46.879502,1
57,47.741697,1
58,48.601554,1
59,49.47648,1
60,50.322889,1
61,51.18255,1
62,52.043327,1
63,52.903284,1
64,53.763165,1
65,54.623858,1
66,55.494912,1
67,56.379388,1
68,57.222198,1
69,58.063814,1
70,58.924547,1
71,59.784346,1
72,60.644832,1
73,61.505035,1
74,62.365561,1
75,63.224908,1
76,64.085331,1
77,64.939927,1
78,65.807708,1
79,66.665726,1
80,67.52656,1
81,68.385701,1
82,69.24641,1
83,70.106981,1
84,70.968731,1
85,71.822514,1
86,72.687494,1
87,73.549595,1
88,74.410124,1
89,75.268088,1
90,76.128754,1
91,76.995825,1
92,77.848325,1
93,78.704612,1
94,79.573304,1
95,80.428701,1
96,81.286555,1
97,82.154118,1
98,83.009556,1
99,83.867618,1
100,84.705314,1
2,86.580418,2
3,87.440744,2
4,88.300572,2
5,89.165493,2
6,90.020338,2
7,90.881278,2
8,91.74133,2
9,92.601474,2
10,93.461991,2
11,94.321771,2
12,95.181568,2
13,96.042292,2
14,96.902864,2
15,97.762877,2
16,98.623272,2
17,99.498085,2
18,100.345313,2
19,101.204786,2
20,102.063913,2
21,102.929693,2
22,103.784214,2
23,104.645695,2
24,105.505602,2
25,106.364545,2
26,107.224769,2
27,108.08717,2
28,108.945048,2
29,109.813491,2
30,110.666534,2
31,111.525859,2
32,112.385856,2
33,113.246754,2
34,114.117608,2
35,114.965014,2
36,115.827399,2
37,116.687818,2
38,117.547288,2
39,118.407566,2
40,119.268796,2
41,120.129652,2
42,120.987436,2
43,121.847731,2
44,122.709159,2
45,123.568288,2
46,124.43035,2
47,125.288383,2
48,126.158559,2
49,127.007491,2
50,127.867279,2
51,128.730551,2
52,129.590433,2
53,130.448114,2
54,131.337841,2
55,132.169503,2
56,133.032712,2
57,133.900633,2
58,134.751874,2
59,135.612399,2
60,136.47111,2
61,137.332226,2
62,138.192244,2
63,139.052265,2
64,139.913103,2
65,140.772828,2
66,141.632954,2
67,142.495285,2
68,143.353229,2
69,144.213679,2
70,145.081595,2
71,145.933989,2
72,146.793774,2
73,147.654347,2
74,148.514387,2
75,149.375235,2
76,150.235012,2
77,151.089152,2
78,151.963515,2
79,152.816153,2
80,153.676161,2
81,154.542759,2
82,155.396151,2
83,156.262607,2
84,157.120379,2
85,157.972579,2
86,158.836376,2
87,159.696896,2
88,160.557451,2
89,161.417779,2
90,162.277033,2
91,163.137753,2
92,163.9988,2
93,164.85472,2
94,165.716169,2
95,166.578964,2
96,167.436114,2
97,168.300401,2
98,169.15933,2
99,170.021818,2
100,170.85426,2
1,172.746421,5
1,173.613572,3
2,174.470376,3
1,175.352543,4
3,176.201408,3
4,177.061111,3
2,177.951296,5
5,178.792095,3
2,179.691813,4
6,180.520731,3
3,181.430267,5
7,182.252681,3
8,183.112644,3
3,184.032378,4
9,184.843968,3
10,185.736613,3
4,186.669188,5
11,187.434361,3
4,188.375128,4
12,189.164649,3
5,190.104525,5
13,190.912536,3
14,191.754508,3
5,192.715304,4
15,193.491101,3
16,194.346065,3
6,195.31333,5
17,196.075014,3
6,197.061456,4
18,197.805542,3
19,198.666862,3
7,199.657203,5
20,200.396869,3
7,201.397125,4
21,202.123874,3
8,203.135229,5
22,203.858295,3
23,204.717696,3
8,205.737836,4
24,206.447892,3
25,207.308749,3
9,208.33852,5
26,209.038796,3
9,210.079404,4
27,210.768661,3
10,211.809703,5
28,212.499506,3
29,213.358919,3
10,214.420345,4
30,215.094826,3
31,215.950065,3
11,217.021414,5
32,217.701309,3
11,218.761052,4
33,219.420704,3
12,220.490965,5
34,221.141858,3
35,222.015552,3
12,223.101806,4
36,223.731517,3
37,224.592906,3
13,225.703252,5
38,226.322741,3
13,227.444188,4
39,228.053195,3
14,229.173928,5
40,229.784833,3
41,230.64381,3
14,231.78381,4
42,232.373786,3
43,233.233574,3
15,234.384342,5
44,234.965323,3
15,236.124915,4
45,236.699136,3
46,237.558517,3
16,238.725892,5
47,239.284511,3
16,240.466407,4
48,241.0167,3
17,242.200397,5
49,242.744316,3
50,243.603855,3
17,244.806819,4
51,245.338116,3
52,246.197539,3
18,247.407706,5
53,247.925887,3
18,249.150785,4
54,249.658222,3
19,250.885341,5
55,251.387844,3
56,252.247385,3
19,253.498569,4
57,253.979511,3
58,254.857379,3
20,256.090072,5
59,256.569721,3
20,257.83326,4
60,258.300386,3
21,259.55681,5
61,260.030708,3
62,260.891212,3
21,262.167858,4
63,262.624358,3
64,263.495225,3
22,264.777419,5
65,265.212067,3
22,266.513191,4
66,266.94245,3
23,268.248933,5
67,268.672979,3
68,269.53345,3
23,270.85413,4
69,271.265762,3
70,272.124206,3
24,273.454392,5
71,273.855775,3
24,275.1957,4
72,275.583594,3
73,276.444369,3
25,277.796021,5
74,278.203325,3
25,279.53599,4
75,279.90544,3
26,281.26591,5
76,281.63618,3
77,282.490181,3
26,283.876488,4
78,284.232991,3
79,285.086983,3
27,286.495949,5
80,286.817236,3
27,288.217227,4
81,288.548784,3
28,289.951548,5
82,290.277903,3
83,291.137907,3
28,292.55846,4
84,292.868762,3
85,293.738705,3
29,295.157954,5
86,295.458277,3
29,296.915223,4
87,297.189163,3
30,298.630033,5
88,298.920317,3
89,299.780695,3
30,301.240664,4
90,301.50968,3
91,302.37106,3
31,303.840468,5
92,304.106278,3
31,305.581132,4
93,305.82712,3
32,307.312049,5
94,307.562002,3
95,308.42202,3
32,309.921801,4
96,310.149812,3
97,311.007591,3
33,312.53913,5
98,312.742936,3
33,314.262919,4
99,314.471541,3
100,315.308723,3
34,316.864336,5
34,317.734787,4
35,318.595453,5
35,319.464706,4
36,320.324983,5
36,321.196203,4
37,322.055276,5
37,322.926918,4
38,323.78577,5
38,324.656587,4
39,325.516321,5
39,326.386717,4
40,327.247496,5
40,328.117339,4
41,328.977459,5
41,329.847729,4
42,330.706823,5
42,331.576413,4
43,332.436963,5
43,333.307054,4
44,334.168185,5
44,335.043136,4
45,335.91077,5
45,336.769214,4
46,337.628679,5
46,338.499687,4
47,339.357842,5
47,340.228282,4
48,341.090016,5
48,341.960575,4
49,342.818063,5
49,343.6909,4
50,344.563941,5
50,345.417759,4
51,346.284432,5
51,347.151655,4
52,348.011617,5
52,348.881465,4
53,349.739731,5
53,350.610234,4
54,351.482314,5
54,352.342958,4
55,353.201919,5
55,354.072376,4
56,354.931298,5
56,355.801859,4
57,356.663695,5
57,357.533107,4
58,358.39427,5
58,359.265115,4
59,360.12379,5
59,360.994573,4
60,361.854585,5
60,362.724972,4
61,363.586183,5
61,364.455545,4
62,365.322914,5
62,366.186435,4
63,367.046809,5
63,367.916917,4
64,368.776472,5
64,369.647305,4
65,370.507594,5
65,371.378009,4
66,372.23747,5
66,373.107405,4
67,373.967871,5
67,374.839325,4
68,375.698452,5
68,376.572377,4
69,377.428145,5
69,378.298711,4
70,379.162043,5
70,380.029155,4
71,380.889324,5
71,381.759417,4
72,382.619259,5
72,383.489219,4
73,384.362341,5
73,385.222005,4
74,386.081079,5
74,386.950835,4
75,387.810495,5
75,388.68408,4
76,389.541362,5
76,390.416278,4
77,391.294947,5
77,392.137477,4
78,393.001169,5
78,393.870859,4
79,394.732356,5
79,395.609454,4
80,396.463024,5
80,397.334973,4
81,398.196867,5
81,399.062533,4
82,399.923769,5
82,400.793936,4
83,401.654,5
83,402.530759,4
84,403.384684,5
84,404.254607,4
85,405.110384,5
85,405.988108,4
86,406.847579,5
86,407.715841,4
87,408.576021,5
87,409.446147,4
88,410.312094,5
88,411.176048,4
89,412.037013,5
89,412.906951,4
90,413.767055,5
90,414.656327,4
91,415.507557,5
91,416.36747,4
92,417.227441,5
92,418.11442,4
93,418.981362,5
93,419.825507,4
94,420.713936,5
94,421.559128,4
95,422.418012,5
95,423.288915,4
96,424.149509,5
96,425.020244,4
97,425.879962,5
97,426.757861,4
98,427.61077,5
98,428.480592,4
99,429.349814,5
99,430.219189,4
100,431.045723,5
100,431.918598,4
