duration_in_secs,meter_id,packets,bytes
0.0,10,0,0
0.0,8,0,0
0.0,9,0,0
0.0,5,0,0
0.0,1,0,0
0.0,4,0,0
0.0,6,0,0
0.0,7,0,0
0.0,2,0,0
0.0,3,0,0
1.02925,10,2,2132
1.02925,8,0,0
1.02925,9,0,0
1.02925,5,3,3198
1.02925,1,0,0
1.02925,4,0,0
1.02925,6,0,0
1.02925,7,0,0
1.02925,2,0,0
1.02925,3,0,0
2.056911,10,2,2132
2.056911,8,0,0
2.056911,9,0,0
2.056911,5,5,5330
2.056911,1,0,0
2.056911,4,0,0
2.056911,6,0,0
2.056911,7,0,0
2.056911,2,0,0
2.056911,3,0,0
3.090211,10,2,2132
3.090211,8,0,0
3.090211,9,0,0
3.090211,5,7,7462
3.090211,1,0,0
3.090211,4,0,0
3.090211,6,0,0
3.090211,7,0,0
3.090211,2,0,0
3.090211,3,0,0
4.122232,10,2,2132
4.122232,8,0,0
4.122232,9,0,0
4.122232,5,8,8528
4.122232,1,0,0
4.122232,4,0,0
4.122232,6,0,0
4.122232,7,0,0
4.122232,2,0,0
4.122232,3,0,0
5.165689,10,2,2132
5.165689,8,0,0
5.165689,9,0,0
5.165689,5,10,10660
5.165689,1,0,0
5.165689,4,0,0
5.165689,6,0,0
5.165689,7,0,0
5.165689,2,0,0
5.165689,3,0,0
6.190656,10,2,2132
6.190656,8,0,0
6.190656,9,0,0
6.190656,5,12,12792
6.190656,1,0,0
6.190656,4,0,0
6.190656,6,0,0
6.190656,7,0,0
6.190656,2,0,0
6.190656,3,0,0
7.206377,10,2,2132
7.206377,8,0,0
7.206377,9,0,0
7.206377,5,14,14924
7.206377,1,0,0
7.206377,4,0,0
7.206377,6,0,0
7.206377,7,0,0
7.206377,2,0,0
7.206377,3,0,0
8.235786,10,3,3198
8.235786,8,0,0
8.235786,9,0,0
8.235786,5,16,17056
8.235786,1,0,0
8.235786,4,0,0
8.235786,6,0,0
8.235786,7,0,0
8.235786,2,0,0
8.235786,3,0,0
9.267567,10,3,3198
9.267567,8,0,0
9.267567,9,0,0
9.267567,5,18,19188
9.267567,1,0,0
9.267567,4,0,0
9.267567,6,0,0
9.267567,7,0,0
9.267567,2,0,0
9.267567,3,0,0
10.301798,10,3,3198
10.301798,8,0,0
10.301798,9,0,0
10.301798,5,19,20254
10.301798,1,0,0
10.301798,4,0,0
10.301798,6,0,0
10.301798,7,0,0
10.301798,2,0,0
10.301798,3,0,0
11.337112,10,3,3198
11.337112,8,0,0
11.337112,9,0,0
11.337112,5,21,22386
11.337112,1,0,0
11.337112,4,0,0
11.337112,6,0,0
11.337112,7,0,0
11.337112,2,0,0
11.337112,3,0,0
12.356472,10,3,3198
12.356472,8,0,0
12.356472,9,0,0
12.356472,5,23,24518
12.356472,1,0,0
12.356472,4,0,0
12.356472,6,0,0
12.356472,7,0,0
12.356472,2,0,0
12.356472,3,0,0
13.383037,10,3,3198
13.383037,8,0,0
13.383037,9,0,0
13.383037,5,25,26650
13.383037,1,0,0
13.383037,4,0,0
13.383037,6,0,0
13.383037,7,0,0
13.383037,2,0,0
13.383037,3,0,0
14.410384,10,3,3198
14.410384,8,0,0
14.410384,9,0,0
14.410384,5,27,28782
14.410384,1,0,0
14.410384,4,0,0
14.410384,6,0,0
14.410384,7,0,0
14.410384,2,0,0
14.410384,3,0,0
15.418619,10,3,3198
15.418619,8,0,0
15.418619,9,0,0
15.418619,5,28,29848
15.418619,1,0,0
15.418619,4,0,0
15.418619,6,0,0
15.418619,7,0,0
15.418619,2,0,0
15.418619,3,0,0
16.454011,10,3,3198
16.454011,8,0,0
16.454011,9,0,0
16.454011,5,30,31980
16.454011,1,0,0
16.454011,4,0,0
16.454011,6,0,0
16.454011,7,0,0
16.454011,2,0,0
16.454011,3,0,0
17.472892,10,3,3198
17.472892,8,0,0
17.472892,9,0,0
17.472892,5,32,34112
17.472892,1,0,0
17.472892,4,0,0
17.472892,6,0,0
17.472892,7,0,0
17.472892,2,0,0
17.472892,3,0,0
18.4824,10,3,3198
18.4824,8,0,0
18.4824,9,0,0
18.4824,5,34,36244
18.4824,1,0,0
18.4824,4,0,0
18.4824,6,0,0
18.4824,7,0,0
18.4824,2,0,0
18.4824,3,0,0
19.489779,10,3,3198
19.489779,8,0,0
19.489779,9,0,0
19.489779,5,36,38376
19.489779,1,0,0
19.489779,4,0,0
19.489779,6,0,0
19.489779,7,0,0
19.489779,2,0,0
19.489779,3,0,0
20.529628,10,3,3198
20.529628,8,0,0
20.529628,9,0,0
20.529628,5,37,39442
20.529628,1,0,0
20.529628,4,0,0
20.529628,6,0,0
20.529628,7,0,0
20.529628,2,0,0
20.529628,3,0,0
21.537202,10,3,3198
21.537202,8,0,0
21.537202,9,0,0
21.537202,5,39,41574
21.537202,1,0,0
21.537202,4,0,0
21.537202,6,0,0
21.537202,7,0,0
21.537202,2,0,0
21.537202,3,0,0
22.567807,10,4,4264
22.567807,8,0,0
22.567807,9,0,0
22.567807,5,41,43706
22.567807,1,0,0
22.567807,4,0,0
22.567807,6,0,0
22.567807,7,0,0
22.567807,2,0,0
22.567807,3,0,0
23.594133,10,4,4264
23.594133,8,0,0
23.594133,9,0,0
23.594133,5,43,45838
23.594133,1,0,0
23.594133,4,0,0
23.594133,6,0,0
23.594133,7,0,0
23.594133,2,0,0
23.594133,3,0,0
24.768095,10,4,4264
24.768095,8,0,0
24.768095,9,0,0
24.768095,5,44,46904
24.768095,1,0,0
24.768095,4,0,0
24.768095,6,0,0
24.768095,7,0,0
24.768095,2,0,0
24.768095,3,0,0
25.775923,10,4,4264
25.775923,8,0,0
25.775923,9,0,0
25.775923,5,46,49036
25.775923,1,0,0
25.775923,4,0,0
25.775923,6,0,0
25.775923,7,0,0
25.775923,2,0,0
25.775923,3,0,0
26.816194,10,4,4264
26.816194,8,0,0
26.816194,9,0,0
26.816194,5,48,51168
26.816194,1,0,0
26.816194,4,0,0
26.816194,6,0,0
26.816194,7,0,0
26.816194,2,0,0
26.816194,3,0,0
27.826813,10,4,4264
27.826813,8,0,0
27.826813,9,0,0
27.826813,5,50,53300
27.826813,1,0,0
27.826813,4,0,0
27.826813,6,0,0
27.826813,7,0,0
27.826813,2,0,0
27.826813,3,0,0
28.838405,10,4,4264
28.838405,8,0,0
28.838405,9,0,0
28.838405,5,52,55432
28.838405,1,0,0
28.838405,4,0,0
28.838405,6,0,0
28.838405,7,0,0
28.838405,2,0,0
28.838405,3,0,0
29.85825,10,4,4264
29.85825,8,0,0
29.85825,9,0,0
29.85825,5,53,56498
29.85825,1,0,0
29.85825,4,0,0
29.85825,6,0,0
29.85825,7,0,0
29.85825,2,0,0
29.85825,3,0,0
30.865399,10,4,4264
30.865399,8,0,0
30.865399,9,0,0
30.865399,5,55,58630
30.865399,1,0,0
30.865399,4,0,0
30.865399,6,0,0
30.865399,7,0,0
30.865399,2,0,0
30.865399,3,0,0
31.886918,10,4,4264
31.886918,8,0,0
31.886918,9,0,0
31.886918,5,57,60762
31.886918,1,0,0
31.886918,4,0,0
31.886918,6,0,0
31.886918,7,0,0
31.886918,2,0,0
31.886918,3,0,0
32.915952,10,4,4264
32.915952,8,0,0
32.915952,9,0,0
32.915952,5,59,62894
32.915952,1,0,0
32.915952,4,0,0
32.915952,6,0,0
32.915952,7,0,0
32.915952,2,0,0
32.915952,3,0,0
33.923415,10,4,4264
33.923415,8,0,0
33.923415,9,0,0
33.923415,5,61,65026
33.923415,1,0,0
33.923415,4,0,0
33.923415,6,0,0
33.923415,7,0,0
33.923415,2,0,0
33.923415,3,0,0
34.954633,10,4,4264
34.954633,8,0,0
34.954633,9,0,0
34.954633,5,62,66092
34.954633,1,0,0
34.954633,4,0,0
34.954633,6,0,0
34.954633,7,0,0
34.954633,2,0,0
34.954633,3,0,0
35.99205,10,4,4264
35.99205,8,0,0
35.99205,9,0,0
35.99205,5,64,68224
35.99205,1,0,0
35.99205,4,0,0
35.99205,6,0,0
35.99205,7,0,0
35.99205,2,0,0
35.99205,3,0,0
37.02299,10,5,5330
37.02299,8,0,0
37.02299,9,0,0
37.02299,5,66,70356
37.02299,1,0,0
37.02299,4,0,0
37.02299,6,0,0
37.02299,7,0,0
37.02299,2,0,0
37.02299,3,0,0
38.053213,10,5,5330
38.053213,8,0,0
38.053213,9,0,0
38.053213,5,68,72488
38.053213,1,0,0
38.053213,4,0,0
38.053213,6,0,0
38.053213,7,0,0
38.053213,2,0,0
38.053213,3,0,0
39.081276,10,5,5330
39.081276,8,0,0
39.081276,9,0,0
39.081276,5,70,74620
39.081276,1,0,0
39.081276,4,0,0
39.081276,6,0,0
39.081276,7,0,0
39.081276,2,0,0
39.081276,3,0,0
40.111638,10,5,5330
40.111638,8,0,0
40.111638,9,0,0
40.111638,5,71,75686
40.111638,1,0,0
40.111638,4,0,0
40.111638,6,0,0
40.111638,7,0,0
40.111638,2,0,0
40.111638,3,0,0
41.133025,10,5,5330
41.133025,8,0,0
41.133025,9,0,0
41.133025,5,73,77818
41.133025,1,0,0
41.133025,4,0,0
41.133025,6,0,0
41.133025,7,0,0
41.133025,2,0,0
41.133025,3,0,0
42.170903,10,5,5330
42.170903,8,0,0
42.170903,9,0,0
42.170903,5,75,79950
42.170903,1,0,0
42.170903,4,0,0
42.170903,6,0,0
42.170903,7,0,0
42.170903,2,0,0
42.170903,3,0,0
43.179153,10,5,5330
43.179153,8,0,0
43.179153,9,0,0
43.179153,5,77,82082
43.179153,1,0,0
43.179153,4,0,0
43.179153,6,0,0
43.179153,7,0,0
43.179153,2,0,0
43.179153,3,0,0
44.186295,10,5,5330
44.186295,8,0,0
44.186295,9,0,0
44.186295,5,79,84214
44.186295,1,0,0
44.186295,4,0,0
44.186295,6,0,0
44.186295,7,0,0
44.186295,2,0,0
44.186295,3,0,0
45.194364,10,5,5330
45.194364,8,0,0
45.194364,9,0,0
45.194364,5,80,85280
45.194364,1,0,0
45.194364,4,0,0
45.194364,6,0,0
45.194364,7,0,0
45.194364,2,0,0
45.194364,3,0,0
46.203705,10,5,5330
46.203705,8,0,0
46.203705,9,0,0
46.203705,5,82,87412
46.203705,1,0,0
46.203705,4,0,0
46.203705,6,0,0
46.203705,7,0,0
46.203705,2,0,0
46.203705,3,0,0
47.216188,10,5,5330
47.216188,8,0,0
47.216188,9,0,0
47.216188,5,84,89544
47.216188,1,0,0
47.216188,4,0,0
47.216188,6,0,0
47.216188,7,0,0
