duration_in_secs,handle,packets,bytes
0.0,1:,4,224
0.0,122:,0,0
0.0,124:,0,0
0.0,113:,0,0
0.0,111:,0,0
0.0,12:,0,0
0.0,121:,0,0
0.0,123:,0,0
0.0,112:,0,0
0.0,114:,4,224
0.0,11:,4,224
2.003954,1:,4,224
2.003954,122:,0,0
2.003954,124:,0,0
2.003954,113:,0,0
2.003954,111:,0,0
2.003954,12:,0,0
2.003954,121:,0,0
2.003954,123:,0,0
2.003954,112:,0,0
2.003954,114:,4,224
2.003954,11:,4,224
4.027052,1:,4,224
4.027052,122:,0,0
4.027052,124:,0,0
4.027052,113:,0,0
4.027052,111:,0,0
4.027052,12:,0,0
4.027052,121:,0,0
4.027052,123:,0,0
4.027052,112:,0,0
4.027052,114:,4,224
4.027052,11:,4,224
6.147649,1:,4,224
6.147649,122:,0,0
6.147649,124:,0,0
6.147649,113:,0,0
6.147649,111:,0,0
6.147649,12:,0,0
6.147649,121:,0,0
6.147649,123:,0,0
6.147649,112:,0,0
6.147649,114:,4,224
6.147649,11:,4,224
8.156653,1:,4,224
8.156653,122:,0,0
8.156653,124:,0,0
8.156653,113:,0,0
8.156653,111:,0,0
8.156653,12:,0,0
8.156653,121:,0,0
8.156653,123:,0,0
8.156653,112:,0,0
8.156653,114:,4,224
8.156653,11:,4,224
10.200653,1:,13,9818
10.200653,122:,1,1066
10.200653,124:,0,0
10.200653,113:,1,1066
10.200653,111:,1,1066
10.200653,12:,7,7462
10.200653,121:,6,6396
10.200653,123:,0,0
10.200653,112:,1,1066
10.200653,114:,4,224
10.200653,11:,6,2356
12.21844,1:,22,19412
12.21844,122:,1,1066
12.21844,124:,0,0
12.21844,113:,1,1066
12.21844,111:,2,2132
12.21844,12:,15,15990
12.21844,121:,14,14924
12.21844,123:,0,0
12.21844,112:,1,1066
12.21844,114:,4,224
12.21844,11:,7,3422
14.230032,1:,29,26874
14.230032,122:,1,1066
14.230032,124:,0,0
14.230032,113:,1,1066
14.230032,111:,2,2132
14.230032,12:,22,23452
14.230032,121:,21,22386
14.230032,123:,0,0
14.230032,112:,1,1066
14.230032,114:,4,224
14.230032,11:,7,3422
16.252323,1:,36,34336
16.252323,122:,1,1066
16.252323,124:,0,0
16.252323,113:,1,1066
16.252323,111:,2,2132
16.252323,12:,29,30914
16.252323,121:,28,29848
16.252323,123:,0,0
16.252323,112:,1,1066
16.252323,114:,4,224
16.252323,11:,7,3422
18.266514,1:,43,41798
18.266514,122:,1,1066
18.266514,124:,0,0
18.266514,113:,1,1066
18.266514,111:,2,2132
18.266514,12:,36,38376
18.266514,121:,35,37310
18.266514,123:,0,0
18.266514,112:,1,1066
18.266514,114:,4,224
18.266514,11:,7,3422
20.273425,1:,51,50326
20.273425,122:,1,1066
20.273425,124:,0,0
20.273425,113:,1,1066
20.273425,111:,3,3198
20.273425,12:,43,45838
20.273425,121:,42,44772
20.273425,123:,0,0
20.273425,112:,1,1066
20.273425,114:,4,224
20.273425,11:,8,4488
22.289682,1:,58,57788
22.289682,122:,1,1066
22.289682,124:,0,0
22.289682,113:,1,1066
22.289682,111:,3,3198
