packet_seq_no,packet_delay_in_secs,flow_id
1,0.005259,1
1,0.005246,7
1,0.148101,6
2,0.422345,6
3,0.696431,6
4,0.968111,6
5,1.258747,6
6,1.527043,6
7,1.799589,6
8,2.070402,6
9,2.342148,6
10,2.616298,6
11,2.890769,6
12,3.164074,6
13,3.438205,6
14,3.717732,6
15,3.995705,6
16,4.26195,6
17,4.540429,6
18,4.809645,6
19,5.08476,6
20,5.373647,6
21,5.633014,6
22,5.906507,6
23,6.174708,6
24,6.45824,6
25,6.730688,6
26,7.00411,6
27,7.279942,6
28,7.557805,6
29,7.826172,6
30,8.101536,6
31,8.384483,6
32,8.649118,6
33,8.979479,6
34,9.197827,6
35,9.472352,6
36,9.746792,6
37,10.010347,6
38,10.296408,6
39,10.572101,6
40,10.869649,6
41,11.11884,6
42,11.393374,6
43,11.667082,6
44,11.942939,6
45,12.215566,6
46,12.489363,6
47,12.763695,6
48,13.037216,6
49,13.312014,6
50,13.585995,6
51,13.861744,6
52,14.136215,6
53,14.409828,6
54,14.683228,6
55,14.971208,6
56,15.234508,6
57,15.506931,6
58,15.778402,6
59,16.060132,6
60,16.323294,6
61,16.603988,6
62,16.879109,6
63,17.148493,6
64,17.424574,6
65,17.700016,6
66,17.97189,6
67,18.251887,6
68,18.522837,6
69,18.796811,6
70,19.073347,6
71,19.352026,6
72,19.62109,6
73,19.897501,6
74,20.170012,6
75,20.44438,6
76,20.729582,6
77,20.992611,6
78,21.266709,6
79,21.540962,6
80,21.825353,6
81,22.089491,6
82,22.370334,6
83,22.675195,6
84,22.91221,6
85,23.185518,6
86,23.458379,6
87,23.731605,6
88,24.007934,6
89,24.2795,6
90,24.549718,6
91,24.826016,6
92,25.098862,6
93,25.374785,6
94,25.656945,6
95,25.93364,6
96,26.203571,6
97,26.484881,6
98,26.750414,6
99,27.028207,6
100,27.305728,6
2,28.567229,7
3,28.848788,7
4,29.111231,7
5,29.410367,7
6,29.661315,7
7,29.93613,7
8,30.209848,7
9,30.484319,7
10,30.76182,7
11,31.032414,7
12,31.304006,7
13,31.607103,7
14,31.857877,7
15,32.13661,7
16,32.442738,7
17,32.684511,7
18,32.952586,7
19,33.22899,7
20,33.504477,7
21,33.776774,7
22,34.054328,7
23,34.31769,7
24,34.597381,7
25,34.872827,7
26,35.15586,7
27,35.420794,7
28,35.697279,7
29,35.990034,7
30,36.245843,7
31,36.517926,7
