packet_seq_no,packet_delay_in_secs,flow_id
1,0.006205,1
3,2.792399,1
4,4.60956,1
5,6.453646,1
6,8.296628,1
7,10.179395,1
8,11.987315,1
9,13.828487,1
10,15.675249,1
11,17.529221,1
12,19.373012,1
13,21.203827,1
14,23.048448,1
15,24.8923,1
16,26.736388,1
17,28.580077,1
18,30.427492,1
19,32.267996,1
20,34.11598,1
21,35.965167,1
22,37.799459,1
23,39.644445,1
24,41.466642,1
25,43.32212,1
26,45.174625,1
27,47.042325,1
28,48.866711,1
29,50.705792,1
30,52.551547,1
31,54.394777,1
32,56.258716,1
33,58.082257,1
34,59.933761,1
35,61.770731,1
36,63.621863,1
37,65.46148,1
38,67.301433,1
39,69.177671,1
40,70.983498,1
41,72.856499,1
42,74.686218,1
43,76.530133,1
44,78.370661,1
45,80.212485,1
46,82.048467,1
47,83.897158,1
48,85.740302,1
49,87.585327,1
50,89.43228,1
51,91.270801,1
52,93.123034,1
53,94.995001,1
54,96.80421,1
55,98.648106,1
56,100.501357,1
57,102.336455,1
58,104.182013,1
59,106.032458,1
60,107.86865,1
61,109.712652,1
62,111.564799,1
63,113.415291,1
64,115.249669,1
65,117.093784,1
66,118.95979,1
67,120.775576,1
68,122.619192,1
69,124.467709,1
70,126.307458,1
71,128.150877,1
72,130.000479,1
73,131.878532,1
74,133.733876,1
75,135.518616,1
76,137.367922,1
77,139.213785,1
78,141.057808,1
79,142.903501,1
80,144.756044,1
81,146.591455,1
82,148.434921,1
83,150.292173,1
84,152.127324,1
85,153.966238,1
86,155.814185,1
87,157.654694,1
88,159.497766,1
89,161.3415,1
90,163.201646,1
91,165.023497,1
92,166.879176,1
93,168.719951,1
94,170.579025,1
95,172.406634,1
96,174.249165,1
97,176.09338,1
98,177.936725,1
99,179.782979,1
100,181.628668,1
1,368.015868,3
2,371.706164,3
3,373.548486,3
4,377.247214,3
5,379.092772,3
6,382.787684,3
7,386.48778,3
8,390.20054,3
9,392.039894,3
10,395.731378,3
11,399.429439,3
12,401.269325,3
13,404.976215,3
14,408.662662,3
15,410.506392,3
16,414.210705,3
17,417.911445,3
18,419.746304,3
19,423.4589,3
20,425.287603,3
21,428.997103,3
22,432.688558,3
23,436.39127,3
24,438.208173,3
25,441.918778,3
26,443.765448,3
27,447.454606,3
28,451.16229,3
29,454.858941,3
30,456.70367,3
31,460.402614,3
32,462.250094,3
33,465.94357,3
34,469.64111,3
35,473.339331,3
36,475.183245,3
37,478.889537,3
38,482.584771,3
39,484.44893,3
40,488.114506,3
41,491.818095,3
42,493.666184,3
43,497.361697,3
44,501.057625,3
45,502.917452,3
46,506.594999,3
47,508.441868,3
48,512.139941,3
49,515.852816,3
50,519.555294,3
51,521.378812,3
52,525.078669,3
53,526.93942,3
54,530.620215,3
55,534.343898,3
56,538.021108,3
57,539.860388,3
58,543.577121,3
59,545.401497,3
60,549.10094,3
61,552.800709,3
62,556.494355,3
63,558.339221,3
64,562.03664,3
65,563.886224,3
66,567.579595,3
67,571.277023,3
68,574.986638,3
69,576.833523,3
70,580.538966,3
71,584.216431,3
72,586.055752,3
73,589.761458,3
74,591.598837,3
75,595.288483,3
76,599.004195,3
77,602.702147,3
78,604.561261,3
79,608.23538,3
80,610.092354,3
81,613.775567,3
82,617.48794,3
83,621.224018,3
84,623.016006,3
85,626.713909,3
86,628.557658,3
87,632.261823,3
88,635.953232,3
89,639.660511,3
90,641.495213,3
91,645.186864,3
92,647.037117,3
93,650.735234,3
94,654.432885,3
95,658.141133,3
96,659.974933,3
97,663.712764,3
98,667.369782,3
99,669.212095,3
100,672.911557,3
