packet_seq_no,packet_delay_in_secs,flow_id
1,0.005881,1
2,7.089096,1
3,21.293089,1
4,35.496119,1
5,49.703565,1
6,63.903163,1
7,78.126007,1
8,92.310219,1
9,106.513454,1
10,120.729714,1
11,134.919058,1
12,149.124112,1
13,163.336774,1
14,177.530929,1
15,191.734128,1
16,205.938072,1
17,220.138981,1
18,234.352917,1
19,248.544441,1
20,262.749365,1
21,276.953126,1
22,291.156395,1
23,305.360094,1
24,319.406591,1
25,333.595008,1
26,347.798975,1
27,362.002301,1
28,376.205876,1
29,390.407325,1
30,404.613823,1
31,418.816419,1
32,433.01822,1
33,447.222922,1
34,461.426756,1
35,475.62971,1
36,489.833071,1
37,504.035373,1
38,518.238739,1
39,532.442107,1
40,546.645586,1
41,560.850746,1
42,575.052483,1
43,589.267783,1
44,603.46251,1
45,617.658227,1
46,631.86519,1
47,646.068868,1
48,660.273294,1
49,674.476113,1
50,688.678295,1
51,702.879331,1
52,716.858003,1
53,731.10109,1
54,745.265065,1
55,759.467781,1
56,773.671576,1
57,787.878391,1
58,802.078859,1
59,816.283081,1
60,830.485619,1
61,844.688601,1
62,858.891978,1
63,873.098997,1
64,887.29878,1
65,901.501429,1
66,915.710401,1
67,929.909299,1
68,944.111891,1
69,958.330347,1
70,972.531293,1
71,986.732798,1
72,1000.925257,1
73,1015.127722,1
74,1029.329598,1
75,1043.53639,1
76,1057.737849,1
77,1071.942102,1
78,1086.145787,1
79,1100.348634,1
80,1114.563342,1
81,1128.756659,1
82,1142.954965,1
83,1157.161907,1
84,1171.374264,1
85,1185.56832,1
86,1199.771986,1
87,1213.710395,1
88,1227.913679,1
89,1242.114114,1
90,1256.325495,1
91,1270.521009,1
92,1284.724654,1
93,1298.932225,1
94,1313.136328,1
95,1327.335019,1
96,1341.533531,1
97,1355.741645,1
98,1369.944969,1
99,1384.147242,1
100,1398.351246,1
2,1413.544726,2
3,1427.748051,2
4,1441.950212,2
5,1456.154441,2
6,1470.359408,2
7,1484.578969,2
8,1498.764375,2
9,1512.96807,2
10,1527.185646,2
11,1541.374122,2
12,1555.57845,2
13,1569.794878,2
14,1583.984686,2
15,1598.187538,2
16,1612.392946,2
17,1626.594174,2
18,1640.799395,2
19,1655.000025,2
20,1669.213021,2
21,1683.413669,2
22,1697.614758,2
23,1711.814738,2
24,1726.027197,2
25,1740.221541,2
26,1754.42466,2
27,1768.62727,2
28,1782.831848,2
29,1797.033704,2
30,1811.237917,2
31,1825.441016,2
32,1839.653288,2
33,1853.855388,2
34,1868.051477,2
35,1882.256503,2
36,1896.485395,2
37,1910.662334,2
38,1924.864203,2
39,1939.067843,2
40,1953.27228,2
41,1967.473983,2
42,1981.678279,2
43,1995.88127,2
44,2010.084406,2
45,2024.284115,2
46,2038.491093,2
47,2052.70184,2
48,2066.897329,2
49,2081.102377,2
50,2095.302397,2
51,2109.503993,2
52,2123.717834,2
53,2137.651181,2
54,2151.865336,2
55,2166.065159,2
56,2180.263131,2
57,2194.465768,2
58,2208.668639,2
59,2222.875189,2
60,2237.075387,2
61,2251.279262,2
62,2265.49928,2
63,2279.689217,2
64,2293.89026,2
65,2308.090998,2
66,2322.295795,2
67,2336.499419,2
68,2350.701181,2
69,2364.916463,2
70,2379.116973,2
71,2393.307272,2
72,2407.515151,2
73,2421.719984,2
74,2435.919963,2
75,2450.125506,2
76,2464.327726,2
77,2478.53254,2
78,2492.733882,2
79,2506.938478,2
80,2521.14138,2
81,2535.345119,2
82,2549.544417,2
83,2563.752293,2
84,2577.955023,2
85,2592.160019,2
86,2606.360171,2
87,2620.564216,2
88,2634.786382,2
89,2648.971403,2
90,2663.174272,2
91,2677.379962,2
92,2691.580707,2
93,2705.783956,2
94,2719.988587,2
95,2734.191056,2
96,2748.389527,2
97,2762.597299,2
98,2776.797698,2
99,2791.005852,2
100,2805.219293,2
1,2820.413044,3
2,2834.614485,3
3,2848.828852,3
4,2863.021648,3
