packet_seq_no,packet_delay_in_secs,flow_id
1,0.005538,1
1,0.005519,2
2,0.512319,1
3,1.420066,1
4,2.406865,1
5,3.449708,1
6,4.377827,1
7,5.44391,1
8,6.386928,1
9,7.341934,1
10,8.263157,1
11,9.175949,1
12,10.114475,1
13,11.10313,1
14,11.939762,1
15,12.82504,1
16,13.762893,1
17,14.703014,1
18,15.72446,1
19,16.599808,1
20,17.596906,1
21,18.430392,1
22,19.319492,1
23,20.279706,1
24,21.316752,1
25,22.350882,1
26,23.426869,1
27,24.318814,1
28,25.269506,1
29,26.19122,1
30,27.129491,1
31,28.0674,1
32,28.981658,1
33,29.933683,1
34,30.854651,1
35,31.786492,1
36,32.710026,1
37,33.634946,1
38,34.563692,1
39,35.497667,1
40,36.42095,1
41,37.354531,1
42,38.279139,1
43,39.272473,1
44,40.222089,1
45,41.084963,1
46,42.007428,1
47,42.914586,1
48,43.79772,1
49,44.762109,1
50,45.673293,1
51,46.634762,1
52,47.55137,1
53,48.488866,1
54,49.397707,1
55,50.322861,1
56,51.262769,1
57,52.203715,1
58,53.184898,1
59,54.130089,1
60,54.912066,1
61,55.929985,1
62,56.971601,1
63,58.031459,1
64,58.950675,1
65,59.990833,1
66,60.887057,1
67,61.842683,1
68,62.762873,1
69,63.69737,1
70,64.557438,1
71,65.483504,1
72,66.425811,1
73,67.364297,1
74,68.299645,1
75,69.23476,1
76,70.174412,1
77,71.13179,1
78,72.068074,1
79,72.984828,1
80,73.929334,1
81,74.799299,1
82,75.67526,1
83,76.616099,1
84,77.551873,1
85,78.508823,1
86,79.378873,1
87,80.318033,1
88,81.254742,1
89,82.193328,1
90,83.131332,1
91,84.087004,1
92,84.943608,1
93,85.87993,1
94,86.823342,1
95,87.766278,1
96,88.695426,1
97,89.632699,1
98,90.568221,1
99,91.499379,1
100,92.448333,1
2,94.360483,2
3,95.269259,2
4,96.214786,2
5,97.142331,2
6,98.065326,2
7,98.98603,2
8,99.894718,2
9,100.831281,2
10,101.771737,2
11,102.681578,2
12,103.616034,2
13,104.554159,2
14,105.482349,2
15,106.377046,2
16,107.312963,2
17,108.251163,2
18,109.190481,2
19,110.126619,2
20,111.052683,2
21,111.982217,2
22,112.870383,2
23,113.80875,2
24,114.747151,2
25,115.700409,2
26,116.62819,2
27,117.511947,2
28,118.467297,2
29,119.389124,2
30,120.327181,2
31,121.276213,2
32,122.190381,2
33,123.117778,2
34,124.149189,2
35,125.15625,2
36,126.088295,2
37,127.014364,2
38,127.94982,2
39,128.867743,2
40,129.855597,2
41,130.80227,2
42,131.816916,2
43,132.74463,2
44,133.640388,2
45,134.56082,2
46,135.636822,2
47,136.471134,2
48,137.366871,2
49,138.297458,2
50,139.272637,2
51,140.172481,2
52,141.104081,2
53,142.045265,2
54,142.938078,2
55,143.87758,2
56,144.812191,2
57,145.750578,2
58,146.678113,2
59,147.468408,2
60,148.404547,2
61,149.342614,2
62,150.3277,2
63,151.235388,2
64,152.250676,2
65,153.155843,2
66,154.058961,2
67,154.980086,2
68,155.91087,2
69,156.845636,2
70,157.692047,2
71,158.652637,2
72,159.568276,2
