packet_seq_no,packet_delay_in_secs,flow_id
1,0.005805,1
1,0.005831,2
2,0.106659,1
3,0.318535,1
4,0.530914,1
5,0.743978,1
6,0.954005,1
7,1.166876,1
8,1.37936,1
9,1.593607,1
10,1.805422,1
11,2.015179,1
12,2.232594,1
13,2.440118,1
14,2.651496,1
15,2.863831,1
16,3.072625,1
17,3.286628,1
18,3.50055,1
19,3.712111,1
20,3.922567,1
21,4.131448,1
22,4.347804,1
23,4.557464,1
24,4.772314,1
25,4.984713,1
26,5.196631,1
27,5.407655,1
28,5.638926,1
29,5.834161,1
30,6.049492,1
31,6.25754,1
32,6.469662,1
33,6.682493,1
34,6.908461,1
35,7.115963,1
36,7.320889,1
37,7.529774,1
38,7.749496,1
39,7.959445,1
40,8.175864,1
41,8.404172,1
42,8.592567,1
43,8.809616,1
44,9.031963,1
45,9.227221,1
46,9.44351,1
47,9.66318,1
48,9.880064,1
49,10.077111,1
50,10.300645,1
51,10.499103,1
52,10.716502,1
53,10.931313,1
54,11.137708,1
55,11.347087,1
56,11.564006,1
57,11.771109,1
58,11.988856,1
59,12.200965,1
60,12.4207,1
61,12.619845,1
62,12.847907,1
63,13.044004,1
64,13.270562,1
65,13.467713,1
66,13.691005,1
67,13.891726,1
68,14.107311,1
69,14.324244,1
70,14.534022,1
71,14.749835,1
72,14.952321,1
73,15.164257,1
74,15.388668,1
75,15.590775,1
76,15.800965,1
77,16.014502,1
78,16.213241,1
79,16.445757,1
80,16.650621,1
81,16.864153,1
82,17.07314,1
83,17.304114,1
84,17.495343,1
85,17.706888,1
86,17.926202,1
87,18.151352,1
88,18.350433,1
89,18.557172,1
90,18.76953,1
91,18.98243,1
92,19.199071,1
93,19.416823,1
94,19.618265,1
95,19.825321,1
96,20.056173,1
97,20.254584,1
98,20.466511,1
99,20.678832,1
100,20.891472,1
2,22.095808,2
3,22.319021,2
4,22.517671,2
5,22.730691,2
6,22.940701,2
7,23.162424,2
8,23.365238,2
9,23.586427,2
10,23.789961,2
11,24.000746,2
12,24.220262,2
13,24.428013,2
14,24.639102,2
15,24.855602,2
16,25.062165,2
17,25.273368,2
18,25.490473,2
19,25.709433,2
20,25.929858,2
21,26.118987,2
22,26.341556,2
23,26.550834,2
24,26.760056,2
25,26.97575,2
26,27.204284,2
27,27.399905,2
28,27.607797,2
29,27.835079,2
30,28.053175,2
31,28.245428,2
32,28.466426,2
33,28.666738,2
34,28.880393,2
35,29.094813,2
36,29.3284,2
37,29.516559,2
38,29.732449,2
39,29.948536,2
40,30.152429,2
41,30.36412,2
42,30.587087,2
43,30.811878,2
44,31.008021,2
45,31.218128,2
46,31.433042,2
47,31.640653,2
48,31.85872,2
49,32.063216,2
50,32.274319,2
51,32.491206,2
52,32.701275,2
53,32.922558,2
54,33.12477,2
55,33.351167,2
56,33.548133,2
57,33.758785,2
58,33.97952,2
59,34.182492,2
60,34.392455,2
61,34.614493,2
62,34.824342,2
63,35.030112,2
64,35.246609,2
65,35.461855,2
66,35.673897,2
67,35.882421,2
68,36.095867,2
69,36.303235,2
70,36.517526,2
71,36.731484,2
72,36.942331,2
73,37.150615,2
74,37.362992,2
75,37.574876,2
76,37.786985,2
77,37.999239,2
78,38.199046,2
79,38.421809,2
80,38.640685,2
81,38.866206,2
82,39.068788,2
83,39.271467,2
84,39.494962,2
85,39.693303,2
86,39.897476,2
87,40.121825,2
88,40.329754,2
89,40.543434,2
90,40.756491,2
91,40.970459,2
92,41.171332,2
93,41.390905,2
94,41.607051,2
95,41.814912,2
96,42.026378,2
97,42.243282,2
98,42.46667,2
99,42.665923,2
100,42.882778,2
1,44.111928,3
2,44.302742,3
3,44.513426,3
4,44.733053,3
5,44.937631,3
6,45.149778,3
7,45.361062,3
8,45.586542,3
9,45.789216,3
10,45.997839,3
11,46.214635,3
12,46.423023,3
13,46.64288,3
14,46.848883,3
15,47.058309,3
16,47.274003,3
17,47.48323,3
18,47.693639,3
19,47.907694,3
20,48.11713,3
21,48.326007,3
22,48.547016,3
23,48.752025,3
24,48.967298,3
25,49.179847,3
26,49.394662,3
27,49.612917,3
28,49.818028,3
29,50.034663,3
30,50.240087,3
31,50.451782,3
32,50.663861,3
33,50.87928,3
34,51.095738,3
35,51.303871,3
36,51.514101,3
37,51.724132,3
38,51.935817,3
39,52.151477,3
40,52.363292,3
41,52.572478,3
42,52.800223,3
43,52.996799,3
44,53.229306,3
45,53.423514,3
46,53.64108,3
47,53.854308,3
48,54.061985,3
49,54.27314,3
50,54.483804,3
51,54.712865,3
52,54.913047,3
53,55.11659,3
54,55.33301,3
55,55.548278,3
56,55.760325,3
57,55.975912,3
58,56.181014,3
59,56.391968,3
60,56.607098,3
61,56.823014,3
62,57.038777,3
63,57.24286,3
64,57.446991,3
65,57.670011,3
66,57.875708,3
67,58.089685,3
68,58.314332,3
69,58.51182,3
70,58.730811,3
71,58.942518,3
72,59.165643,3
73,59.35887,3
74,59.573023,3
75,59.788774,3
76,60.019056,3
77,60.209402,3
78,60.406345,3
79,60.630362,3
80,60.844463,3
81,61.072131,3
82,61.283454,3
83,61.484579,3
84,61.693876,3
85,61.915645,3
86,62.108225,3
87,62.332326,3
88,62.555323,3
89,62.759347,3
90,62.963577,3
91,63.176894,3
92,63.392711,3
93,63.594916,3
94,63.823191,3
95,64.039144,3
96,64.232827,3
97,64.458967,3
98,64.66247,3
99,64.881969,3
100,65.086153,3
1,66.299483,5
1,66.520485,4
2,66.735271,5
2,66.957174,4
3,67.167072,5
3,67.388113,4
4,67.60643,5
4,67.827699,4
5,68.034402,5
5,68.264732,4
6,68.470496,5
6,68.703626,4
7,68.908405,5
7,69.1241,4
8,69.336711,5
8,69.558575,4
9,69.771336,5
9,69.992695,4
10,70.204522,5
10,70.426518,4
11,70.64367,5
11,70.861401,4
12,71.073161,5
12,71.294948,4
13,71.507895,5
13,71.730993,4
14,71.940984,5
14,72.163761,4
15,72.376553,5
15,72.610831,4
16,72.806652,5
16,73.028627,4
17,73.24286,5
17,73.482575,4
18,73.677349,5
18,73.899683,4
19,74.125902,5
19,74.358652,4
20,74.5442,5
20,74.766344,4
21,74.975536,5
21,75.202106,4
22,75.416712,5
22,75.637119,4
23,75.846228,5
23,76.076619,4
24,76.284372,5
