packet_seq_no,packet_delay_in_secs,flow_id
1,0.000573,1
1,0.000543,5
1,0.000538,4
1,0.000535,3
1,0.000533,2
2,7.4e-05,1
2,1.5e-05,5
2,1.2e-05,4
2,1.2e-05,3
2,1.1e-05,2
3,6.6e-05,1
3,1.4e-05,5
3,1.1e-05,4
3,1.1e-05,3
3,1.1e-05,2
4,6.7e-05,1
4,1.5e-05,5
4,1.2e-05,4
4,1.2e-05,3
4,1.1e-05,2
5,6.1e-05,1
5,1.5e-05,5
5,1.2e-05,4
5,1.1e-05,3
5,0.000132,2
6,0.000119,1
6,8.3e-05,5
6,7.8e-05,4
6,7.5e-05,3
6,6.8e-05,2
7,0.000188,1
7,0.000155,5
7,0.000143,4
7,0.000135,3
7,0.000128,2
8,0.000212,1
8,0.000157,5
8,0.000145,4
8,0.000138,3
8,0.000132,2
9,0.00016,1
9,8.9e-05,5
9,0.000134,4
9,0.00016,3
9,0.00016,2
10,0.000139,1
10,5.7e-05,5
10,4e-05,4
10,7.1e-05,3
10,6.7e-05,2
11,0.00014,1
11,6.3e-05,5
11,0.000159,4
11,0.000147,3
11,0.000142,2
12,0.000112,1
12,4.1e-05,5
12,3.5e-05,4
12,3.2e-05,3
12,2.8e-05,2
13,8e-05,1
13,3.9e-05,5
13,3.4e-05,4
13,3.1e-05,3
13,2.7e-05,2
14,8.1e-05,1
14,4.1e-05,5
14,3.6e-05,4
14,2.6e-05,3
14,2.1e-05,2
15,9.2e-05,1
15,4.3e-05,5
15,7.1e-05,4
15,7e-05,3
15,6.6e-05,2
16,8.2e-05,1
16,3.9e-05,5
16,3.4e-05,4
16,3e-05,3
16,1.9e-05,2
17,8.8e-05,1
17,4.5e-05,5
17,3.8e-05,4
17,3.6e-05,3
17,3.2e-05,2
18,0.000122,1
18,5.5e-05,5
18,4.7e-05,4
18,4.3e-05,3
18,3.9e-05,2
19,8e-05,1
19,4e-05,5
19,3.5e-05,4
19,3.1e-05,3
19,2.8e-05,2
20,9.9e-05,1
20,7.2e-05,5
20,6.5e-05,4
20,6.1e-05,3
20,5.7e-05,2
21,7.5e-05,1
21,3.8e-05,5
21,3.2e-05,4
21,2.8e-05,3
21,2.6e-05,2
22,8.4e-05,1
22,3.7e-05,5
22,3.1e-05,4
22,2.8e-05,3
22,2.5e-05,2
23,8.4e-05,1
23,5.4e-05,5
23,4.9e-05,4
23,4.6e-05,3
23,4.3e-05,2
24,9.1e-05,1
24,4.2e-05,5
24,3.6e-05,4
24,3.3e-05,3
24,3e-05,2
25,9.6e-05,1
25,4.5e-05,5
25,3.8e-05,4
25,3.3e-05,3
25,2.8e-05,2
26,8.1e-05,1
26,3.8e-05,5
26,3.3e-05,4
26,3e-05,3
26,2.7e-05,2
27,8.6e-05,1
27,4.1e-05,5
27,3.6e-05,4
27,3.2e-05,3
27,2.9e-05,2
28,8.7e-05,1
28,4.1e-05,5
28,3.5e-05,4
28,3.2e-05,3
28,2.8e-05,2
29,9.2e-05,1
29,3.7e-05,5
29,3.2e-05,4
29,2.9e-05,3
29,4.9e-05,2
30,9.1e-05,1
30,4.6e-05,5
30,4e-05,4
30,3.6e-05,3
30,3.4e-05,2
31,8.7e-05,1
31,4.2e-05,5
31,3.7e-05,4
31,3.5e-05,3
31,2.8e-05,2
32,9e-05,1
32,4.9e-05,5
32,4.4e-05,4
32,4.1e-05,3
32,2.2e-05,2
33,7.6e-05,1
33,3.7e-05,5
33,3.2e-05,4
33,2.8e-05,3
33,2.5e-05,2
34,8.6e-05,1
34,4.6e-05,5
34,4.1e-05,4
34,6.7e-05,3
34,6.4e-05,2
35,0.000122,1
35,4.3e-05,5
35,2e-05,4
35,3.9e-05,3
35,4.2e-05,2
36,8.5e-05,1
36,4.6e-05,5
36,4.1e-05,4
36,3.7e-05,3
36,3.4e-05,2
37,0.000122,1
37,7.3e-05,5
37,6.7e-05,4
37,6.2e-05,3
37,5.9e-05,2
38,7.9e-05,1
38,3.7e-05,5
38,3.3e-05,4
38,2.9e-05,3
38,2.6e-05,2
39,8.5e-05,1
39,4.1e-05,5
39,6.5e-05,4
39,6.2e-05,3
39,5.9e-05,2
40,7.8e-05,1
40,3.9e-05,5
40,3.5e-05,4
40,3.1e-05,3
40,2.5e-05,2
41,0.000311,1
41,0.000214,5
41,0.000196,4
41,0.000191,3
41,0.000187,2
42,9.2e-05,1
42,4.3e-05,5
42,3.8e-05,4
42,3.4e-05,3
42,3.1e-05,2
43,8.4e-05,1
43,4.1e-05,5
43,3.6e-05,4
43,3.4e-05,3
43,3.1e-05,2
44,0.000107,1
44,7.8e-05,5
44,6.8e-05,4
44,5.9e-05,3
44,5e-05,2
45,8e-05,1
45,1.6e-05,5
45,8e-06,4
45,3.1e-05,3
45,2.5e-05,2
46,0.000187,1
46,0.000137,5
46,0.000131,4
46,9.5e-05,3
46,8.9e-05,2
47,8.1e-05,1
47,3.9e-05,5
47,3.4e-05,4
47,3e-05,3
47,2.7e-05,2
48,0.000111,1
48,4.4e-05,5
48,3.3e-05,4
48,2.7e-05,3
48,2.1e-05,2
49,0.000105,1
49,3.7e-05,5
49,2.7e-05,4
49,2.3e-05,3
49,1.9e-05,2
50,9.1e-05,1
50,4.8e-05,5
50,4.3e-05,4
50,4e-05,3
50,3.7e-05,2
51,7.9e-05,1
51,3.5e-05,5
51,3.1e-05,4
51,2.9e-05,3
51,2.5e-05,2
52,8.8e-05,1
52,4.2e-05,5
52,3.5e-05,4
52,3.2e-05,3
52,2.9e-05,2
53,0.000106,1
53,4.1e-05,5
53,3.6e-05,4
53,3.2e-05,3
53,5.6e-05,2
54,9.3e-05,1
54,5.3e-05,5
54,4.9e-05,4
54,4.6e-05,3
54,4.8e-05,2
55,9.4e-05,1
55,4.3e-05,5
55,3.7e-05,4
55,3.5e-05,3
55,3.1e-05,2
56,9.6e-05,1
56,5.1e-05,5
56,4.7e-05,4
56,4.7e-05,3
56,4.7e-05,2
57,0.00579,1
57,0.005717,5
57,0.005705,4
57,0.005699,3
57,0.005692,2
58,0.00026,1
58,0.000214,5
58,0.000197,4
58,0.000288,3
58,0.000267,2
59,0.000125,1
59,6.3e-05,5
59,5.2e-05,4
59,4.7e-05,3
59,4.3e-05,2
60,9.8e-05,1
60,5e-05,5
60,4.5e-05,4
60,4.2e-05,3
