packet_seq_no,packet_delay_in_secs,flow_id
1,0.000658,1
1,0.000665,4
1,0.000657,3
1,0.000654,2
1,0.000649,5
2,0.000112,1
2,2.6e-05,4
2,2e-05,3
2,2e-05,2
2,1.9e-05,5
3,9.3e-05,1
3,0.000109,4
3,0.000105,3
3,0.000103,2
3,0.000102,5
4,0.00013,1
4,9.1e-05,4
4,8.7e-05,3
4,8.5e-05,2
4,8.3e-05,5
5,9.4e-05,1
5,6.1e-05,4
5,5.7e-05,3
5,5.6e-05,2
5,9e-05,5
6,0.000838,1
6,0.000685,4
6,0.000643,3
6,0.000636,2
6,0.00063,5
7,0.000625,1
7,0.000621,4
7,0.000618,3
7,0.000611,2
7,0.000607,5
8,0.000604,1
8,0.0006,4
8,0.000596,3
8,0.000592,2
8,0.000589,5
9,0.000585,1
9,0.000583,4
9,0.000652,3
9,0.000653,2
9,0.000647,5
10,0.000643,1
10,0.00064,4
10,0.000635,3
10,0.000717,2
10,0.000715,5
11,0.000711,1
11,0.000708,4
11,0.000704,3
11,0.000685,2
11,0.000679,5
12,0.000314,1
12,0.000213,4
12,0.000278,3
12,0.000275,2
12,0.000271,5
13,0.000355,1
13,0.000338,4
13,0.000325,3
13,0.000319,2
13,0.000314,5
14,0.001457,1
14,0.001055,4
14,0.001025,3
14,0.001016,2
14,0.00101,5
15,0.001003,1
15,0.000998,4
15,0.001094,3
15,0.001253,2
15,0.001263,5
16,0.001259,1
16,0.001254,4
16,0.001249,3
16,0.001253,2
16,0.001246,5
17,0.001241,1
17,0.001292,4
17,0.001295,3
17,0.00129,2
17,0.001284,5
18,0.001279,1
18,0.001274,4
18,0.001254,3
18,0.001249,2
18,0.001245,5
19,0.001238,1
19,0.001232,4
19,0.001227,3
19,0.001222,2
19,0.001089,5
20,0.001072,1
20,0.001121,4
20,0.001113,3
20,0.001106,2
20,0.001103,5
21,0.000329,1
21,0.000221,4
21,0.000205,3
21,0.000194,2
21,0.000189,5
22,0.000245,1
22,0.000148,4
22,0.000137,3
22,0.000132,2
22,0.000128,5
23,0.000446,1
23,0.000345,4
23,0.000331,3
23,0.000324,2
23,0.000319,5
24,0.000389,1
24,0.000448,4
24,0.000436,3
24,0.00043,2
24,0.000426,5
25,0.000394,1
25,0.000389,4
25,0.000376,3
25,0.000371,2
25,0.000369,5
26,0.001102,1
26,0.000858,4
26,0.000803,3
26,0.000792,2
26,0.000786,5
27,0.00078,1
27,0.000775,4
27,0.000772,3
27,0.000764,2
27,0.000759,5
28,0.000755,1
28,0.00075,4
28,0.00073,3
28,0.000721,2
28,0.000718,5
29,0.00025,1
29,6.2e-05,4
29,4.8e-05,3
29,0.000105,2
29,6.5e-05,5
30,0.000215,1
30,0.000175,4
30,0.000105,3
30,5e-05,2
30,4.8e-05,5
31,0.000315,1
31,0.000117,4
31,5.4e-05,3
31,4.6e-05,2
31,4.6e-05,5
32,0.000347,1
32,8.6e-05,4
32,5.3e-05,3
32,4.7e-05,2
32,4.8e-05,5
33,4.6e-05,1
33,0.000104,4
33,5e-05,3
33,4.6e-05,2
33,4.5e-05,5
34,0.00053,1
34,8e-05,4
34,5.1e-05,3
34,6.4e-05,2
34,4.8e-05,5
35,0.000217,1
35,0.000163,4
35,8.6e-05,3
35,4.8e-05,2
35,4.7e-05,5
36,0.000213,1
36,9.1e-05,4
36,0.000126,3
36,5.3e-05,2
36,4.7e-05,5
37,0.000406,1
37,0.000104,4
37,5.3e-05,3
37,4.8e-05,2
37,0.000459,5
38,0.000177,1
38,9.3e-05,4
38,8.6e-05,3
38,0.000207,2
38,0.00011,5
39,0.000177,1
39,6.1e-05,4
39,6.6e-05,3
39,0.000145,2
39,8.2e-05,5
40,0.000229,1
40,0.00028,4
40,9.9e-05,3
40,5e-05,2
40,4.7e-05,5
41,0.000203,1
41,0.000196,4
41,6e-05,3
41,4.7e-05,2
41,4.6e-05,5
42,0.00051,1
42,7.4e-05,4
42,5.1e-05,3
42,5.2e-05,2
42,4.8e-05,5
43,4.8e-05,1
43,0.000169,4
43,6.6e-05,3
43,4.8e-05,2
43,4.6e-05,5
44,0.000214,1
44,0.000137,4
44,5.4e-05,3
44,4.8e-05,2
44,4.6e-05,5
45,0.000219,1
45,6.2e-05,4
45,0.000171,3
45,6.5e-05,2
45,4.9e-05,5
46,0.000213,1
46,6.3e-05,4
46,0.000116,3
46,5.7e-05,2
46,4.7e-05,5
47,0.000364,1
47,8e-05,4
47,5.2e-05,3
47,4.8e-05,2
47,4.6e-05,5
48,4.5e-05,1
48,4.3e-05,4
48,0.00026,3
48,9.1e-05,2
48,5.1e-05,5
49,0.000425,1
49,0.00017,4
49,5.6e-05,3
49,4.8e-05,2
49,4.8e-05,5
50,0.000207,1
50,6.3e-05,4
50,4.9e-05,3
50,4.6e-05,2
50,4.8e-05,5
51,0.000203,1
51,5.9e-05,4
51,0.000158,3
51,8.8e-05,2
51,5e-05,5
52,0.000218,1
52,0.000328,4
52,9.8e-05,3
52,4.9e-05,2
52,4.6e-05,5
53,0.000217,1
53,6.4e-05,4
53,5e-05,3
53,9.8e-05,2
53,6.4e-05,5
54,0.000337,1
54,8.4e-05,4
54,0.000235,3
54,0.000465,2
54,9e-05,5
55,0.00014,1
55,6.1e-05,4
55,4.7e-05,3
55,4.5e-05,2
55,4.5e-05,5
56,0.000215,1
56,6.4e-05,4
56,0.000286,3
56,9.6e-05,2
56,5e-05,5
57,0.000211,1
57,0.000187,4
57,6.2e-05,3
57,4.8e-05,2
57,4.6e-05,5
58,0.000214,1
58,9.1e-05,4
58,0.000119,3
58,6.4e-05,2
58,4.9e-05,5
59,0.000216,1
59,6.1e-05,4
59,0.000122,3
59,5.2e-05,2
59,4.7e-05,5
60,0.000208,1
60,0.000156,4
60,9.5e-05,3
60,5e-05,2
60,4.7e-05,5
61,4.5e-05,1
61,0.000193,4
61,6.2e-05,3
61,0.000141,2
61,6.7e-05,5
62,0.000202,1
62,6.2e-05,4
62,4.8e-05,3
62,4.7e-05,2
62,4.5e-05,5
63,0.000173,1
63,6.1e-05,4
63,6.6e-05,3
63,4.8e-05,2
63,0.000164,5
64,0.000203,1
64,0.000159,4
64,0.000105,3
64,5.2e-05,2
64,4.7e-05,5
65,0.000209,1
65,0.000144,4
65,5.9e-05,3
65,4.8e-05,2
65,4.8e-05,5
66,0.00021,1
66,4.8e-05,4
66,4.1e-05,3
66,0.000152,2
66,0.000143,5
67,8.1e-05,1
67,0.000179,4
67,9.2e-05,3
67,4.8e-05,2
67,0.000156,5
68,5.6e-05,1
68,6.4e-05,4
68,0.000237,3
68,9.8e-05,2
68,9.1e-05,5
69,5.1e-05,1
69,4.6e-05,4
69,4.7e-05,3
69,4.6e-05,2
69,4.7e-05,5
70,4.5e-05,1
70,6.8e-05,4
70,5.2e-05,3
70,4.6e-05,2
70,0.000189,5
71,0.000213,1
71,6.1e-05,4
71,5e-05,3
71,4.6e-05,2
71,0.00016,5
72,0.00022,1
72,6.5e-05,4
72,5.1e-05,3
72,0.000143,2
72,5.4e-05,5
73,0.000382,1
73,9e-05,4
73,5.1e-05,3
73,4.6e-05,2
73,4.6e-05,5
74,0.000208,1
74,0.000124,4
74,5.5e-05,3
74,4.6e-05,2
74,4.5e-05,5
75,0.000214,1
75,0.000152,4
75,0.000101,3
