packet_seq_no,packet_delay_in_secs,flow_id
1,0.000128,1
1,2.5e-05,9
1,0.018342,8
1,0.053704,7
1,0.0891,6
2,0.11535,1
2,0.152808,9
2,0.188988,8
2,0.221641,7
2,0.25737,6
3,0.283342,1
3,0.318753,9
3,0.353842,8
3,0.389258,7
3,0.425376,6
4,0.450916,1
4,0.486296,9
4,0.52163,8
4,0.556932,7
4,0.592479,6
5,0.618406,1
5,0.653896,9
5,0.689065,8
5,0.724949,7
5,0.760397,6
6,0.785847,1
6,0.821672,9
6,0.85732,8
6,0.892463,7
6,0.927674,6
7,0.953496,1
7,0.988996,9
7,1.025386,8
7,1.060092,7
7,1.095501,6
8,1.116147,1
8,1.151609,9
8,1.187124,8
8,1.222509,7
8,1.25813,6
9,1.289043,1
9,1.324702,9
9,1.360077,8
9,1.395352,7
9,1.430631,6
10,1.459112,1
10,1.494886,9
10,1.529851,8
10,1.565455,7
10,1.601014,6
11,1.626843,1
11,1.662284,9
11,1.697488,8
11,1.733188,7
11,1.768583,6
12,1.793697,1
12,1.8293,9
12,1.864622,8
12,1.900608,7
12,1.935708,6
13,1.962114,1
13,1.997931,9
13,2.033212,8
13,2.068475,7
13,2.103813,6
14,2.129719,1
14,2.165412,9
14,2.201412,8
14,2.236532,7
14,2.271758,6
15,2.296906,1
15,2.333145,9
15,2.367811,8
15,2.403775,7
15,2.439685,6
16,2.465943,1
16,2.50204,9
16,2.53669,8
16,2.571717,7
16,2.607183,6
17,2.639492,1
17,2.670201,9
17,2.70267,8
17,2.747943,7
17,2.774844,6
18,2.798543,1
18,2.834127,9
18,2.879069,8
18,2.907248,7
18,2.941164,6
19,2.968545,1
19,3.003385,9
19,3.039468,8
19,3.074148,7
19,3.109857,6
20,3.138056,1
20,3.197408,9
20,3.206008,8
20,3.276136,7
20,3.277141,6
21,3.301713,1
21,3.336672,9
21,3.455609,8
21,3.45564,7
21,3.473931,6
22,3.513422,1
22,3.53693,9
22,3.581202,8
22,3.615309,7
22,3.643009,6
23,3.668847,1
23,3.704193,9
23,3.743597,8
23,3.775125,7
23,3.811437,6
24,3.838055,1
24,3.871723,9
24,3.907528,8
24,3.943809,7
24,3.978672,6
25,4.004767,1
25,4.040861,9
25,4.075142,8
25,4.110674,7
25,4.145933,6
26,4.172836,1
26,4.207709,9
26,4.242669,8
26,4.278224,7
26,4.313999,6
27,4.339822,1
27,4.374491,9
27,4.40996,8
27,4.446177,7
27,4.481861,6
28,4.506889,1
28,4.546111,9
28,4.578989,8
28,4.612826,7
28,4.648614,6
29,4.674866,1
29,4.714508,9
29,4.745658,8
29,4.781046,7
29,4.821373,6
30,4.842444,1
30,4.878361,9
30,4.913769,8
30,4.949514,7
30,4.984202,6
31,5.01014,1
31,5.054187,9
31,5.08844,8
31,5.119933,7
31,5.155578,6
32,5.186539,1
32,5.213342,9
32,5.248844,8
32,5.284079,7
32,5.319652,6
33,5.352778,1
33,5.386856,9
33,5.417827,8
33,5.469845,7
33,5.495223,6
34,5.512524,1
34,5.549329,9
34,5.583949,8
34,5.625735,7
34,5.654834,6
35,5.683257,1
35,5.718006,9
35,5.753535,8
35,5.789057,7
35,5.824523,6
36,5.850775,1
36,5.885326,9
36,5.920969,8
36,5.956822,7
36,5.991995,6
37,6.017827,1
37,6.053757,9
37,6.088851,8
37,6.149763,7
37,6.160306,6
38,6.185503,1
38,6.22102,9
38,6.256747,8
38,6.292269,7
38,6.327608,6
39,6.35382,1
39,6.3901,9
39,6.427304,8
39,6.461487,7
39,6.496203,6
40,6.52176,1
40,6.556694,9
40,6.66034,8
40,6.660421,7
40,6.679488,6
41,6.74737,1
41,6.747422,9
41,6.774749,8
41,6.809876,7
41,6.845464,6
42,6.867587,1
42,6.903187,9
42,6.940905,8
42,6.974544,7
42,7.010049,6
43,7.038072,1
43,7.073613,9
43,7.113866,8
43,7.147315,7
43,7.180152,6
44,7.20706,1
44,7.244618,9
44,7.278194,8
44,7.313405,7
44,7.349178,6
45,7.370184,1
45,7.405635,9
45,7.442507,8
45,7.477529,7
45,7.514982,6
46,7.5422,1
46,7.577843,9
46,7.614029,8
46,7.649226,7
46,7.684861,6
47,7.710724,1
47,7.748971,9
47,7.781887,8
47,7.816467,7
47,7.85188,6
48,7.891144,1
48,7.913916,9
48,7.94897,8
48,7.984526,7
48,8.019393,6
49,8.045475,1
49,8.080819,9
49,8.1167,8
49,8.152068,7
49,8.188202,6
50,8.213125,1
50,8.248401,9
50,8.284029,8
50,8.325031,7
