packet_seq_no,packet_delay_in_secs,flow_id
1,0.000257,1
1,1.6e-05,5
1,0.443091,4
1,1.331528,3
1,2.21994,2
2,3.101116,1
2,3.987448,5
2,4.877252,4
2,5.779411,3
2,6.651222,2
3,7.531362,1
3,8.418651,5
3,9.306168,4
3,10.20521,3
3,11.083753,2
4,11.965172,1
4,12.850994,5
4,13.739489,4
4,14.629024,3
4,15.517401,2
5,16.394348,1
5,17.28366,5
5,18.170066,4
5,19.063038,3
5,19.998515,2
6,20.838737,1
6,21.713668,5
6,22.617683,4
6,23.501263,3
6,24.380539,2
7,25.279935,1
7,26.146211,5
7,27.033664,4
7,27.92964,3
7,28.810423,2
8,29.716785,1
8,30.583071,5
8,31.460749,4
8,32.350995,3
8,33.240761,2
9,34.121152,1
9,35.034633,5
9,35.9849,4
9,36.799492,3
9,37.673741,2
10,38.622245,1
10,39.50004,5
10,40.395387,4
10,41.331209,3
10,42.168775,2
11,43.145474,1
11,43.965166,5
11,44.838226,4
11,45.85812,3
11,46.595712,2
12,47.473622,1
12,48.362142,5
12,49.280706,4
12,50.138553,3
12,51.026837,2
13,51.906614,1
13,52.794255,5
13,53.689824,4
13,54.613311,3
13,55.479711,2
14,56.363087,1
14,57.237688,5
14,58.122085,4
14,59.002307,3
14,59.891186,2
15,60.769136,1
15,61.658256,5
15,62.546259,4
15,63.440577,3
15,64.322095,2
16,65.217399,1
16,66.094522,5
16,66.977269,4
16,67.898044,3
16,68.753802,2
17,69.640024,1
17,70.518473,5
17,71.424892,4
17,72.299318,3
17,73.197229,2
18,74.063961,1
18,75.011646,5
18,75.844406,4
18,76.727966,3
18,77.616503,2
19,78.496287,1
19,79.392508,5
19,80.281576,4
19,81.160869,3
19,82.048304,2
20,82.92887,1
20,83.821506,5
20,84.709076,4
20,85.594017,3
20,86.49312,2
21,87.415013,1
21,88.258695,5
21,89.134618,4
21,90.032917,3
21,90.989642,2
22,91.796671,1
22,92.68019,5
22,93.567224,4
22,94.455759,3
22,95.345424,2
23,96.223649,1
23,97.110482,5
23,97.998325,4
23,98.898748,3
23,99.775086,2
24,100.65495,1
24,101.542476,5
24,102.432843,4
24,103.319883,3
24,104.214522,2
25,105.116538,1
25,105.974056,5
25,106.870556,4
25,107.751302,3
25,108.639021,2
26,109.517822,1
26,110.405669,5
26,111.293949,4
26,112.185514,3
26,113.071792,2
27,113.949338,1
27,114.877821,5
27,115.730449,4
27,116.613942,3
27,117.541288,2
28,118.381308,1
28,119.376657,5
28,120.156946,4
28,121.050837,3
28,121.941318,2
29,122.817888,1
29,123.700802,5
29,124.612147,4
29,125.479644,3
29,126.367578,2
30,127.256709,1
30,128.142248,5
30,129.028866,4
30,129.909825,3
30,130.797641,2
31,131.676924,1
31,132.568783,5
31,133.45527,4
31,134.342766,3
31,135.228773,2
32,136.113291,1
32,136.996768,5
32,137.884063,4
32,138.772585,3
32,139.661702,2
33,140.540152,1
33,141.426993,5
33,142.316518,4
33,143.214894,3
33,144.092816,2
34,144.970755,1
34,145.859884,5
34,146.754556,4
34,147.647033,3
34,148.546974,2
35,149.474524,1
35,150.350221,5
35,151.237806,4
35,152.151792,3
35,153.01399,2
36,153.892398,1
36,154.780465,5
36,155.669626,4
36,156.569624,3
36,157.476087,2
37,158.333727,1
37,159.235871,5
37,160.102744,4
37,160.995451,3
37,161.880874,2
38,162.755817,1
38,163.653255,5
38,164.548958,4
38,165.421137,3
38,166.321416,2
39,167.20286,1
39,168.075868,5
39,168.965606,4
39,169.852362,3
39,170.740455,2
40,171.625064,1
40,172.507219,5
40,173.413322,4
40,174.297503,3
40,175.263111,2
41,176.122907,1
41,176.989429,5
41,177.880775,4
41,178.765964,3
41,179.654098,2
42,180.529159,1
42,181.417774,5
42,182.319878,4
42,183.217313,3
42,184.141914,2
43,184.984615,1
43,185.852207,5
43,186.74206,4
43,187.640899,3
43,188.522236,2
44,189.412307,1
44,190.284192,5
44,191.255122,4
44,192.109306,3
44,193.093102,2
45,193.82373,1
45,194.716138,5
45,195.599525,4
45,196.490525,3
45,197.377091,2
46,198.259851,1
46,199.148002,5
46,200.070128,4
46,200.924222,3
46,201.812321,2
47,202.691829,1
47,203.579042,5
47,204.471658,4
47,205.366391,3
47,206.245705,2
48,207.131598,1
48,208.024332,5
48,208.931138,4
48,209.787535,3
48,210.680396,2
49,211.559606,1
49,212.443302,5
49,213.331571,4
49,214.225864,3
49,215.10858,2
50,215.989394,1
50,216.880974,5
50,217.766457,4
50,218.650492,3
50,219.544365,2
51,220.422777,1
51,221.304956,5
51,222.193734,4
51,223.099025,3
51,223.969969,2
52,224.849533,1
52,225.771912,5
52,226.625638,4
52,227.525547,3
52,228.419493,2
53,229.280557,1
53,230.171231,5
53,231.060935,4
53,232.010422,3
53,233.030746,2
54,233.72972,1
54,234.6006,5
54,235.489312,4
54,236.380777,3
54,237.280351,2
55,238.145503,1
55,239.032922,5
55,239.927216,4
55,240.809033,3
55,241.747744,2
56,242.578688,1
56,243.473272,5
56,244.352249,4
56,245.257234,3
56,246.13757,2
57,247.008658,1
57,247.89912,5
57,248.783801,4
57,249.673063,3
57,250.560276,2
58,251.458293,1
58,252.410652,5
58,253.315119,4
58,254.114505,3
58,255.026436,2
59,255.884209,1
59,256.759308,5
59,257.647597,4
59,258.536182,3
59,259.441155,2
60,260.321868,1
60,261.190742,5
60,262.082274,4
60,262.979133,3
60,263.861211,2
61,264.73468,1
61,265.624458,5
61,266.514895,4
61,267.402544,3
61,268.286562,2
62,269.214588,1
62,270.064468,5
62,270.942302,4
62,271.831601,3
62,272.728078,2
63,273.604236,1
63,274.485867,5
63,275.383489,4
63,276.262488,3
63,277.150718,2
64,278.055036,1
64,278.927762,5
64,279.80577,4
64,280.693873,3
64,281.58902,2
65,282.463623,1
65,283.349075,5
65,284.236823,4
65,285.125662,3
65,286.013701,2
66,286.892959,1
66,287.780211,5
66,288.669206,4
66,289.557235,3
66,290.449789,2
67,291.324618,1
67,292.212128,5
67,293.100448,4
67,293.989677,3
67,294.881247,2
68,295.762166,1
68,296.644418,5
68,297.532773,4
68,298.421148,3
68,299.309348,2
69,300.199209,1
69,301.075257,5
69,301.969061,4
69,302.873841,3
69,303.740615,2
70,304.618911,1
70,305.50729,5
70,306.407997,4
70,307.283249,3
70,308.184824,2
71,309.066507,1
71,309.938716,5
71,310.827229,4
71,311.715368,3
71,312.603753,2
72,313.48275,1
72,314.371567,5
72,315.259701,4
72,316.166323,3
72,317.047768,2
73,317.963418,1
73,318.81362,5
73,319.690687,4
73,320.579714,3
73,321.467828,2
74,322.346212,1
74,323.234254,5
74,324.122194,4
74,325.01062,3
74,325.898284,2
75,326.777288,1
75,327.66515,5
75,328.571518,4
75,329.441454,3
75,330.329895,2
76,331.208624,1
76,332.096598,5
76,332.985208,4
76,333.873213,3
76,334.762659,2
77,335.642242,1
77,336.529292,5
77,337.417468,4
77,338.305763,3
77,339.193798,2
78,340.073642,1
78,340.960902,5
78,341.848554,4
78,342.737872,3
78,343.62567,2
79,344.504251,1
79,345.39212,5
79,346.280609,4
79,347.168774,3
79,348.057237,2
80,348.935902,1
80,349.823841,5
80,350.712645,4
80,351.617215,3
80,352.488677,2
81,353.386788,1
81,354.257032,5
81,355.144053,4
81,356.032765,3
81,356.920846,2
82,357.799481,1
82,358.687536,5
82,359.575816,4
82,360.464129,3
82,361.352873,2
83,362.231378,1
83,363.119158,5
83,364.007324,4
83,364.896154,3
83,365.784052,2
84,366.669661,1
84,367.563318,5
84,368.439145,4
84,369.364444,3
84,370.216875,2
85,371.094519,1
85,371.982678,5
85,372.878349,4
85,373.759382,3
85,374.655888,2
86,375.526651,1
86,376.472174,5
86,377.362157,4
86,378.249005,3
86,379.136712,2
87,380.017011,1
87,380.897632,5
87,381.785482,4
87,382.673985,3
87,383.56195,2
88,384.447473,1
88,385.335743,5
88,386.224109,4
88,387.112462,3
88,388.014346,2
89,388.878469,1
89,389.766608,5
89,390.654632,4
89,391.543569,3
89,392.431267,2
90,393.311608,1
90,394.198968,5
90,395.086907,4
90,395.987317,3
90,396.864455,2
91,397.743053,1
91,398.63308,5
91,399.51892,4
91,400.411085,3
91,401.295583,2
92,402.175568,1
92,403.062893,5
92,403.950216,4
92,404.838838,3
92,405.727477,2
93,406.60845,1
93,407.49388,5
93,408.382481,4
93,409.271392,3
93,410.158598,2
94,411.037432,1
94,411.935313,5
94,412.814052,4
