packet_seq_no,packet_delay_in_secs,flow_id
1,0.005444,7
1,0.005461,6
2,0.01313,6
3,0.039048,6
4,0.064394,6
5,0.090376,6
6,0.113653,6
7,0.143489,6
8,0.16695,6
9,0.192397,6
10,0.217762,6
11,0.243036,6
12,0.268514,6
13,0.294352,6
14,0.320199,6
15,0.344752,6
16,0.372367,6
17,0.396464,6
18,0.421455,6
19,0.447554,6
20,0.473381,6
21,0.494375,6
22,0.524261,6
23,0.550522,6
24,0.575602,6
25,0.600787,6
26,0.626011,6
27,0.651783,6
28,0.677929,6
29,0.703598,6
30,0.72876,6
31,0.753645,6
32,0.779808,6
33,0.804896,6
34,0.830567,6
35,0.856197,6
36,0.886543,6
37,0.916019,6
38,0.932542,6
39,0.96796,6
40,0.983628,6
41,1.009403,6
42,1.033415,6
43,1.059097,6
44,1.095574,6
45,1.11164,6
46,1.136384,6
47,1.161209,6
48,1.187927,6
49,1.211339,6
50,1.237872,6
51,1.269948,6
52,1.298132,6
53,1.313124,6
54,1.342042,6
55,1.365467,6
56,1.390316,6
57,1.422376,6
58,1.443305,6
59,1.468357,6
60,1.494431,6
61,1.520595,6
62,1.550949,6
63,1.570989,6
64,1.596528,6
65,1.623055,6
66,1.653348,6
67,1.677876,6
68,1.699542,6
69,1.724158,6
70,1.749295,6
71,1.77712,6
72,1.800471,6
73,1.8265,6
74,1.871796,6
75,1.877913,6
76,1.904981,6
77,1.922467,6
78,1.952355,6
79,1.97973,6
80,2.005377,6
81,2.030024,6
82,2.055471,6
83,2.081509,6
84,2.10887,6
85,2.127924,6
86,2.15852,6
87,2.183962,6
88,2.208895,6
89,2.237225,6
90,2.260642,6
91,2.286409,6
92,2.31056,6
93,2.332542,6
94,2.364778,6
95,2.387272,6
96,2.41449,6
97,2.439713,6
98,2.464162,6
99,2.48767,6
100,2.490955,6
2,3.530787,7
3,3.557061,7
4,3.583255,7
5,3.608126,7
6,3.63182,7
7,3.659146,7
8,3.684332,7
9,3.710177,7
10,3.736348,7
11,3.766374,7
12,3.795499,7
13,3.812866,7
14,3.837643,7
15,3.862789,7
16,3.890053,7
17,3.915433,7
18,3.939071,7
19,3.965889,7
20,3.995514,7
21,4.013854,7
22,4.043405,7
23,4.067509,7
24,4.09294,7
25,4.118763,7
26,4.149889,7
27,4.169275,7
28,4.195249,7
29,4.219257,7
30,4.246226,7
31,4.271914,7
32,4.297544,7
33,4.322749,7
34,4.348693,7
35,4.374083,7
36,4.399588,7
37,4.425277,7
38,4.450171,7
39,4.47604,7
40,4.501806,7
41,4.531795,7
42,4.551638,7
43,4.577346,7
44,4.605354,7
45,4.629459,7
46,4.659345,7
47,4.67854,7
48,4.706807,7
49,4.729453,7
50,4.75395,7
51,4.78267,7
52,4.808653,7
53,4.830826,7
54,4.859379,7
55,4.883632,7
56,4.908175,7
57,4.936179,7
58,4.962114,7
59,4.986479,7
60,5.012141,7
61,5.038359,7
62,5.064298,7
63,5.089529,7
64,5.114462,7
65,5.140189,7
66,5.165424,7
67,5.190862,7
68,5.21645,7
69,5.242145,7
70,5.26803,7
71,5.293048,7
72,5.319568,7
73,5.344324,7
74,5.369878,7
75,5.39601,7
76,5.421346,7
77,5.441919,7
78,5.470885,7
79,5.497233,7
80,5.524779,7
81,5.550626,7
82,5.57298,7
83,5.606795,7
84,5.624736,7
85,5.646245,7
86,5.680953,7
87,5.701968,7
88,5.744719,7
89,5.753185,7
90,5.778227,7
