packet_seq_no,packet_delay_in_secs,flow_id
1,0.005563,1
3,2.650124,1
4,4.439517,1
5,6.188876,1
6,7.949562,1
7,9.716572,1
8,11.503334,1
9,13.250174,1
10,15.017404,1
11,16.809963,1
12,18.560087,1
13,20.316926,1
14,22.082361,1
15,23.87239,1
16,25.630476,1
17,27.383391,1
18,29.159163,1
19,30.932491,1
20,32.689859,1
21,34.449578,1
22,36.217193,1
23,37.984182,1
24,39.74521,1
25,41.5157,1
26,43.283102,1
27,45.049082,1
28,46.819104,1
29,48.589139,1
30,50.35019,1
31,52.114093,1
32,53.897938,1
33,55.649841,1
34,57.416722,1
35,59.194492,1
36,60.949886,1
37,62.751749,1
38,64.495112,1
39,66.250417,1
40,68.016256,1
41,69.788003,1
42,71.54757,1
43,73.315836,1
44,75.083369,1
45,76.849335,1
46,78.617432,1
47,80.383195,1
48,82.152389,1
49,83.921767,1
50,85.676075,1
51,87.449606,1
52,89.211184,1
53,90.983775,1
54,92.756436,1
55,94.516842,1
56,96.292199,1
57,98.059394,1
58,99.819393,1
59,101.584679,1
60,103.348517,1
61,105.114813,1
62,106.876968,1
63,108.644599,1
64,110.417331,1
65,112.173689,1
66,113.945229,1
67,115.707425,1
68,117.473132,1
69,119.252535,1
70,121.015938,1
71,122.776817,1
72,124.546699,1
73,126.316009,1
74,128.120316,1
75,129.839165,1
76,131.619676,1
77,133.37869,1
78,135.151326,1
79,136.915452,1
80,138.706902,1
81,140.456044,1
82,142.22798,1
83,143.984564,1
84,145.750561,1
85,147.526577,1
86,149.305773,1
87,151.044387,1
88,152.819031,1
89,154.579574,1
90,156.351825,1
91,158.116352,1
92,159.906368,1
93,161.645004,1
94,163.411553,1
95,165.183326,1
96,166.951322,1
97,168.715809,1
98,170.483233,1
99,172.257422,1
100,174.016947,1
2,176.777949,2
3,178.539171,2
4,180.306858,2
5,182.092892,2
6,183.839291,2
7,185.612819,2
8,187.373396,2
9,189.139912,2
10,190.933867,2
11,192.672427,2
12,194.440214,2
13,196.20645,2
14,197.97734,2
15,199.783365,2
16,201.508979,2
17,203.283375,2
18,205.046056,2
19,206.816068,2
20,208.581914,2
21,210.347076,2
22,212.106462,2
23,213.880459,2
24,215.635901,2
25,217.4055,2
26,219.195408,2
27,220.938979,2
28,222.705681,2
29,224.475776,2
30,226.240585,2
31,228.004643,2
32,229.773318,2
33,231.549392,2
34,233.306193,2
35,235.073392,2
36,236.855509,2
37,238.603232,2
38,240.37315,2
39,242.140161,2
40,243.904639,2
41,245.68513,2
42,247.444118,2
43,249.210886,2
44,250.97593,2
45,252.751822,2
46,254.545556,2
47,256.304618,2
48,258.046554,2
49,259.805315,2
50,261.565687,2
51,263.354581,2
52,265.127551,2
53,266.875888,2
54,268.640255,2
55,270.435575,2
56,272.175152,2
57,273.955481,2
58,275.709942,2
59,277.472983,2
60,279.277954,2
61,281.0052,2
62,282.774961,2
63,284.544615,2
64,286.306626,2
65,288.066415,2
66,289.835109,2
67,291.605725,2
68,293.362842,2
69,295.140134,2
70,296.905328,2
71,298.656752,2
72,300.42998,2
73,302.206839,2
74,303.970988,2
75,305.728516,2
76,307.505186,2
77,309.273844,2
78,311.037864,2
79,312.805095,2
80,314.57192,2
81,316.339729,2
82,318.13433,2
83,319.893516,2
84,321.654784,2
85,323.419593,2
86,325.201225,2
87,326.949668,2
88,328.72958,2
89,330.490081,2
90,332.240266,2
91,334.010496,2
92,335.774607,2
93,337.534976,2
94,339.303686,2
95,341.073886,2
96,342.840728,2
97,344.604985,2
98,346.375328,2
99,348.140296,2
100,349.905949,2
1,352.69627,4
1,354.45827,3
2,356.233825,3
1,358.018557,5
3,359.759926,3
4,361.526496,3
2,363.324178,4
5,365.069551,3
2,366.880552,5
6,368.61369,3
3,370.424395,4
7,372.156908,3
8,373.923804,3
3,375.741864,5
9,377.466938,3
10,379.240661,3
4,381.070011,4
11,382.775832,3
4,384.628019,5
12,386.320344,3
5,388.168121,4
13,389.934082,3
14,391.667617,3
5,393.514882,5
15,395.173743,3
16,396.939913,3
6,398.828655,4
17,400.483049,3
6,402.370016,5
18,404.074025,3
19,405.793565,3
7,407.69135,4
20,409.33485,3
7,411.242489,5
21,412.88684,3
8,414.799568,4
22,416.423378,3
23,418.199747,3
8,420.148037,5
24,421.731696,3
25,423.499,3
9,425.440222,4
26,427.042574,3
9,428.993424,5
27,430.585554,3
10,432.535627,4
28,434.141496,3
29,435.900041,3
10,437.864112,5
30,439.442572,3
31,441.222258,3
11,443.183314,4
32,444.749873,3
11,446.753732,5
33,448.309295,3
12,450.292269,4
34,451.849876,3
35,453.602124,3
12,455.63089,5
36,457.148394,3
37,458.911631,3
13,460.929379,4
38,462.462001,3
13,464.48297,5
39,466.006656,3
14,468.025748,4
40,469.546507,3
41,471.309818,3
14,473.358556,5
42,474.855579,3
43,476.626699,3
15,478.686517,4
44,480.162474,3
15,482.254219,5
45,483.7048,3
46,485.490279,3
16,487.55144,4
47,489.016171,3
16,491.102923,5
48,492.5549,3
17,494.64887,4
49,496.103797,3
50,497.861948,3
17,499.975847,5
51,501.41855,3
52,503.174412,3
18,505.302834,4
53,506.72294,3
18,508.858817,5
54,510.26365,3
19,512.393164,4
55,513.816945,3
56,515.576408,3
19,517.723018,5
57,519.120105,3
58,520.908681,3
20,523.061192,4
59,524.429756,3
20,526.59411,5
60,527.993967,3
21,530.139744,4
61,531.52363,3
62,533.287281,3
21,535.471705,5
63,536.82094,3
64,538.595235,3
22,540.791949,4
65,542.121674,3
22,544.344159,5
66,545.674335,3
23,547.886533,4
67,549.215065,3
68,550.988379,3
23,553.22132,5
69,554.532881,3
70,556.311038,3
24,558.53519,4
71,559.824281,3
24,562.087197,5
72,563.376306,3
73,565.152825,3
25,567.408668,4
74,568.69482,3
25,570.971689,5
75,572.249325,3
26,574.523185,4
76,575.782385,3
77,577.606564,3
26,579.830357,5
78,581.100978,3
79,582.885714,3
27,585.165881,4
80,586.422406,3
27,588.708325,5
81,590.028059,3
28,592.254463,4
82,593.49298,3
83,595.265354,3
28,597.595953,5
84,598.799566,3
85,600.566877,3
29,602.902171,4
86,604.123492,3
29,606.45491,5
87,607.648359,3
30,610.000426,4
88,611.213359,3
89,612.960188,3
30,615.332293,5
90,616.506763,3
91,618.325407,3
31,620.647272,4
92,621.821093,3
31,624.200581,5
93,625.354794,3
32,627.747519,4
94,628.897976,3
95,630.687371,3
32,633.08561,5
96,634.218538,3
97,635.997936,3
33,638.400728,4
98,639.529156,3
33,641.953338,5
99,643.066247,3
100,644.838172,3
34,647.285829,4
34,649.064905,5
35,650.816455,4
35,652.597944,5
36,654.35851,4
36,656.133815,5
37,657.910829,4
37,659.686189,5
38,661.446791,4
38,663.216727,5
39,664.985991,4
39,666.764959,5
40,668.529123,4
40,670.304063,5
41,672.076617,4
41,673.874664,5
42,675.636786,4
42,677.432713,5
43,679.158696,4
43,680.935777,5
44,682.705613,4
44,684.477784,5
45,686.268667,4
45,688.019448,5
46,689.789912,4
46,691.566159,5
47,693.332977,4
47,695.111592,5
48,696.871059,4
48,698.649876,5
49,700.418812,4
49,702.195964,5
50,703.962342,4
50,705.736445,5
51,707.51638,4
51,709.286736,5
52,711.050477,4
52,712.821,5
53,714.590789,4
53,716.372147,5
54,718.145442,4
54,719.912259,5
55,721.741823,4
55,723.455186,5
56,725.230734,4
56,726.998848,5
57,728.767224,4
57,730.557948,5
58,732.314698,4
58,734.135787,5
59,735.853363,4
59,737.618555,5
60,739.395588,4
60,741.215205,5
61,742.939101,4
61,744.715167,5
62,746.47666,4
62,748.263218,5
63,750.023544,4
63,751.840478,5
64,753.570143,4
64,755.352247,5
65,757.103049,4
65,758.879847,5
66,760.653675,4
66,762.428382,5
67,764.193394,4
67,765.967711,5
68,767.739913,4
68,769.509333,5
69,771.361617,4
69,773.07959,5
70,774.847743,4
70,776.606993,5
71,778.35319,4
71,780.144671,5
72,781.906971,4
72,783.683422,5
73,785.510123,4
73,787.235695,5
74,789.000444,4
74,790.77716,5
75,792.535383,4
75,794.312444,5
76,796.095504,4
76,797.869852,5
77,799.628933,4
77,801.406772,5
78,803.202505,4
78,804.954773,5
79,806.726742,4
79,808.495426,5
80,810.263935,4
80,812.037679,5
81,813.808339,4
81,815.584558,5
82,817.358275,4
82,819.144572,5
83,820.894498,4
83,822.668107,5
84,824.436324,4
84,826.220027,5
85,828.009244,4
85,829.764105,5
86,831.523609,4
86,833.298764,5
87,835.082084,4
87,836.846265,5
88,838.608737,4
88,840.386182,5
89,842.152688,4
89,843.932286,5
90,845.699541,4
90,847.473363,5
91,849.254156,4
91,851.023962,5
92,852.790009,4
92,854.56343,5
93,856.322464,4
93,858.109549,5
94,859.883006,4
94,861.641427,5
95,863.413419,4
95,865.188496,5
96,866.956657,4
96,868.732154,5
97,870.500249,4
97,872.275491,5
98,874.048697,4
98,875.818874,5
99,877.585841,4
99,879.358898,5
100,881.130012,4
100,882.919803,5
