duration_in_secs,meter_id,packets,bytes
0.0,10,0,0
0.0,8,0,0
0.0,9,0,0
0.0,5,0,0
0.0,1,0,0
0.0,4,0,0
0.0,6,0,0
0.0,7,0,0
0.0,2,0,0
0.0,3,0,0
1.034822,10,0,0
1.034822,8,0,0
1.034822,9,0,0
1.034822,5,0,0
1.034822,1,0,0
1.034822,4,0,0
1.034822,6,0,0
1.034822,7,2,2132
1.034822,2,8,8528
1.034822,3,0,0
2.053812,10,0,0
2.053812,8,0,0
2.053812,9,0,0
2.053812,5,0,0
2.053812,1,0,0
2.053812,4,0,0
2.053812,6,0,0
2.053812,7,3,3198
2.053812,2,22,23452
2.053812,3,0,0
3.061501,10,0,0
3.061501,8,0,0
3.061501,9,0,0
3.061501,5,0,0
3.061501,1,0,0
3.061501,4,0,0
3.061501,6,0,0
3.061501,7,3,3198
3.061501,2,36,38376
3.061501,3,0,0
4.073015,10,0,0
4.073015,8,0,0
4.073015,9,0,0
4.073015,5,0,0
4.073015,1,0,0
4.073015,4,0,0
4.073015,6,0,0
4.073015,7,4,4264
4.073015,2,50,53300
4.073015,3,0,0
5.08477,10,0,0
5.08477,8,0,0
5.08477,9,0,0
5.08477,5,0,0
5.08477,1,0,0
5.08477,4,0,0
5.08477,6,0,0
5.08477,7,5,5330
5.08477,2,65,69290
5.08477,3,0,0
6.123269,10,0,0
6.123269,8,0,0
6.123269,9,0,0
6.123269,5,0,0
6.123269,1,0,0
6.123269,4,0,0
6.123269,6,0,0
6.123269,7,5,5330
6.123269,2,79,84214
6.123269,3,0,0
7.150685,10,0,0
7.150685,8,0,0
7.150685,9,0,0
7.150685,5,0,0
7.150685,1,0,0
7.150685,4,0,0
7.150685,6,0,0
7.150685,7,6,6396
7.150685,2,94,100204
7.150685,3,0,0
8.186453,10,0,0
8.186453,8,0,0
8.186453,9,0,0
8.186453,5,0,0
8.186453,1,0,0
8.186453,4,0,0
8.186453,6,0,0
8.186453,7,6,6396
8.186453,2,108,115128
8.186453,3,0,0
9.217968,10,0,0
9.217968,8,0,0
9.217968,9,0,0
9.217968,5,0,0
9.217968,1,0,0
9.217968,4,0,0
9.217968,6,0,0
9.217968,7,7,7462
9.217968,2,123,131118
9.217968,3,0,0
10.225735,10,0,0
10.225735,8,0,0
10.225735,9,0,0
10.225735,5,0,0
10.225735,1,0,0
10.225735,4,0,0
10.225735,6,0,0
10.225735,7,7,7462
10.225735,2,137,146042
10.225735,3,0,0
11.233111,10,0,0
11.233111,8,0,0
11.233111,9,0,0
11.233111,5,0,0
11.233111,1,0,0
11.233111,4,0,0
11.233111,6,0,0
11.233111,7,8,8528
11.233111,2,151,160966
11.233111,3,0,0
12.276973,10,0,0
12.276973,8,0,0
12.276973,9,0,0
12.276973,5,0,0
12.276973,1,0,0
12.276973,4,0,0
12.276973,6,0,0
12.276973,7,9,9594
12.276973,2,166,176956
12.276973,3,0,0
13.291487,10,0,0
13.291487,8,0,0
13.291487,9,0,0
13.291487,5,0,0
13.291487,1,0,0
13.291487,4,0,0
13.291487,6,0,0
13.291487,7,9,9594
13.291487,2,180,191880
13.291487,3,0,0
14.298925,10,0,0
14.298925,8,0,0
14.298925,9,0,0
14.298925,5,0,0
14.298925,1,0,0
14.298925,4,0,0
14.298925,6,0,0
14.298925,7,10,10660
14.298925,2,194,206804
14.298925,3,0,0
15.311357,10,0,0
15.311357,8,0,0
15.311357,9,0,0
15.311357,5,0,0
15.311357,1,0,0
15.311357,4,0,0
15.311357,6,0,0
15.311357,7,10,10660
15.311357,2,209,222794
15.311357,3,0,0
16.337505,10,0,0
16.337505,8,0,0
16.337505,9,0,0
16.337505,5,0,0
16.337505,1,0,0
16.337505,4,0,0
16.337505,6,0,0
16.337505,7,11,11726
16.337505,2,223,237718
16.337505,3,0,0
17.353285,10,0,0
17.353285,8,0,0
17.353285,9,0,0
17.353285,5,0,0
17.353285,1,0,0
17.353285,4,0,0
17.353285,6,0,0
17.353285,7,11,11726
17.353285,2,237,252642
17.353285,3,0,0
18.360486,10,0,0
18.360486,8,0,0
18.360486,9,0,0
18.360486,5,0,0
18.360486,1,0,0
18.360486,4,0,0
18.360486,6,0,0
18.360486,7,12,12792
18.360486,2,251,267566
18.360486,3,0,0
19.369582,10,0,0
19.369582,8,0,0
19.369582,9,0,0
19.369582,5,0,0
19.369582,1,0,0
19.369582,4,0,0
19.369582,6,0,0
19.369582,7,13,13858
19.369582,2,266,283556
19.369582,3,0,0
20.393924,10,0,0
20.393924,8,0,0
20.393924,9,0,0
20.393924,5,0,0
20.393924,1,0,0
20.393924,4,0,0
20.393924,6,0,0
20.393924,7,13,13858
20.393924,2,280,298480
20.393924,3,0,0
21.421671,10,0,0
21.421671,8,0,0
21.421671,9,0,0
21.421671,5,0,0
21.421671,1,0,0
21.421671,4,0,0
21.421671,6,0,0
21.421671,7,14,14924
21.421671,2,295,314470
21.421671,3,0,0
22.448394,10,0,0
22.448394,8,0,0
22.448394,9,0,0
22.448394,5,0,0
22.448394,1,0,0
22.448394,4,0,0
22.448394,6,0,0
22.448394,7,14,14924
22.448394,2,309,329394
22.448394,3,0,0
23.482255,10,0,0
23.482255,8,0,0
23.482255,9,0,0
23.482255,5,0,0
23.482255,1,0,0
23.482255,4,0,0
23.482255,6,0,0
23.482255,7,15,15990
23.482255,2,324,345384
23.482255,3,0,0
24.521494,10,0,0
24.521494,8,0,0
24.521494,9,0,0
24.521494,5,0,0
24.521494,1,0,0
24.521494,4,0,0
24.521494,6,0,0
24.521494,7,15,15990
24.521494,2,338,360308
24.521494,3,0,0
25.538397,10,0,0
25.538397,8,0,0
25.538397,9,0,0
25.538397,5,0,0
25.538397,1,0,0
25.538397,4,0,0
25.538397,6,0,0
25.538397,7,16,17056
25.538397,2,353,376298
25.538397,3,0,0
26.554693,10,0,0
26.554693,8,0,0
26.554693,9,0,0
26.554693,5,0,0
26.554693,1,0,0
26.554693,4,0,0
26.554693,6,0,0
26.554693,7,17,18122
26.554693,2,367,391222
26.554693,3,0,0
27.562142,10,0,0
27.562142,8,0,0
27.562142,9,0,0
27.562142,5,0,0
27.562142,1,0,0
27.562142,4,0,0
27.562142,6,0,0
27.562142,7,17,18122
27.562142,2,381,406146
27.562142,3,0,0
28.571424,10,0,0
28.571424,8,0,0
28.571424,9,0,0
28.571424,5,0,0
28.571424,1,0,0
28.571424,4,0,0
28.571424,6,0,0
28.571424,7,18,19188
28.571424,2,395,421070
28.571424,3,0,0
29.588962,10,0,0
29.588962,8,0,0
29.588962,9,0,0
29.588962,5,0,0
29.588962,1,0,0
29.588962,4,0,0
29.588962,6,0,0
29.588962,7,18,19188
29.588962,2,409,435994
29.588962,3,0,0
30.616834,10,0,0
30.616834,8,0,0
30.616834,9,0,0
30.616834,5,0,0
30.616834,1,0,0
30.616834,4,0,0
30.616834,6,0,0
30.616834,7,19,20254
30.616834,2,424,451984
30.616834,3,0,0
31.624286,10,0,0
31.624286,8,0,0
31.624286,9,0,0
31.624286,5,0,0
31.624286,1,0,0
31.624286,4,0,0
31.624286,6,0,0
31.624286,7,19,20254
31.624286,2,438,466908
31.624286,3,0,0
32.631643,10,0,0
32.631643,8,0,0
32.631643,9,0,0
32.631643,5,0,0
32.631643,1,0,0
32.631643,4,0,0
32.631643,6,0,0
32.631643,7,20,21320
32.631643,2,452,481832
32.631643,3,0,0
33.642342,10,0,0
33.642342,8,0,0
33.642342,9,0,0
33.642342,5,0,0
33.642342,1,0,0
33.642342,4,0,0
33.642342,6,0,0
33.642342,7,21,22386
33.642342,2,466,496756
33.642342,3,0,0
34.662394,10,0,0
34.662394,8,0,0
34.662394,9,0,0
34.662394,5,0,0
34.662394,1,0,0
34.662394,4,0,0
34.662394,6,0,0
34.662394,7,21,22386
34.662394,2,481,512746
34.662394,3,0,0
35.68355,10,0,0
35.68355,8,0,0
35.68355,9,0,0
35.68355,5,0,0
35.68355,1,0,0
35.68355,4,0,0
35.68355,6,0,0
35.68355,7,22,23452
35.68355,2,495,527670
35.68355,3,0,0
36.723483,10,0,0
36.723483,8,0,0
36.723483,9,0,0
36.723483,5,0,0
36.723483,1,0,0
36.723483,4,0,0
36.723483,6,0,0
36.723483,7,22,23452
36.723483,2,500,533000
36.723483,3,0,0
37.737626,10,0,0
37.737626,8,0,0
37.737626,9,0,0
37.737626,5,0,0
37.737626,1,0,0
37.737626,4,0,0
37.737626,6,0,0
37.737626,7,23,24518
37.737626,2,500,533000
37.737626,3,0,0
38.746478,10,0,0
38.746478,8,0,0
38.746478,9,0,0
38.746478,5,0,0
38.746478,1,0,0
38.746478,4,0,0
38.746478,6,0,0
38.746478,7,23,24518
38.746478,2,500,533000
38.746478,3,0,0
39.75296,10,0,0
39.75296,8,0,0
39.75296,9,0,0
39.75296,5,0,0
39.75296,1,0,0
39.75296,4,0,0
39.75296,6,0,0
39.75296,7,24,25584
39.75296,2,500,533000
39.75296,3,0,0
40.761612,10,0,0
40.761612,8,0,0
40.761612,9,0,0
40.761612,5,0,0
40.761612,1,0,0
40.761612,4,0,0
40.761612,6,0,0
40.761612,7,25,26650
40.761612,2,500,533000
40.761612,3,0,0
41.771501,10,0,0
41.771501,8,0,0
41.771501,9,0,0
41.771501,5,0,0
41.771501,1,0,0
41.771501,4,0,0
41.771501,6,0,0
41.771501,7,25,26650
41.771501,2,500,533000
41.771501,3,0,0
42.779607,10,0,0
42.779607,8,0,0
42.779607,9,0,0
42.779607,5,0,0
42.779607,1,0,0
42.779607,4,0,0
42.779607,6,0,0
42.779607,7,26,27716
42.779607,2,500,533000
42.779607,3,0,0
43.804468,10,0,0
43.804468,8,0,0
43.804468,9,0,0
43.804468,5,0,0
43.804468,1,0,0
43.804468,4,0,0
43.804468,6,0,0
43.804468,7,26,27716
43.804468,2,500,533000
43.804468,3,0,0
44.829054,10,0,0
44.829054,8,0,0
44.829054,9,0,0
44.829054,5,0,0
44.829054,1,0,0
44.829054,4,0,0
44.829054,6,0,0
44.829054,7,27,28782
44.829054,2,500,533000
44.829054,3,0,0
45.835821,10,0,0
45.835821,8,0,0
45.835821,9,0,0
45.835821,5,0,0
45.835821,1,0,0
45.835821,4,0,0
45.835821,6,0,0
45.835821,7,27,28782
45.835821,2,500,533000
45.835821,3,0,0
46.843162,10,0,0
46.843162,8,0,0
46.843162,9,0,0
46.843162,5,0,0
46.843162,1,0,0
46.843162,4,0,0
46.843162,6,0,0
46.843162,7,28,29848
