duration_in_secs,handle,packets,bytes
0.0,1:,1,70
0.0,122:,0,0
0.0,124:,0,0
0.0,113:,0,0
0.0,111:,0,0
0.0,12:,0,0
0.0,121:,0,0
0.0,123:,0,0
0.0,112:,0,0
0.0,114:,1,70
0.0,11:,1,70
2.013838,1:,1,70
2.013838,122:,0,0
2.013838,124:,0,0
2.013838,113:,0,0
2.013838,111:,0,0
2.013838,12:,0,0
2.013838,121:,0,0
2.013838,123:,0,0
2.013838,112:,0,0
2.013838,114:,1,70
2.013838,11:,1,70
4.027377,1:,1,70
4.027377,122:,0,0
4.027377,124:,0,0
4.027377,113:,0,0
4.027377,111:,0,0
4.027377,12:,0,0
4.027377,121:,0,0
4.027377,123:,0,0
4.027377,112:,0,0
4.027377,114:,1,70
4.027377,11:,1,70
6.033126,1:,1,70
6.033126,122:,0,0
6.033126,124:,0,0
6.033126,113:,0,0
6.033126,111:,0,0
6.033126,12:,0,0
6.033126,121:,0,0
6.033126,123:,0,0
6.033126,112:,0,0
6.033126,114:,1,70
6.033126,11:,1,70
8.04274,1:,2,140
8.04274,122:,0,0
8.04274,124:,0,0
8.04274,113:,0,0
8.04274,111:,0,0
8.04274,12:,0,0
8.04274,121:,0,0
8.04274,123:,0,0
8.04274,112:,0,0
8.04274,114:,2,140
8.04274,11:,2,140
10.04789,1:,2,140
10.04789,122:,0,0
10.04789,124:,0,0
10.04789,113:,0,0
10.04789,111:,0,0
10.04789,12:,0,0
10.04789,121:,0,0
10.04789,123:,0,0
10.04789,112:,0,0
10.04789,114:,2,140
10.04789,11:,2,140
12.057131,1:,2,140
12.057131,122:,0,0
12.057131,124:,0,0
12.057131,113:,0,0
12.057131,111:,0,0
12.057131,12:,0,0
12.057131,121:,0,0
12.057131,123:,0,0
12.057131,112:,0,0
12.057131,114:,2,140
12.057131,11:,2,140
14.161298,1:,2,140
14.161298,122:,0,0
14.161298,124:,0,0
14.161298,113:,0,0
14.161298,111:,0,0
14.161298,12:,0,0
14.161298,121:,0,0
14.161298,123:,0,0
14.161298,112:,0,0
14.161298,114:,2,140
14.161298,11:,2,140
16.167483,1:,7,5470
16.167483,122:,1,1066
16.167483,124:,0,0
16.167483,113:,0,0
16.167483,111:,1,1066
16.167483,12:,3,3198
16.167483,121:,2,2132
16.167483,123:,0,0
16.167483,112:,1,1066
16.167483,114:,2,140
16.167483,11:,4,2272
18.180302,1:,10,8668
18.180302,122:,1,1066
18.180302,124:,0,0
18.180302,113:,0,0
18.180302,111:,1,1066
18.180302,12:,6,6396
18.180302,121:,5,5330
18.180302,123:,0,0
18.180302,112:,1,1066
18.180302,114:,2,140
18.180302,11:,4,2272
20.202862,1:,14,12932
20.202862,122:,1,1066
20.202862,124:,0,0
20.202862,113:,0,0
20.202862,111:,1,1066
20.202862,12:,10,10660
20.202862,121:,9,9594
20.202862,123:,0,0
20.202862,112:,1,1066
20.202862,114:,2,140
20.202862,11:,4,2272
22.222604,1:,17,16130
22.222604,122:,1,1066
22.222604,124:,0,0
22.222604,113:,0,0
22.222604,111:,1,1066
22.222604,12:,13,13858
22.222604,121:,12,12792
22.222604,123:,0,0
22.222604,112:,1,1066
22.222604,114:,2,140
22.222604,11:,4,2272
24.239401,1:,22,21460
24.239401,122:,1,1066
24.239401,124:,0,0
24.239401,113:,0,0
24.239401,111:,2,2132
24.239401,12:,17,18122
24.239401,121:,16,17056
24.239401,123:,0,0
24.239401,112:,1,1066
24.239401,114:,2,140
24.239401,11:,5,3338
26.259217,1:,25,24658
26.259217,122:,1,1066
26.259217,124:,0,0
26.259217,113:,0,0
26.259217,111:,2,2132
26.259217,12:,20,21320
26.259217,121:,19,20254
26.259217,123:,0,0
26.259217,112:,1,1066
26.259217,114:,2,140
26.259217,11:,5,3338
28.275637,1:,29,28922
28.275637,122:,1,1066
28.275637,124:,0,0
28.275637,113:,0,0
28.275637,111:,2,2132
28.275637,12:,24,25584
28.275637,121:,23,24518
28.275637,123:,0,0
28.275637,112:,1,1066
28.275637,114:,2,140
28.275637,11:,5,3338
30.283099,1:,32,32120
30.283099,122:,1,1066
30.283099,124:,0,0
30.283099,113:,0,0
30.283099,111:,2,2132
30.283099,12:,27,28782
30.283099,121:,26,27716
30.283099,123:,0,0
30.283099,112:,1,1066
30.283099,114:,2,140
30.283099,11:,5,3338
32.288833,1:,36,36384
32.288833,122:,1,1066
32.288833,124:,0,0
32.288833,113:,0,0
32.288833,111:,2,2132
32.288833,12:,31,33046
32.288833,121:,30,31980
32.288833,123:,0,0
32.288833,112:,1,1066
32.288833,114:,2,140
32.288833,11:,5,3338
34.305863,1:,40,40648
34.305863,122:,1,1066
34.305863,124:,0,0
34.305863,113:,0,0
34.305863,111:,2,2132
34.305863,12:,35,37310
34.305863,121:,34,36244
34.305863,123:,0,0
34.305863,112:,1,1066
34.305863,114:,2,140
34.305863,11:,5,3338
36.311473,1:,43,43846
36.311473,122:,1,1066
36.311473,124:,0,0
36.311473,113:,0,0
36.311473,111:,2,2132
36.311473,12:,38,40508
36.311473,121:,37,39442
36.311473,123:,0,0
36.311473,112:,1,1066
36.311473,114:,2,140
36.311473,11:,5,3338
38.31656,1:,48,49176
38.31656,122:,1,1066
38.31656,124:,0,0
38.31656,113:,0,0
38.31656,111:,3,3198
38.31656,12:,42,44772
38.31656,121:,41,43706
38.31656,123:,0,0
38.31656,112:,1,1066
38.31656,114:,2,140
38.31656,11:,6,4404
40.324017,1:,51,52374
40.324017,122:,1,1066
40.324017,124:,0,0
40.324017,113:,0,0
40.324017,111:,3,3198
40.324017,12:,45,47970
40.324017,121:,44,46904
40.324017,123:,0,0
40.324017,112:,1,1066
40.324017,114:,2,140
40.324017,11:,6,4404
42.348615,1:,55,56638
42.348615,122:,1,1066
42.348615,124:,0,0
42.348615,113:,0,0
42.348615,111:,3,3198
42.348615,12:,49,52234
42.348615,121:,48,51168
