packet_seq_no,packet_delay_in_secs,flow_id
1,0.005711,6
1,0.00573,7
2,0.280049,6
3,0.837957,6
4,1.417496,6
5,1.955463,6
6,2.512754,6
7,3.073477,6
8,3.632095,6
9,4.202701,6
10,4.748038,6
11,5.309147,6
12,5.870948,6
13,6.421859,6
14,6.981207,6
15,7.574077,6
16,8.11782,6
17,8.658368,6
18,9.242244,6
19,9.773833,6
20,10.333129,6
21,10.889547,6
22,11.450838,6
23,12.008358,6
24,12.634552,6
25,13.130242,6
26,13.703856,6
27,14.242617,6
28,14.801197,6
29,15.360187,6
30,15.918974,6
31,16.483124,6
32,17.04368,6
33,17.603868,6
34,18.166747,6
35,18.711026,6
36,19.276262,6
37,19.827967,6
38,20.386769,6
39,20.944368,6
40,21.505031,6
41,22.061353,6
42,22.635625,6
43,23.180403,6
44,23.737859,6
45,24.296656,6
46,24.86082,6
47,25.432133,6
48,25.975492,6
49,26.558898,6
50,27.08949,6
51,27.66689,6
52,28.20854,6
53,28.764813,6
54,29.323404,6
55,29.881313,6
56,30.440428,6
57,30.999164,6
58,31.557463,6
59,32.117225,6
60,32.674384,6
61,33.232766,6
62,33.859154,6
63,34.349328,6
64,34.937676,6
65,35.471609,6
66,36.025503,6
67,36.59398,6
68,37.143157,6
69,37.762327,6
70,38.261868,6
71,38.820496,6
72,39.378796,6
73,39.939631,6
74,40.506476,6
75,41.120838,6
76,41.619315,6
77,42.182112,6
78,42.730745,6
79,43.287461,6
80,43.856524,6
81,44.407868,6
82,44.964156,6
83,45.5203,6
84,46.082018,6
85,46.641647,6
86,47.19643,6
87,47.778688,6
88,48.315179,6
89,48.881835,6
90,49.429452,6
91,49.989316,6
92,50.546966,6
93,51.105988,6
94,51.675439,6
95,52.223217,6
96,52.784574,6
97,53.34607,6
98,53.899607,6
99,54.464071,6
100,55.018145,6
2,56.565894,7
3,57.127124,7
4,57.712744,7
5,58.245664,7
6,58.805494,7
7,59.357098,7
8,59.916448,7
9,60.510424,7
10,61.032015,7
11,61.600793,7
12,62.15189,7
13,62.707596,7
14,63.279146,7
15,63.82789,7
16,64.383935,7
17,64.9424,7
18,65.50142,7
19,66.06966,7
20,66.618142,7
21,67.17585,7
22,67.735267,7
23,68.293191,7
24,68.852368,7
25,69.410328,7
26,69.983846,7
27,70.542826,7
28,71.088469,7
29,71.644859,7
30,72.206385,7
31,72.793846,7
32,73.319753,7
33,73.877923,7
34,74.437619,7
35,74.99818,7
36,75.554663,7
37,76.112352,7
38,76.741584,7
39,77.238582,7
40,77.78841,7
41,78.347016,7
42,78.91007,7
43,79.466715,7
44,80.032359,7
45,80.58108,7
46,81.137357,7
47,81.702285,7
48,82.256839,7
49,82.857371,7
50,83.375767,7
51,83.94075,7
52,84.491862,7
53,85.05038,7
54,85.609523,7
55,86.17521,7
56,86.726341,7
57,87.284085,7
58,87.842601,7
59,88.400308,7
60,88.96008,7
61,89.519307,7
62,90.102548,7
63,90.667547,7
64,91.194978,7
65,91.751758,7
66,92.315633,7
67,92.868635,7
68,93.441162,7
69,93.988569,7
70,94.545121,7
71,95.109274,7
72,95.661394,7
73,96.232496,7
74,96.778434,7
75,97.337233,7
76,97.895151,7
77,98.454602,7
78,99.015975,7
79,99.571853,7
80,100.132274,7
81,100.708037,7
82,101.252167,7
83,101.80709,7
84,102.366994,7
85,102.950872,7
86,103.499217,7
87,104.039496,7
88,104.615674,7
89,105.185887,7
90,105.719953,7
91,106.272428,7
92,106.83921,7
93,107.391068,7
94,107.950652,7
95,108.536708,7
96,109.066353,7
97,109.625463,7
98,110.184107,7
99,110.746521,7
100,111.319062,7
1,112.888649,1
1,113.42885,8
2,113.987218,8
1,114.564918,9
3,115.11344,8
4,115.682015,8
2,116.269204,1
5,116.799494,8
2,117.398786,9
6,117.925423,8
3,118.542819,1
7,119.086255,8
8,119.611631,8
3,120.239245,9
9,120.741735,8
10,121.296763,8
4,121.92548,1
11,122.429149,8
4,123.063329,9
12,123.553444,8
5,124.195528,1
13,124.703535,8
14,125.236482,8
5,125.895273,9
15,126.366861,8
16,126.937238,8
6,127.606953,1
17,128.050758,8
6,128.781555,9
18,129.180719,8
19,129.777105,8
7,130.433157,1
20,130.881016,8
7,131.568873,9
21,131.987609,8
8,132.688399,1
22,133.12077,8
23,133.674939,8
8,134.393941,9
24,134.802112,8
25,135.361532,8
9,136.09177,1
26,136.497508,8
9,137.226855,9
27,137.617951,8
10,138.353191,1
28,138.75224,8
29,139.300313,8
10,140.058091,9
30,140.434298,8
31,140.991189,8
11,141.762352,1
32,142.114193,8
11,142.896075,9
33,143.239718,8
12,144.025685,1
34,144.420869,8
35,144.925343,8
12,145.730705,9
36,146.056888,8
37,146.610239,8
13,147.419066,1
38,147.7409,8
13,148.55611,9
39,148.865931,8
14,149.683636,1
40,149.991546,8
41,150.555658,8
14,151.400386,9
42,151.689672,8
43,152.25438,8
15,153.088434,1
44,153.382069,8
15,154.222564,9
45,154.489906,8
46,155.045709,8
16,155.917881,1
47,156.177185,8
16,157.055652,9
48,157.311011,8
17,158.189966,1
49,158.433773,8
50,158.989037,8
17,159.927403,9
51,160.117851,8
52,160.674875,8
18,161.583254,1
53,161.804512,8
18,162.720475,9
54,162.939257,8
19,163.847182,1
55,164.055486,8
56,164.614718,8
19,165.552961,9
57,165.741967,8
58,166.314428,8
20,167.248093,1
59,167.426878,8
20,168.384864,9
60,168.553441,8
21,169.52545,1
61,169.690463,8
62,170.24137,8
21,171.236756,9
63,171.366005,8
64,171.941201,8
22,172.91658,1
65,173.059696,8
22,174.052042,9
66,174.178993,8
23,175.186967,1
67,175.330151,8
68,175.871687,8
23,176.890518,9
69,176.991063,8
70,177.551004,8
24,178.5793,1
71,178.693099,8
24,179.72924,9
72,179.806388,8
73,180.363158,8
25,181.411365,1
74,181.489691,8
25,182.548436,9
75,182.617892,8
26,183.677465,1
76,183.74408,8
77,184.302958,8
26,185.381472,9
78,185.431314,8
79,185.99866,8
27,187.076559,1
80,187.140379,8
27,188.21371,9
81,188.243416,8
28,189.34223,1
82,189.376868,8
83,189.928041,8
28,191.050805,9
84,191.067254,8
85,191.628773,8
29,192.747774,1
86,192.745107,8
29,193.880488,9
87,193.869077,8
30,195.065837,1
88,194.994112,8
89,195.551446,8
30,196.7205,9
90,196.681851,8
