packet_seq_no,packet_delay_in_secs,flow_id
1,0.005385,1
2,3.548293,1
3,10.639395,1
4,17.734471,1
5,24.832723,1
6,31.93825,1
7,39.028028,1
8,46.122554,1
9,53.234349,1
10,60.315688,1
11,67.412826,1
12,74.506185,1
13,81.620168,1
14,88.702904,1
15,95.799826,1
16,102.902563,1
17,109.994217,1
18,117.089257,1
19,124.187544,1
20,131.285597,1
21,138.379639,1
22,145.475383,1
23,152.566161,1
24,159.671006,1
25,166.765987,1
26,173.863171,1
27,180.960941,1
28,188.056908,1
29,195.152909,1
30,202.250086,1
31,209.346161,1
32,216.443045,1
33,223.539555,1
34,230.661496,1
35,237.734415,1
36,244.838903,1
37,251.927629,1
38,259.02499,1
39,266.121482,1
40,273.217066,1
41,280.313717,1
42,287.410165,1
43,294.507019,1
1,1417.780982,3
2,1424.881247,3
3,1439.079018,3
4,1446.184491,3
5,1460.380751,3
6,1474.583032,3
7,1488.807682,3
8,1495.887234,3
9,1510.084731,3
10,1517.181935,3
11,1531.446888,3
12,1545.588268,3
13,1559.801703,3
14,1566.891521,3
15,1581.09387,3
16,1588.19394,3
17,1602.395381,3
18,1616.626892,3
19,1623.692686,3
20,1637.896766,3
21,1652.107479,3
22,1666.318738,3
23,1673.397159,3
24,1687.604687,3
25,1694.698977,3
26,1708.902575,3
27,1723.106129,3
28,1737.309953,3
29,1744.404524,3
30,1758.613169,3
31,1765.742219,3
32,1779.909743,3
33,1794.113835,3
34,1808.334642,3
35,1815.413824,3
36,1829.620079,3
37,1836.704873,3
38,1850.915922,3
39,1865.130629,3
40,1879.322875,3
41,1886.419626,3
42,1900.632249,3
43,1907.718478,3
44,1921.922311,3
45,1936.148533,3
46,1943.230258,3
47,1957.435361,3
48,1971.629782,3
49,1985.847981,3
50,1992.930147,3
51,2007.132094,3
52,2014.234607,3
53,2028.433118,3
54,2042.633899,3
55,2056.84673,3
56,2063.955426,3
57,2078.16264,3
58,2085.260049,3
59,2099.451571,3
60,2113.666324,3
61,2127.846462,3
62,2134.942538,3
63,2149.144428,3
64,2156.243194,3
65,2170.456661,3
66,2184.644503,3
67,2198.875706,3
68,2205.990851,3
69,2220.147342,3
70,2227.264874,3
71,2241.470783,3
72,2255.718485,3
73,2262.758746,3
74,2276.956809,3
75,2291.240478,3
76,2305.362867,3
77,2312.458855,3
78,2326.663564,3
79,2333.775356,3
80,2347.96281,3
81,2362.167699,3
82,2376.373242,3
83,2383.467619,3
84,2397.669706,3
85,2404.766108,3
86,2418.966938,3
87,2433.170213,3
88,2447.37628,3
89,2454.472192,3
90,2468.696479,3
91,2475.782619,3
92,2489.972786,3
93,2504.174999,3
94,2518.394109,3
95,2525.483902,3
96,2539.677751,3
97,2546.776567,3
98,2560.980888,3
99,2575.186949,3
100,2582.282724,3
