packet_seq_no,packet_delay_in_secs,flow_id
1,0.005451,1
2,1.768775,1
3,5.319137,1
4,8.855274,1
5,12.399268,1
6,15.942168,1
7,19.485339,1
8,23.028546,1
9,26.5768,1
10,30.121523,1
11,33.658873,1
12,37.199439,1
13,40.753394,1
14,44.28672,1
15,47.834884,1
16,51.375548,1
17,54.91898,1
18,58.470942,1
19,62.004995,1
20,65.548807,1
21,69.092607,1
22,72.635703,1
23,76.1781,1
24,79.719674,1
25,83.265649,1
26,86.809051,1
27,90.347688,1
28,93.894851,1
29,97.456746,1
30,100.981315,1
31,104.525421,1
32,108.071056,1
33,111.631322,1
34,115.145263,1
35,118.69842,1
36,122.244118,1
37,125.786365,1
38,129.328836,1
39,132.871393,1
40,136.412653,1
41,139.956846,1
42,143.501511,1
43,147.045676,1
44,150.586881,1
45,154.134886,1
46,157.666553,1
47,161.211168,1
48,164.764619,1
49,168.297065,1
50,171.853239,1
51,175.392793,1
52,178.935084,1
53,182.480024,1
54,186.022047,1
55,189.565434,1
56,193.106199,1
57,196.651951,1
58,200.194548,1
59,203.738879,1
60,207.302413,1
61,210.824769,1
62,214.368645,1
63,217.911929,1
64,221.455864,1
65,224.999287,1
66,228.542202,1
67,232.084777,1
68,235.629139,1
69,239.172761,1
70,242.715304,1
71,246.257876,1
72,249.802295,1
73,253.344908,1
74,256.888157,1
75,260.431374,1
76,263.975309,1
77,267.518856,1
78,271.080203,1
79,274.604535,1
80,278.149607,1
81,281.692593,1
82,285.234901,1
83,288.779553,1
84,292.32901,1
85,295.865909,1
86,299.408507,1
87,302.951981,1
88,306.495747,1
89,310.045245,1
90,313.58208,1
91,317.125346,1
92,320.669216,1
93,324.221157,1
94,327.763957,1
95,331.299204,1
96,334.842764,1
97,338.385523,1
98,341.93153,1
99,345.471662,1
100,349.017024,1
2,353.549675,2
3,357.092724,2
4,360.635912,2
5,364.198021,2
6,367.722182,2
7,371.264854,2
8,374.812503,2
9,378.362348,2
10,381.895815,2
11,385.439647,2
12,388.979892,2
13,392.522154,2
14,396.070089,2
15,399.611404,2
16,403.155998,2
17,406.698964,2
18,410.259084,2
19,413.803316,2
20,417.329666,2
21,420.871818,2
22,424.415241,2
23,427.639234,2
24,431.181188,2
25,434.726659,2
26,438.269861,2
27,441.816805,2
28,445.36949,2
29,448.900725,2
30,452.445907,2
31,455.986426,2
32,459.531095,2
33,463.07715,2
34,466.606787,2
35,470.160789,2
36,473.711575,2
37,477.246988,2
38,480.790026,2
39,484.344538,2
40,487.871578,2
41,491.417458,2
42,494.963701,2
43,498.520251,2
44,502.051927,2
45,505.593543,2
46,509.131247,2
47,512.671596,2
48,516.227409,2
49,519.759796,2
50,523.302241,2
51,526.853993,2
52,530.39598,2
53,533.940456,2
54,537.504331,2
55,541.02681,2
56,544.574635,2
57,548.113551,2
58,551.66259,2
59,555.217748,2
60,558.750434,2
61,562.286757,2
62,565.837629,2
63,569.373235,2
64,572.917033,2
65,576.461635,2
66,580.003545,2
67,583.545472,2
68,587.090764,2
69,590.633445,2
70,594.179854,2
71,597.719816,2
72,601.263757,2
73,604.817747,2
74,608.367933,2
75,611.892887,2
76,615.448448,2
77,618.984684,2
78,622.523229,2
79,626.065787,2
80,629.610036,2
81,633.154028,2
82,636.711469,2
83,640.240178,2
84,643.783721,2
85,647.326924,2
86,650.86927,2
87,654.417508,2
88,657.957148,2
89,661.501074,2
90,665.044223,2
91,668.587379,2
92,672.131349,2
93,675.673767,2
94,679.217005,2
95,682.761152,2
96,686.304166,2
97,689.846675,2
98,693.402644,2
99,696.944471,2
100,700.480008,2
1,705.020989,3
2,708.564853,3
3,712.107496,3
4,715.650369,3
5,719.214935,3
6,722.758411,3
7,726.279809,3
8,729.823332,3
9,733.385512,3
10,736.909545,3
11,740.453538,3
12,743.999431,3
13,747.544019,3
14,751.081621,3
15,754.63645,3
16,758.170102,3
17,761.714285,3
18,765.257298,3
19,768.79956,3
20,772.343192,3
21,775.888032,3
22,779.430332,3
23,783.026601,3
24,786.514615,3
25,790.060183,3
26,793.60768,3
27,797.141806,3
28,800.689941,3
29,804.2332,3
30,807.775825,3
31,811.320477,3
32,814.863511,3
33,818.406103,3
34,821.951848,3
35,825.493379,3
36,829.030732,3
37,832.580098,3
38,836.128581,3
39,839.666147,3
40,842.880271,3
41,846.439446,3
42,849.969187,3
43,853.521554,3
44,857.054231,3
45,860.63375,3
46,864.133687,3
47,867.682536,3
48,871.229888,3
49,874.764606,3
50,878.308187,3
51,881.859918,3
52,885.402438,3
53,888.94697,3
54,892.51073,3
55,896.033425,3
56,899.573278,3
57,903.120044,3
58,906.661835,3
59,910.206649,3
60,913.758135,3
61,917.29204,3
62,920.836242,3
63,924.379742,3
64,927.924017,3
65,931.465929,3
66,935.00931,3
67,938.552354,3
68,942.096354,3
69,945.640715,3
70,949.183309,3
71,952.725386,3
72,956.270079,3
73,959.812949,3
74,963.355986,3
75,966.900155,3
76,970.443237,3
77,973.986105,3
78,977.53236,3
79,981.070856,3
80,984.616933,3
81,988.159785,3
82,991.702901,3
83,995.254812,3
84,998.792554,3
85,1002.333635,3
86,1005.875947,3
87,1009.419544,3
88,1012.963806,3
89,1016.534064,3
90,1020.050287,3
91,1023.593829,3
92,1027.136703,3
93,1030.680306,3
94,1034.22318,3
95,1037.767389,3
96,1041.310074,3
97,1044.8536,3
98,1048.396886,3
99,1051.948091,3
100,1055.486549,3
1,1060.028895,5
1,1063.580229,4
2,1067.123941,5
2,1070.676478,4
3,1074.219966,5
3,1077.77945,4
4,1081.316116,5
4,1084.869883,4
5,1088.414962,5
5,1091.967194,4
6,1095.509798,5
6,1099.063466,4
