packet_seq_no,packet_delay_in_secs,flow_id
1,0.000323,1
1,0.000332,9
1,0.018682,8
1,0.054399,7
1,0.091671,6
2,0.114547,1
2,0.150311,9
2,0.185509,8
2,0.221494,7
2,0.256607,6
3,0.282396,1
3,0.31803,9
3,0.354139,8
3,0.389308,7
3,0.424843,6
4,0.449989,1
4,0.485568,9
4,0.521121,8
4,0.557719,7
4,0.591919,6
5,0.617421,1
5,0.653045,9
5,0.688702,8
5,0.724231,7
5,0.75989,6
6,0.78496,1
6,0.820981,9
6,0.856163,8
6,0.891794,7
6,0.927179,6
7,0.952727,1
7,0.987793,9
7,1.023245,8
7,1.059034,7
7,1.094392,6
8,1.120231,1
8,1.155799,9
8,1.191206,8
8,1.227058,7
8,1.262735,6
9,1.290354,1
9,1.325799,9
9,1.361608,8
9,1.396861,7
9,1.432457,6
10,1.456723,1
10,1.492385,9
10,1.528138,8
10,1.563739,7
10,1.598846,6
11,1.626063,1
11,1.661491,9
11,1.697126,8
11,1.732505,7
11,1.768045,6
12,1.793594,1
12,1.829308,9
12,1.864948,8
12,1.900218,7
12,1.935856,6
13,1.958377,1
13,1.994109,9
13,2.029685,8
13,2.065358,7
13,2.100711,6
14,2.128901,1
14,2.164399,9
14,2.199644,8
14,2.235252,7
14,2.270688,6
15,2.296931,1
15,2.333357,9
15,2.369268,8
15,2.403397,7
15,2.442152,6
16,2.466866,1
16,2.501947,9
16,2.544055,8
16,2.574291,7
16,2.61264,6
17,2.633743,1
17,2.669468,9
17,2.707156,8
17,2.740572,7
17,2.776501,6
18,2.801373,1
18,2.839141,9
18,2.87564,8
18,2.908057,7
18,2.96262,6
19,2.972155,1
19,3.004941,9
19,3.040626,8
19,3.080415,7
19,3.111714,6
20,3.136965,1
20,3.174853,9
20,3.211292,8
20,3.254763,7
20,3.2793,6
21,3.305009,1
21,3.347528,9
21,3.378062,8
21,3.423612,7
21,3.44713,6
22,3.472278,1
22,3.507818,9
22,3.54377,8
22,3.578721,7
22,3.614659,6
23,3.640579,1
23,3.675122,9
23,3.710962,8
23,3.747299,7
23,3.782309,6
24,3.807706,1
24,3.843629,9
24,3.878773,8
24,3.91445,7
24,3.950122,6
25,3.975616,1
25,4.012249,9
25,4.046395,8
25,4.081811,7
25,4.11785,6
26,4.147642,1
26,4.179604,9
26,4.215027,8
26,4.249787,7
26,4.285474,6
27,4.313053,1
27,4.355432,9
27,4.381655,8
27,4.417293,7
27,4.452914,6
28,4.478537,1
28,4.535807,9
28,4.554131,8
28,4.585907,7
28,4.620965,6
29,4.649583,1
29,4.697365,9
29,4.731755,8
