packet_seq_no,packet_delay_in_secs,flow_id
1,0.00039,2
1,0.000366,1
1,0.466261,5
1,1.354984,4
1,2.243055,3
2,3.122917,2
2,4.010316,1
2,4.898777,5
2,5.787474,4
2,6.680264,3
3,7.55305,2
3,8.442156,1
3,9.350388,5
3,10.221031,4
3,11.106362,3
4,11.985007,2
4,12.874119,1
4,13.761785,5
4,14.650122,4
4,15.537803,3
5,16.42139,2
5,17.305186,1
5,18.252669,5
5,19.095123,4
5,19.975266,3
6,20.848239,2
6,21.736545,1
6,22.630276,5
6,23.521033,4
6,24.403649,3
7,25.285653,2
7,26.167351,1
7,27.0573,5
7,27.944262,4
7,28.842119,3
8,29.711236,2
8,30.599387,1
8,31.487874,5
8,32.376468,4
8,33.264789,3
9,34.260475,2
9,35.148176,1
9,36.036416,5
9,36.925248,4
9,37.813215,3
10,38.721149,2
10,39.622125,1
10,40.469833,5
10,41.354868,4
10,42.249642,3
11,43.149425,2
11,44.011694,1
11,44.900167,5
11,45.794572,4
11,46.68593,3
12,47.555707,2
12,48.443948,1
12,49.332495,5
12,50.23925,4
12,51.108138,3
13,51.984093,2
13,52.926621,1
13,53.77118,5
13,54.648628,4
13,55.537547,3
14,56.418825,2
14,57.306771,1
14,58.198464,5
14,59.093618,4
14,59.971757,3
15,60.853628,2
15,61.742317,1
15,62.626797,5
15,63.519727,4
15,64.410337,3
16,65.286143,2
16,66.182012,1
16,67.070493,5
16,67.950084,4
16,68.83485,3
17,69.713245,2
17,70.601545,1
17,71.48989,5
17,72.381319,4
17,73.270037,3
18,74.16164,2
18,75.033441,1
18,75.921098,5
18,76.814073,4
18,77.698229,3
19,78.576327,2
19,79.464931,1
19,80.353835,5
19,81.242096,4
19,82.150721,3
20,83.026086,2
20,83.910245,1
20,84.807143,5
20,85.67531,4
20,86.647413,3
21,87.446701,2
21,88.328828,1
21,89.217333,5
21,90.105125,4
21,91.009152,3
22,91.909773,2
22,92.765431,1
22,93.65436,5
22,94.575206,4
22,95.471338,3
23,96.325145,2
23,97.192392,1
23,98.079512,5
23,98.970539,4
23,99.856331,3
24,100.735522,2
24,101.624623,1
24,102.513172,5
24,103.452299,4
24,104.290593,3
25,105.168524,2
25,106.054935,1
25,106.945462,5
25,107.83183,4
25,108.720302,3
26,109.603392,2
26,110.49724,1
26,111.37588,5
26,112.263235,4
26,113.155953,3
27,114.029845,2
27,114.921476,1
27,115.807801,5
27,116.735827,4
27,117.591704,3
28,118.47414,2
28,119.349694,1
28,120.238709,5
28,121.127288,4
28,122.016219,3
29,122.888455,2
29,123.780073,1
29,124.664569,5
29,125.567028,4
29,126.441215,3
30,127.3287,2
30,128.227511,1
30,129.114545,5
30,129.989786,4
30,130.878723,3
31,131.759203,2
31,132.648928,1
31,133.533798,5
31,134.421852,4
31,135.310208,3
32,136.20009,2
32,137.077051,1
32,137.964711,5
32,138.862276,4
32,139.741718,3
33,140.638171,2
33,141.50877,1
33,142.396401,5
33,143.285151,4
33,144.173626,3
34,145.060933,2
34,145.943991,1
34,146.828124,5
34,147.719411,4
34,148.605061,3
35,149.498182,2
35,150.382005,1
35,151.271646,5
35,152.148295,4
35,153.056766,3
36,154.05548,2
36,154.807475,1
36,155.69152,5
36,156.594105,4
36,157.477497,3
37,158.364994,2
37,159.246668,1
37,160.124126,5
37,161.012835,4
37,161.902467,3
38,162.800654,2
38,163.662912,1
38,164.559331,5
38,165.44768,4
38,166.359063,3
39,167.211101,2
39,168.101021,1
39,169.060862,5
39,169.897346,4
39,170.774587,3
40,171.64219,2
40,172.530309,1
40,173.436063,5
40,174.335825,4
40,175.19517,3
41,176.073106,2
41,176.96913,1
41,177.85035,5
41,178.738492,4
41,179.62808,3
42,180.504804,2
42,181.395509,1
42,182.281616,5
42,183.187736,4
42,184.059114,3
43,184.943238,2
43,185.824982,1
43,186.712912,5
43,187.602977,4
43,188.48975,3
44,189.391994,2
44,190.256286,1
44,191.170904,5
44,192.036481,4
44,192.937329,3
45,193.896061,2
45,194.688166,1
45,195.578258,5
45,196.465579,4
45,197.359778,3
46,198.240381,2
46,199.121179,1
46,200.011314,5
46,200.899287,4
46,201.790895,3
47,202.665099,2
47,203.554108,1
47,204.461078,5
47,205.33766,4
47,206.216937,3
48,207.119997,2
48,207.984679,1
48,208.873027,5
48,209.800213,4
48,210.648602,3
49,211.530953,2
49,212.434261,1
49,213.303443,5
49,214.192293,4
49,215.090444,3
50,215.993602,2
50,216.850699,1
50,217.73541,5
50,218.760895,4
50,219.511946,3
51,220.397854,2
51,221.347966,1
51,222.193471,5
51,223.066134,4
51,223.948429,3
52,224.826464,2
52,225.711172,1
52,226.598735,5
52,227.496422,4
52,228.383299,3
53,229.270835,2
53,230.149968,1
53,231.035089,5
53,231.920945,4
53,232.813134,3
54,233.694511,2
54,234.5746,1
54,235.462501,5
54,236.352555,4
54,237.237669,3
55,238.116409,2
55,239.005506,1
55,239.893871,5
55,240.783156,4
55,241.673793,3
56,242.548356,2
56,243.440022,1
56,244.325193,5
56,245.212981,4
56,246.105808,3
57,246.980107,2
57,247.877793,1
57,248.756832,5
57,249.645074,4
57,250.533642,3
58,251.410726,2
58,252.298946,1
58,253.188954,5
58,254.081784,4
58,254.973202,3
59,255.845713,2
59,256.73442,1
59,257.63458,5
59,258.50807,4
59,259.400287,3
60,260.275567,2
60,261.169135,1
60,262.051992,5
60,262.940029,4
60,263.827929,3
61,264.719376,2
61,265.605396,1
61,266.486099,5
61,267.379535,4
61,268.259897,3
62,269.137743,2
62,270.044615,1
62,270.92895,5
62,271.840447,4
62,272.694506,3
63,273.578846,2
63,274.470838,1
63,275.356269,5
63,276.23642,4
63,277.132145,3
64,278.025647,2
64,278.900128,1
64,279.781189,5
64,280.668802,4
64,281.558963,3
65,282.455993,2
65,283.322956,1
65,284.209875,5
65,285.098157,4
65,285.987302,3
66,286.864672,2
66,287.797975,1
66,288.643029,5
66,289.531763,4
66,290.417703,3
67,291.299493,2
67,292.196298,1
67,293.073552,5
67,293.961355,4
67,294.850392,3
68,295.728071,2
68,296.631648,1
68,297.509989,5
68,298.392749,4
68,299.281609,3
69,300.160317,2
69,301.052463,1
69,301.937879,5
69,302.825346,4
69,303.713201,3
70,304.594872,2
70,305.49154,1
70,306.3681,5
70,307.263737,4
70,308.145272,3
71,309.023375,2
71,309.914776,1
71,310.818763,5
71,311.701109,4
71,312.579523,3
72,313.454677,2
72,314.343613,1
72,315.23164,5
72,316.119476,4
72,317.012394,3
