packet_seq_no,packet_delay_in_secs,flow_id,label
0,0.000658,1,with_out_qdisc
0,0.000665,4,with_out_qdisc
0,0.000657,3,with_out_qdisc
0,0.000654,2,with_out_qdisc
0,0.000649,5,with_out_qdisc
1,0.000112,1,with_out_qdisc
1,2.6e-05,4,with_out_qdisc
1,2e-05,3,with_out_qdisc
1,2e-05,2,with_out_qdisc
1,1.9e-05,5,with_out_qdisc
2,9.3e-05,1,with_out_qdisc
2,0.000109,4,with_out_qdisc
2,0.000105,3,with_out_qdisc
2,0.000103,2,with_out_qdisc
2,0.000102,5,with_out_qdisc
3,0.00013,1,with_out_qdisc
3,9.1e-05,4,with_out_qdisc
3,8.7e-05,3,with_out_qdisc
3,8.5e-05,2,with_out_qdisc
3,8.3e-05,5,with_out_qdisc
4,9.4e-05,1,with_out_qdisc
4,6.1e-05,4,with_out_qdisc
4,5.7e-05,3,with_out_qdisc
4,5.6e-05,2,with_out_qdisc
4,9e-05,5,with_out_qdisc
5,0.000838,1,with_out_qdisc
5,0.000685,4,with_out_qdisc
5,0.000643,3,with_out_qdisc
5,0.000636,2,with_out_qdisc
5,0.00063,5,with_out_qdisc
6,0.000625,1,with_out_qdisc
6,0.000621,4,with_out_qdisc
6,0.000618,3,with_out_qdisc
6,0.000611,2,with_out_qdisc
6,0.000607,5,with_out_qdisc
7,0.000604,1,with_out_qdisc
7,0.0006,4,with_out_qdisc
7,0.000596,3,with_out_qdisc
7,0.000592,2,with_out_qdisc
7,0.000589,5,with_out_qdisc
8,0.000585,1,with_out_qdisc
8,0.000583,4,with_out_qdisc
8,0.000652,3,with_out_qdisc
8,0.000653,2,with_out_qdisc
8,0.000647,5,with_out_qdisc
9,0.000643,1,with_out_qdisc
9,0.00064,4,with_out_qdisc
9,0.000635,3,with_out_qdisc
9,0.000717,2,with_out_qdisc
9,0.000715,5,with_out_qdisc
10,0.000711,1,with_out_qdisc
10,0.000708,4,with_out_qdisc
10,0.000704,3,with_out_qdisc
10,0.000685,2,with_out_qdisc
10,0.000679,5,with_out_qdisc
11,0.000314,1,with_out_qdisc
11,0.000213,4,with_out_qdisc
11,0.000278,3,with_out_qdisc
11,0.000275,2,with_out_qdisc
11,0.000271,5,with_out_qdisc
12,0.000355,1,with_out_qdisc
12,0.000338,4,with_out_qdisc
12,0.000325,3,with_out_qdisc
12,0.000319,2,with_out_qdisc
12,0.000314,5,with_out_qdisc
13,0.001457,1,with_out_qdisc
13,0.001055,4,with_out_qdisc
13,0.001025,3,with_out_qdisc
13,0.001016,2,with_out_qdisc
13,0.00101,5,with_out_qdisc
14,0.001003,1,with_out_qdisc
14,0.000998,4,with_out_qdisc
14,0.001094,3,with_out_qdisc
14,0.001253,2,with_out_qdisc
14,0.001263,5,with_out_qdisc
15,0.001259,1,with_out_qdisc
15,0.001254,4,with_out_qdisc
15,0.001249,3,with_out_qdisc
15,0.001253,2,with_out_qdisc
15,0.001246,5,with_out_qdisc
16,0.001241,1,with_out_qdisc
16,0.001292,4,with_out_qdisc
16,0.001295,3,with_out_qdisc
16,0.00129,2,with_out_qdisc
16,0.001284,5,with_out_qdisc
17,0.001279,1,with_out_qdisc
17,0.001274,4,with_out_qdisc
17,0.001254,3,with_out_qdisc
17,0.001249,2,with_out_qdisc
17,0.001245,5,with_out_qdisc
18,0.001238,1,with_out_qdisc
18,0.001232,4,with_out_qdisc
18,0.001227,3,with_out_qdisc
18,0.001222,2,with_out_qdisc
18,0.001089,5,with_out_qdisc
19,0.001072,1,with_out_qdisc
19,0.001121,4,with_out_qdisc
19,0.001113,3,with_out_qdisc
19,0.001106,2,with_out_qdisc
19,0.001103,5,with_out_qdisc
20,0.000329,1,with_out_qdisc
20,0.000221,4,with_out_qdisc
20,0.000205,3,with_out_qdisc
20,0.000194,2,with_out_qdisc
20,0.000189,5,with_out_qdisc
21,0.000245,1,with_out_qdisc
21,0.000148,4,with_out_qdisc
21,0.000137,3,with_out_qdisc
21,0.000132,2,with_out_qdisc
21,0.000128,5,with_out_qdisc
22,0.000446,1,with_out_qdisc
22,0.000345,4,with_out_qdisc
22,0.000331,3,with_out_qdisc
22,0.000324,2,with_out_qdisc
22,0.000319,5,with_out_qdisc
23,0.000389,1,with_out_qdisc
23,0.000448,4,with_out_qdisc
23,0.000436,3,with_out_qdisc
23,0.00043,2,with_out_qdisc
23,0.000426,5,with_out_qdisc
24,0.000394,1,with_out_qdisc
24,0.000389,4,with_out_qdisc
24,0.000376,3,with_out_qdisc
24,0.000371,2,with_out_qdisc
24,0.000369,5,with_out_qdisc
25,0.001102,1,with_out_qdisc
25,0.000858,4,with_out_qdisc
25,0.000803,3,with_out_qdisc
25,0.000792,2,with_out_qdisc
25,0.000786,5,with_out_qdisc
26,0.00078,1,with_out_qdisc
26,0.000775,4,with_out_qdisc
26,0.000772,3,with_out_qdisc
26,0.000764,2,with_out_qdisc
26,0.000759,5,with_out_qdisc
27,0.000755,1,with_out_qdisc
27,0.00075,4,with_out_qdisc
27,0.00073,3,with_out_qdisc
27,0.000721,2,with_out_qdisc
27,0.000718,5,with_out_qdisc
28,0.00025,1,with_out_qdisc
28,6.2e-05,4,with_out_qdisc
28,4.8e-05,3,with_out_qdisc
28,0.000105,2,with_out_qdisc
28,6.5e-05,5,with_out_qdisc
29,0.000215,1,with_out_qdisc
29,0.000175,4,with_out_qdisc
29,0.000105,3,with_out_qdisc
29,5e-05,2,with_out_qdisc
29,4.8e-05,5,with_out_qdisc
30,0.000315,1,with_out_qdisc
30,0.000117,4,with_out_qdisc
30,5.4e-05,3,with_out_qdisc
30,4.6e-05,2,with_out_qdisc
30,4.6e-05,5,with_out_qdisc
31,0.000347,1,with_out_qdisc
31,8.6e-05,4,with_out_qdisc
31,5.3e-05,3,with_out_qdisc
31,4.7e-05,2,with_out_qdisc
31,4.8e-05,5,with_out_qdisc
32,4.6e-05,1,with_out_qdisc
32,0.000104,4,with_out_qdisc
32,5e-05,3,with_out_qdisc
32,4.6e-05,2,with_out_qdisc
32,4.5e-05,5,with_out_qdisc
33,0.00053,1,with_out_qdisc
33,8e-05,4,with_out_qdisc
33,5.1e-05,3,with_out_qdisc
33,6.4e-05,2,with_out_qdisc
33,4.8e-05,5,with_out_qdisc
34,0.000217,1,with_out_qdisc
34,0.000163,4,with_out_qdisc
34,8.6e-05,3,with_out_qdisc
34,4.8e-05,2,with_out_qdisc
34,4.7e-05,5,with_out_qdisc
35,0.000213,1,with_out_qdisc
35,9.1e-05,4,with_out_qdisc
35,0.000126,3,with_out_qdisc
35,5.3e-05,2,with_out_qdisc
35,4.7e-05,5,with_out_qdisc
36,0.000406,1,with_out_qdisc
36,0.000104,4,with_out_qdisc
36,5.3e-05,3,with_out_qdisc
36,4.8e-05,2,with_out_qdisc
36,0.000459,5,with_out_qdisc
37,0.000177,1,with_out_qdisc
37,9.3e-05,4,with_out_qdisc
37,8.6e-05,3,with_out_qdisc
37,0.000207,2,with_out_qdisc
37,0.00011,5,with_out_qdisc
38,0.000177,1,with_out_qdisc
38,6.1e-05,4,with_out_qdisc
38,6.6e-05,3,with_out_qdisc
38,0.000145,2,with_out_qdisc
38,8.2e-05,5,with_out_qdisc
39,0.000229,1,with_out_qdisc
39,0.00028,4,with_out_qdisc
39,9.9e-05,3,with_out_qdisc
39,5e-05,2,with_out_qdisc
39,4.7e-05,5,with_out_qdisc
40,0.000203,1,with_out_qdisc
40,0.000196,4,with_out_qdisc
