packet_seq_no,packet_delay_in_secs,flow_id
0,0.000774,1
0,0.000735,2
0,0.07488,3
1,0.151803,1
1,0.31843,2
1,0.387433,3
2,0.405224,1
2,0.512096,2
2,0.618212,3
3,0.724747,1
3,0.832122,2
3,0.938738,3
4,1.044439,1
4,1.154965,2
4,1.257895,3
5,1.364868,1
5,1.47149,2
5,1.578005,3
6,1.68455,1
6,1.791197,2
6,1.897064,3
7,2.00383,1
7,2.110635,2
7,2.225646,3
8,2.325361,1
8,2.416967,2
8,2.523127,3
9,2.630569,1
9,2.73673,2
9,2.841576,3
10,2.938366,1
10,3.049767,2
10,3.151474,3
11,3.248666,1
11,3.3573,2
11,3.465187,3
12,3.538866,1
12,3.644667,2
12,3.786872,3
13,3.865292,1
13,3.964188,2
13,4.07087,3
14,4.177428,1
14,4.303685,2
14,4.410597,3
15,4.49172,1
15,4.622528,2
15,4.707485,3
16,4.795836,1
16,4.917886,2
16,5.009222,3
17,4.956446,1
17,5.078522,2
17,5.162454,3
18,5.287955,1
18,5.376998,2
18,5.481434,3
19,5.591934,1
19,5.708422,2
19,5.802158,3
20,5.914606,1
20,6.037888,2
20,6.122424,3
21,6.227651,1
21,6.340595,2
21,6.441078,3
22,6.547608,1
22,6.654222,2
22,6.765431,3
23,6.878166,1
23,6.973915,2
23,7.102161,3
24,7.186935,1
24,7.316322,2
24,7.39983,3
25,7.506607,1
25,7.612974,2
25,7.719486,3
26,7.827863,1
26,7.933137,2
26,8.044469,3
27,8.145892,1
27,8.288476,2
27,8.35965,3
28,8.466574,1
28,8.572554,2
28,8.678951,3
29,8.785835,1
29,8.892095,2
29,8.998525,3
30,9.105814,1
30,9.212205,2
30,9.318225,3
31,9.424803,1
31,9.532376,2
31,9.660683,3
32,9.757322,1
32,9.851313,2
32,9.958374,3
33,10.068439,1
33,10.168127,2
33,10.26881,3
34,10.369216,1
34,10.476328,2
34,10.584879,3
35,10.686985,1
35,10.830893,2
35,10.915679,3
36,10.980527,1
36,11.06577,2
36,11.170147,3
37,11.276142,1
37,11.382932,2
37,11.497017,3
38,11.595404,1
38,11.702622,2
38,11.83502,3
39,11.950225,1
39,12.024216,2
39,12.130197,3
40,12.231415,1
40,12.3388,2
40,12.445053,3
41,12.51431,1
41,12.619774,2
41,12.728795,3
42,12.837254,1
42,12.958256,2
42,13.047076,3
43,13.15352,1
43,13.259807,2
43,13.366184,3
44,13.445489,1
44,13.575097,2
44,13.659037,3
45,13.76549,1
45,13.871639,2
45,13.978161,3
46,14.085354,1
46,14.191289,2
46,14.298174,3
47,14.401536,1
47,14.50835,2
47,14.614202,3
48,14.720868,1
48,14.817789,2
48,14.924296,3
49,15.040283,1
49,15.148488,2
49,15.24213,3
50,15.329757,1
50,15.436642,2
50,15.542695,3
51,15.640801,1
51,15.747316,2
51,15.853702,3
52,15.949849,1
52,16.056421,2
52,16.16298,3
53,16.260241,1
53,16.366877,2
53,16.47331,3
54,16.570856,1
54,16.676679,2
54,16.783039,3
55,16.8914,1
55,16.985851,2
55,17.097042,3
56,17.188892,1
56,17.295288,2
56,17.402285,3
57,17.498261,1
57,17.604997,2
57,17.711961,3
58,17.809634,1
58,17.916241,2
58,18.064571,3
59,18.118939,1
59,18.225351,2
59,18.33203,3
60,18.428774,1
60,18.534645,2
60,18.64166,3
61,18.738202,1
61,18.845147,2
61,18.951769,3
62,19.048631,1
62,19.155365,2
62,19.261222,3
63,19.351409,1
63,19.458434,2
63,19.564933,3
64,19.667789,1
64,19.774979,2
64,19.881549,3
65,19.978318,1
65,20.084111,2
65,20.190629,3
66,20.28822,1
66,20.394507,2
66,20.501872,3
67,20.598778,1
67,20.712385,2
67,20.810733,3
68,20.907319,1
68,21.013997,2
68,21.120049,3
69,21.230723,1
69,21.324467,2
69,21.430104,3
70,21.526741,1
70,21.634001,2
70,21.748608,3
71,21.850402,1
