05:09:54.019700 START Mgen Version 5.02b
05:09:54.019824 ON flow>1 srcPort>5000 dst>192.168.0.2/5000 
05:09:54.019862 ON flow>3 srcPort>5002 dst>192.168.0.2/5000 
05:09:54.019885 ON flow>2 srcPort>5001 dst>192.168.0.2/5000 
05:09:54.019909 ON flow>5 srcPort>5004 dst>192.168.0.2/5000 
05:09:54.019930 ON flow>4 srcPort>5003 dst>192.168.0.2/5000 
05:11:34.020157 OFF flow>1 srcPort>5000 dst>192.168.0.2/5000 
05:11:34.020258 OFF flow>3 srcPort>5002 dst>192.168.0.2/5000 
05:11:34.020284 OFF flow>2 srcPort>5001 dst>192.168.0.2/5000 
05:11:34.020306 OFF flow>5 srcPort>5004 dst>192.168.0.2/5000 
05:11:34.020329 OFF flow>4 srcPort>5003 dst>192.168.0.2/5000 
05:11:34.020359 STOP
