04:16:53.957280 START Mgen Version 5.02b
04:16:53.957405 ON flow>1 srcPort>5000 dst>192.168.0.2/5000 
04:16:53.957442 ON flow>5 srcPort>5004 dst>192.168.0.2/5000 
04:16:53.957503 ON flow>4 srcPort>5003 dst>192.168.0.2/5000 
04:16:53.957534 ON flow>3 srcPort>5002 dst>192.168.0.2/5000 
04:16:53.957556 ON flow>2 srcPort>5001 dst>192.168.0.2/5000 
04:18:33.964979 OFF flow>1 srcPort>5000 dst>192.168.0.2/5000 
04:18:33.965061 OFF flow>5 srcPort>5004 dst>192.168.0.2/5000 
04:18:33.965083 OFF flow>4 srcPort>5003 dst>192.168.0.2/5000 
04:18:33.965103 OFF flow>3 srcPort>5002 dst>192.168.0.2/5000 
04:18:33.965121 OFF flow>2 srcPort>5001 dst>192.168.0.2/5000 
04:18:33.965148 STOP
